Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,5000,120,384,0.10319
100,1000,3,5000,120,384,0.64001
100,10000,3,5000,120,384,6.02897
100,100000,3,5000,120,384,61.67740
100,1000000,3,5000,120,384,700.77752
