Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,5000,120,48,0.08346
100,1000,3,5000,120,48,0.68864
100,10000,3,5000,120,48,6.07133
100,100000,3,5000,120,48,64.31250
100,1000000,3,5000,120,48,674.12092
