BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1504830180000 ms, 2017-09-07T19:23:05, 5, 9023, 642,1_Producer_Count
1504830240000 ms, 2017-09-07T19:24:04, 0, 12833, 1120,1_Producer_Count
1504830300000 ms, 2017-09-07T19:25:02, 0, 5525, 460,1_Producer_Count
1504830360000 ms, 2017-09-07T19:26:00, 0, 1361, 0,1_Producer_Count
1504830420000 ms, 2017-09-07T19:27:02, 1, 6757, 616,1_Producer_Count
1504830480000 ms, 2017-09-07T19:28:03, 1, 12624, 1139,1_Producer_Count
1504830540000 ms, 2017-09-07T19:29:03, 0, 12350, 1145,1_Producer_Count
1504830600000 ms, 2017-09-07T19:30:03, 0, 11646, 1073,1_Producer_Count
1504830660000 ms, 2017-09-07T19:31:03, 1, 12191, 1122,1_Producer_Count
1504830720000 ms, 2017-09-07T19:32:03, 0, 12020, 1129,1_Producer_Count
1504830780000 ms, 2017-09-07T19:33:03, 1, 11981, 1138,1_Producer_Count
1504830840000 ms, 2017-09-07T19:34:03, 0, 12090, 1129,1_Producer_Count
1504830900000 ms, 2017-09-07T19:35:03, 1, 11996, 1123,1_Producer_Count
1504830960000 ms, 2017-09-07T19:36:03, 0, 12136, 1131,1_Producer_Count
1504831020000 ms, 2017-09-07T19:37:03, 1, 11962, 1113,1_Producer_Count
1504831080000 ms, 2017-09-07T19:38:03, 1, 12006, 1122,1_Producer_Count
1504831140000 ms, 2017-09-07T19:39:03, 1, 12223, 1119,1_Producer_Count
1504831200000 ms, 2017-09-07T19:40:03, 1, 11706, 1118,1_Producer_Count
1504831260000 ms, 2017-09-07T19:41:04, 0, 11956, 1133,1_Producer_Count
1504831320000 ms, 2017-09-07T19:42:03, 0, 11317, 1102,1_Producer_Count
1504831380000 ms, 2017-09-07T19:43:04, 0, 12345, 1115,1_Producer_Count
1504831440000 ms, 2017-09-07T19:44:03, 0, 11474, 1089,1_Producer_Count
1504831500000 ms, 2017-09-07T19:45:01, 1, 4474, 344,1_Producer_Count
1504831560000 ms, 2017-09-07T19:46:00, 0, 1254, 0,1_Producer_Count
1504831620000 ms, 2017-09-07T19:47:00, 0, 1283, 0,1_Producer_Count
1504831680000 ms, 2017-09-07T19:48:00, 0, 1274, 0,1_Producer_Count
1504831740000 ms, 2017-09-07T19:49:00, 0, 1320, 0,1_Producer_Count
1504831800000 ms, 2017-09-07T19:50:00, 0, 1272, 0,1_Producer_Count
1504831860000 ms, 2017-09-07T19:51:00, 0, 1274, 0,1_Producer_Count
1504831920000 ms, 2017-09-07T19:52:00, 0, 1285, 0,1_Producer_Count
1504831980000 ms, 2017-09-07T19:53:00, 1, 1272, 0,1_Producer_Count
1504832040000 ms, 2017-09-07T19:54:00, 1, 1252, 0,1_Producer_Count
1504832100000 ms, 2017-09-07T19:55:00, 0, 1271, 0,1_Producer_Count
1504832160000 ms, 2017-09-07T19:56:00, 1, 1250, 0,1_Producer_Count
1504832220000 ms, 2017-09-07T19:57:00, 0, 1254, 0,1_Producer_Count
1504832280000 ms, 2017-09-07T19:58:00, 0, 1264, 0,1_Producer_Count
1504832340000 ms, 2017-09-07T19:59:00, 0, 1265, 0,1_Producer_Count
1504832400000 ms, 2017-09-07T20:00:00, 0, 1259, 0,1_Producer_Count
1504832460000 ms, 2017-09-07T20:01:00, 1, 1268, 0,1_Producer_Count
1504832520000 ms, 2017-09-07T20:02:00, 1, 1260, 0,1_Producer_Count
1504832580000 ms, 2017-09-07T20:03:00, 1, 1259, 0,1_Producer_Count
1504832640000 ms, 2017-09-07T20:04:00, 1, 1253, 0,1_Producer_Count
1504832700000 ms, 2017-09-07T20:05:00, 1, 1274, 0,1_Producer_Count
1504832760000 ms, 2017-09-07T20:06:00, 0, 1268, 0,1_Producer_Count
1504832820000 ms, 2017-09-07T20:07:00, 1, 1252, 0,1_Producer_Count
1504832880000 ms, 2017-09-07T20:08:00, 0, 1264, 0,1_Producer_Count
1504832940000 ms, 2017-09-07T20:09:00, 1, 1256, 0,1_Producer_Count
1504833000000 ms, 2017-09-07T20:10:00, 0, 1263, 0,1_Producer_Count
1504833060000 ms, 2017-09-07T20:11:00, 1, 1263, 0,1_Producer_Count
1504833120000 ms, 2017-09-07T20:12:00, 0, 1260, 0,1_Producer_Count
1504833180000 ms, 2017-09-07T20:13:00, 1, 1269, 0,1_Producer_Count
