Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,497.0,1825.32701824
8000,16000,2,8000,988.0,2859.16211088
16000,24000,3,8000,1483.0,3496.1747235
24000,32000,4,8000,1981.0,3942.06179359
32000,40000,5,8000,2481.0,4149.82179093
40000,48000,6,8000,2978.0,4297.86700828
48000,56000,7,8000,3478.0,4546.94026584
56000,64000,8,8000,3978.0,4716.49518709
64000,72000,9,8000,4473.0,4846.03942415
72000,80000,10,8000,4967.0,4955.04448838
80000,88000,11,8000,5460.0,5047.53641192
88000,96000,12,8000,5961.0,5136.42477457
0,8000,13,8000,6464.0,3917.69214594
8000,16000,14,8000,6978.0,3924.5620664
16000,24000,15,8000,7463.0,3989.40733372
24000,32000,16,8000,7961.0,4085.74512088
32000,40000,17,8000,8476.0,4192.83482593
40000,48000,18,8000,8979.0,4276.7472458
48000,56000,19,8000,9477.0,4362.12738059
56000,64000,20,8000,9963.0,4426.66644407
64000,72000,21,8000,10449.0,4486.523114
72000,80000,22,8000,10938.0,4510.64016834
80000,88000,23,8000,11423.0,4533.51601105
88000,96000,24,8000,11906.0,4553.10853232
96000,104000,25,8000,12392.0,4611.30810472
104000,112000,26,8000,12890.0,4605.96664629
112000,120000,27,8000,13395.0,4629.38992882
120000,128000,28,8000,13887.0,4647.24526495
128000,136000,29,8000,14409.0,4672.84424194
136000,144000,30,8000,14918.0,4693.15652619
144000,152000,31,8000,15419.0,4710.12689177
152000,160000,32,8000,15918.0,4724.25112932
160000,168000,33,8000,16423.0,4739.33927073
168000,176000,34,8000,16900.0,4747.5751739
176000,184000,35,8000,17391.0,4758.42730925
184000,192000,36,8000,17883.0,4768.31554818
192000,200000,37,8000,18374.0,4779.09762845
200000,208000,38,8000,18874.0,4785.8646636
208000,216000,39,8000,19382.0,4816.95380781
216000,224000,40,8000,19896.0,4849.21404748
224000,232000,41,8000,20398.0,4859.24683384
232000,240000,42,8000,20889.0,4865.67759741
240000,248000,43,8000,21386.0,4870.209406
248000,256000,44,8000,21881.0,4876.3073138
256000,264000,45,8000,22369.0,4881.62801515
264000,272000,46,8000,22851.0,4886.55680487
272000,280000,47,8000,23329.0,4858.66795531
280000,288000,48,8000,23808.0,4865.51684474
288000,296000,49,8000,24305.0,4872.84012003
296000,304000,50,8000,24795.0,4846.29562786
304000,312000,51,8000,25291.0,4853.47947516
312000,320000,52,8000,25795.0,4863.47869757
320000,328000,53,8000,26300.0,4844.06091342
328000,336000,54,8000,26790.0,4848.27661289
336000,344000,55,8000,27282.0,4852.82004731
344000,352000,56,8000,27772.0,4830.54657425
352000,360000,57,8000,28262.0,4835.62189478
360000,368000,58,8000,28762.0,4843.61654699
368000,376000,59,8000,29250.0,4848.44683265
376000,384000,60,8000,29730.0,4873.43189785
384000,392000,61,8000,30209.0,4890.34182391
392000,400000,62,8000,30694.0,4880.72019401
400000,408000,63,8000,31192.0,4898.06054942
408000,416000,64,8000,31672.0,4901.10140999
416000,424000,65,8000,32149.0,4915.16691428
424000,432000,66,8000,32631.0,4929.25908206
432000,440000,67,8000,33124.0,4931.82645661
440000,448000,68,8000,33632.0,4913.86357945
448000,456000,69,8000,34106.0,4916.2660096
456000,464000,70,8000,34595.0,4919.90001243
464000,472000,71,8000,35086.0,4923.23425234
472000,480000,72,8000,35577.0,4904.74509861
480000,488000,73,8000,36072.0,4908.1511213
488000,496000,74,8000,36576.0,4891.00020867
