CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000059,Euclidean_dist_3619_10855,N/A,104.071107149,N/A,104.477866173,132.0773561,132.099651098
unit.000060,Euclidean_dist_3619_12664,N/A,375.622285128,N/A,376.033760071,405.685297012,405.733551025
unit.000061,Euclidean_dist_3619_14473,N/A,375.371193171,N/A,375.781728983,404.592689037,404.642127991
unit.000062,Euclidean_dist_3619_16282,N/A,380.999720097,N/A,381.410418034,410.917273045,410.955605984
unit.000063,Euclidean_dist_3619_18091,N/A,377.38223815,N/A,377.793446064,407.753618002,407.790929079
unit.000064,Euclidean_dist_3619_19900,N/A,688.748396158,N/A,689.162427187,718.066532135,718.094853163
unit.000065,Euclidean_dist_3619_21709,N/A,388.692546129,N/A,389.104176998,417.079949141,417.120654106
unit.000066,Euclidean_dist_3619_23518,N/A,392.756874084,N/A,393.167503119,421.182932138,421.208487034
unit.000067,Euclidean_dist_3619_25327,N/A,391.903290033,N/A,392.314225197,421.204991102,421.234822035
unit.000068,Euclidean_dist_3619_27136,N/A,374.520246983,N/A,374.930850029,404.591814995,404.636748075
unit.000069,Euclidean_dist_3619_28945,N/A,365.342997074,N/A,365.755439997,397.138271093,397.181385994
unit.000070,Euclidean_dist_3619_30754,N/A,675.253233194,N/A,675.667538166,703.511157036,703.53405714
unit.000071,Euclidean_dist_3619_32563,N/A,677.164541006,N/A,677.582720041,706.619145155,706.722134113
unit.000072,Euclidean_dist_3619_34372,N/A,671.559884071,N/A,671.946078062,702.322345972,702.359658003
unit.000073,Euclidean_dist_3619_36181,N/A,673.334635973,N/A,673.748758078,702.385848999,702.449416161
unit.000074,Euclidean_dist_3619_37990,N/A,667.791745186,N/A,668.206917048,696.923341036,696.963366985
unit.000075,Euclidean_dist_3619_39799,N/A,667.54066515,N/A,667.955461025,696.911365986,696.942932129
unit.000076,Euclidean_dist_3619_41608,N/A,666.582997084,N/A,667.059225082,695.843204975,695.890064001
unit.000077,Euclidean_dist_3619_43417,N/A,666.986988068,N/A,667.400274992,695.826575041,695.863571167
unit.000078,Euclidean_dist_3619_45226,N/A,663.946222067,N/A,664.331819057,693.745717049,693.776710987
unit.000079,Euclidean_dist_3619_47035,N/A,663.66795516,N/A,664.084746122,693.673851967,693.722121
unit.000080,Euclidean_dist_3619_48844,N/A,6.59792709351,N/A,7.0041539669,36.923525095,36.96154809
unit.000081,Euclidean_dist_5428_5428,N/A,7.0108101368,N/A,7.41177797318,24.9403960705,24.9724040031
unit.000082,Euclidean_dist_5428_7237,N/A,6.80565309525,N/A,7.2080180645,36.9759941101,37.0093200207
unit.000083,Euclidean_dist_5428_9046,N/A,7.21468019485,N/A,7.61556816101,38.0448980331,38.0633029938
unit.000084,Euclidean_dist_5428_10855,N/A,38.7810680866,N/A,39.1868619919,67.5190989971,67.5340440273
unit.000085,Euclidean_dist_5428_12664,N/A,27.2466230392,N/A,27.6529421806,57.3071930408,57.3309869766
unit.000086,Euclidean_dist_5428_14473,N/A,6.39258408546,N/A,6.80903410912,36.8720619678,36.9069421291
unit.000087,Euclidean_dist_5428_16282,N/A,10.334223032,N/A,10.7405500412,41.6420049667,41.7122449875
unit.000088,Euclidean_dist_5428_18091,N/A,40.4812309742,N/A,40.8875160217,68.6165561676,68.6568889618
unit.000089,Euclidean_dist_5428_19900,N/A,39.4816269875,N/A,39.8877401352,67.5448620319,67.5621850491
unit.000090,Euclidean_dist_5428_21709,N/A,213.969566107,N/A,214.378134966,243.577944994,243.593736172
unit.000091,Euclidean_dist_5428_23518,N/A,214.67078805,N/A,215.079864025,244.616814137,244.638759136
unit.000092,Euclidean_dist_5428_25327,N/A,216.576059103,N/A,217.00513196,245.658830166,245.681089163
unit.000093,Euclidean_dist_5428_27136,N/A,220.107102156,N/A,220.491847992,249.793504,249.81387496
unit.000094,Euclidean_dist_5428_28945,N/A,221.947452068,N/A,222.366675138,251.831104994,251.851253986
unit.000095,Euclidean_dist_5428_30754,N/A,223.701295137,N/A,224.109556198,252.883275032,252.951663017
unit.000096,Euclidean_dist_5428_32563,N/A,225.606836081,N/A,226.017374992,255.014541149,255.08981204
unit.000097,Euclidean_dist_5428_34372,N/A,227.087273121,N/A,227.495130062,256.217513084,256.252717018
unit.000098,Euclidean_dist_5428_36181,N/A,236.283051014,N/A,236.691496134,264.787549973,264.814824104
unit.000099,Euclidean_dist_5428_37990,N/A,237.284983158,N/A,237.693653107,264.791579008,264.872153997
unit.000100,Euclidean_dist_5428_39799,N/A,298.163072109,N/A,298.56034708,326.684391975,326.732602119
unit.000101,Euclidean_dist_5428_41608,N/A,302.084939003,N/A,302.4921,330.86265707,330.908192158
unit.000102,Euclidean_dist_5428_43417,N/A,293.568710089,N/A,293.996597052,324.077887058,324.136512041
unit.000103,Euclidean_dist_5428_45226,N/A,294.270339966,N/A,294.680593967,325.271262169,325.691511154
unit.000104,Euclidean_dist_5428_47035,N/A,307.976392031,N/A,308.386026144,338.36365819,338.420279026
unit.000105,Euclidean_dist_5428_48844,N/A,312.997109175,N/A,313.408539057,343.653659105,343.691567183
unit.000106,Euclidean_dist_7237_7237,N/A,302.938034058,N/A,303.348608017,318.676695108,318.695283175
unit.000107,Euclidean_dist_7237_9046,N/A,305.00800705,N/A,305.419474125,335.100812197,335.318582058
unit.000108,Euclidean_dist_7237_10855,N/A,388.55420804,N/A,388.898964167,417.055574179,417.086611986
unit.000109,Euclidean_dist_7237_12664,N/A,395.569512129,N/A,395.998054028,425.378309011,425.425306082
unit.000110,Euclidean_dist_7237_14473,N/A,684.723836184,N/A,685.137937069,714.934660196,714.997543097
unit.000111,Euclidean_dist_7237_16282,N/A,682.058349133,N/A,682.470504045,711.634293079,711.670145035
unit.000112,Euclidean_dist_7237_18091,N/A,106.061489105,N/A,106.468530178,136.234573126,136.262099981
unit.000113,Euclidean_dist_7237_19900,N/A,105.062044144,N/A,105.468536139,135.186160088,135.21690011
unit.000114,Euclidean_dist_7237_21709,N/A,93.4074339867,N/A,93.8139159679,124.677057981,124.753058195
unit.000115,Euclidean_dist_7237_23518,N/A,83.9697861671,N/A,84.4624249935,114.025124073,114.092516184
unit.000116,Euclidean_dist_7237_25327,N/A,97.0519549847,N/A,97.4599831104,125.710846186,125.859181166
unit.000117,Euclidean_dist_7237_27136,N/A,95.0050339699,N/A,95.4145030975,126.873196125,126.951100111
unit.000118,Euclidean_dist_7237_28945,N/A,80.9747581482,N/A,81.3814899921,110.779796124,110.815312147
unit.000119,Euclidean_dist_7237_30754,N/A,79.3770520687,N/A,79.7892301083,108.576436043,108.606918097
unit.000120,Euclidean_dist_7237_32563,N/A,755.466394186,N/A,755.92890501,783.550595045,783.592872143
unit.000121,Euclidean_dist_7237_34372,N/A,757.379316092,N/A,757.796148062,786.654790163,786.688870192
unit.000122,Euclidean_dist_7237_36181,N/A,766.614492178,N/A,767.066548109,795.999193192,796.083671093
unit.000123,Euclidean_dist_7237_37990,N/A,769.295575142,N/A,769.738432169,798.065149069,798.112946033
unit.000124,Euclidean_dist_7237_39799,N/A,769.698774099,N/A,770.145069122,798.129434109,798.165796995
unit.000125,Euclidean_dist_7237_41608,N/A,770.104995012,N/A,770.534490108,799.179726124,799.216921091
unit.000126,Euclidean_dist_7237_43417,N/A,45.636423111,N/A,46.0488371849,74.1833641529,74.2041070461
unit.000127,Euclidean_dist_7237_45226,N/A,46.3441519737,N/A,46.7515580654,77.5418720245,77.5768690109
unit.000128,Euclidean_dist_7237_47035,N/A,740.542097092,N/A,740.956489086,769.836027145,769.853092194
unit.000129,Euclidean_dist_7237_48844,N/A,742.457902193,N/A,742.870616198,771.953871965,771.982342005
unit.000130,Euclidean_dist_9046_9046,N/A,658.998104095,N/A,659.410945177,675.034736156,675.098881006
unit.000131,Euclidean_dist_9046_10855,N/A,291.652943134,N/A,292.062565088,322.989753008,323.037441015
unit.000132,Euclidean_dist_9046_12664,N/A,501.545241117,N/A,501.961160183,531.427694082,531.48282218
unit.000133,Euclidean_dist_9046_14473,N/A,502.099550962,N/A,502.513880968,530.372056961,530.401427984
unit.000134,Euclidean_dist_9046_16282,N/A,517.282938004,N/A,517.695276976,546.112733126,546.166459084
unit.000135,Euclidean_dist_9046_18091,N/A,515.350831985,N/A,515.762071133,544.032847166,544.068150997
unit.000136,Euclidean_dist_9046_19900,N/A,514.039211988,N/A,514.451493979,542.986215115,543.014595985
unit.000137,Euclidean_dist_9046_21709,N/A,511.36888814,N/A,511.782458067,539.898051023,539.92039299
unit.000138,Euclidean_dist_9046_23518,N/A,256.247910976,N/A,256.657031059,285.329257011,285.361179113
unit.000139,Euclidean_dist_9046_25327,N/A,255.842880011,N/A,256.263014078,284.32428813,284.443791151
unit.000140,Euclidean_dist_9046_27136,N/A,535.547088146,N/A,535.959912062,565.785356045,565.860090017
unit.000141,Euclidean_dist_9046_28945,N/A,537.617058992,N/A,538.033130169,566.923312187,566.981626034
unit.000142,Euclidean_dist_9046_30754,N/A,534.61640501,N/A,535.002448082,563.687806129,563.723644018
unit.000143,Euclidean_dist_9046_32563,N/A,534.826405048,N/A,535.211172104,565.75644803,565.805665016
unit.000144,Euclidean_dist_9046_34372,N/A,529.492565155,N/A,529.916114092,558.48855114,558.513945103
unit.000145,Euclidean_dist_9046_36181,N/A,531.612119198,N/A,532.024492025,560.579773188,560.604552984
unit.000146,Euclidean_dist_9046_37990,N/A,519.554001093,N/A,520.038635015,549.25515008,549.288817167
unit.000147,Euclidean_dist_9046_39799,N/A,526.386253119,N/A,526.778753042,555.418008089,555.451004028
unit.000148,Euclidean_dist_9046_41608,N/A,517.839085102,N/A,518.302186012,547.168774128,547.195334196
