CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.001172,N/A,2362.01,N/A,2374.395,2435.839,2438.737
unit.001173,N/A,2385.865,N/A,2434.665,2496.542,2498.65
unit.001174,N/A,2368.132,N/A,2386.081,2447.051,2448.526
unit.001175,N/A,2436.822,N/A,2507.132,2568.678,2575.086
unit.001176,N/A,2470.457,N/A,2540.981,2605.975,2613.53
unit.001177,N/A,2464.168,N/A,2534.474,2596.8,2603.69
unit.001178,N/A,2376.141,N/A,2405.323,2469.357,2470.799
unit.001179,N/A,2366.063,N/A,2382.316,2444.877,2446.433
unit.001180,N/A,2472.226,N/A,2543.148,2606.915,2614.544
unit.001181,N/A,2457.612,N/A,2526.751,2587.766,2594.57
unit.001182,N/A,2389.787,N/A,2444.918,2506.776,2507.799
unit.001183,N/A,2490.763,N/A,2561.896,2625.508,2631.841
unit.001184,N/A,2472.215,N/A,2541.958,2604.683,2610.938
unit.001185,N/A,2484.526,N/A,2554.763,2616.16,2623.552
unit.001186,N/A,2391.77,N/A,2449.457,2512.91,2514.676
unit.001187,N/A,2447.091,N/A,2516.833,2581.476,2587.762
unit.001188,N/A,2411.27,N/A,2487.048,2548.167,2550.102
unit.001189,N/A,2486.736,N/A,2557.905,2621.599,2628.804
unit.001190,N/A,2492.767,N/A,2564.056,2626.879,2633.88
unit.001191,N/A,2488.773,N/A,2559.881,2621.631,2629.816
unit.001192,N/A,2455.412,N/A,2525.768,2588.987,2596.794
unit.001193,N/A,2405.056,N/A,2474.851,2537.414,2538.709
unit.001194,N/A,2466.133,N/A,2536.642,2598.12,2604.715
unit.001195,N/A,2429.682,N/A,2501.948,2564.349,2569.637
unit.001196,N/A,2455.405,N/A,2524.795,2586.645,2593.508
unit.001197,N/A,2434.43,N/A,2505.148,2565.746,2570.653
unit.001198,N/A,2432.178,N/A,2504.146,2566.776,2571.674
unit.001199,N/A,2413.192,N/A,2489.056,2550.415,2551.348
unit.001200,N/A,2444.673,N/A,2514.645,2577.126,2583.133
unit.001201,N/A,2415.219,N/A,2495.396,2557.746,2559.278
unit.001202,N/A,2427.284,N/A,2499.554,2561.916,2565.742
unit.001203,N/A,2427.264,N/A,2498.559,2561.627,2564.345
unit.001204,N/A,2407.128,N/A,2478.968,2541.099,2542.756
unit.001205,N/A,2351.295,N/A,2355.989,2418.743,2428.313
unit.001206,N/A,2438.734,N/A,2509.302,2572.133,2575.996
unit.001207,N/A,2355.799,N/A,2364.714,2428.638,2433.051
unit.001208,N/A,2383.916,N/A,2429.878,2490.914,2492.192
unit.001209,N/A,2385.857,N/A,2432.483,2493.185,2495.298
unit.001210,N/A,2393.679,N/A,2451.433,2513.223,2515.774
unit.001211,N/A,2490.754,N/A,2560.887,2623.555,2630.827
unit.001212,N/A,2406.963,N/A,2477.014,2538.708,2540.736
unit.001213,N/A,2381.964,N/A,2415.44,2479.207,2480.291
unit.001214,N/A,2359.633,N/A,2370.63,2430.904,2436.199
unit.001215,N/A,2353.237,N/A,2358.176,2424.039,2429.561
unit.001216,N/A,2387.815,N/A,2437.037,2497.742,2499.664
unit.001217,N/A,2351.293,N/A,2353.623,2415.995,2426.884
unit.001218,N/A,2380.019,N/A,2413.464,2476.262,2477.173
unit.001219,N/A,2409.205,N/A,2482.915,2543.621,2545.979
unit.001220,N/A,2381.976,N/A,2424.906,2485.412,2487.584
unit.001221,N/A,2376.127,N/A,2403.359,2464.515,2466.386
unit.001222,N/A,2402.808,N/A,2468.623,2529.95,2532.023
unit.001223,N/A,2474.526,N/A,2545.317,2607.205,2615.556
unit.001224,N/A,2363.965,N/A,2378.365,2439.429,2442.722
unit.001225,N/A,2360.036,N/A,2372.607,2433.261,2437.456
unit.001226,N/A,2432.169,N/A,2502.934,2563.365,2568.263
unit.001227,N/A,2413.202,N/A,2491.033,2551.351,2552.692
unit.001228,N/A,2429.671,N/A,2500.568,2563.058,2567.075
unit.001229,N/A,2438.767,N/A,2510.292,2573.475,2578.15
unit.001230,N/A,2442.567,N/A,2512.48,2575.09,2580.509
unit.001231,N/A,2442.554,N/A,2511.282,2573.101,2577.122
unit.001232,N/A,2466.12,N/A,2535.474,2598.178,2606.082
unit.001233,N/A,2436.829,N/A,2508.307,2568.269,2574.029
unit.001234,N/A,2408.987,N/A,2480.758,2541.758,2543.871
unit.001235,N/A,2403.014,N/A,2470.847,2531.024,2533.274
unit.001236,N/A,2468.269,N/A,2537.621,2600.454,2609.855
unit.001237,N/A,2462.058,N/A,2532.309,2593.485,2600.122
unit.001238,N/A,2424.687,N/A,2497.579,2559.263,2560.521
unit.001239,N/A,2378.061,N/A,2407.501,2467.087,2468.492
unit.001240,N/A,2362.39,N/A,2376.376,2436.204,2439.881
unit.001241,N/A,2374.191,N/A,2398.173,2459.765,2461.115
unit.001242,N/A,2482.693,N/A,2552.791,2615.559,2622.536
unit.001243,N/A,2478.758,N/A,2548.477,2610.601,2618.55
unit.001244,N/A,2397.781,N/A,2460.079,2520.22,2523.147
unit.001245,N/A,2378.07,N/A,2409.495,2469.508,2471.833
unit.001246,N/A,2492.755,N/A,2563.072,2626.531,2632.864
unit.001247,N/A,2476.776,N/A,2546.298,2608.936,2617.529
unit.001248,N/A,2449.147,N/A,2519.398,2580.516,2586.639
unit.001249,N/A,2387.823,N/A,2439.015,2500.774,2502.281
unit.001250,N/A,2366.367,N/A,2384.286,2446.155,2447.452
unit.001251,N/A,2470.432,N/A,2539.594,2599.021,2607.199
unit.001252,N/A,2357.608,N/A,2366.676,2429.546,2434.065
unit.001253,N/A,2449.138,N/A,2517.817,2580.101,2585.523
unit.001254,N/A,2480.524,N/A,2550.636,2611.615,2619.648
unit.001255,N/A,2468.28,N/A,2538.604,2600.127,2608.931
unit.001256,N/A,2474.435,N/A,2544.144,2604.72,2611.973
unit.001257,N/A,2488.763,N/A,2558.898,2619.652,2627.782
unit.001258,N/A,2372.255,N/A,2395.984,2456.092,2458.457
unit.001259,N/A,2480.531,N/A,2551.805,2612.886,2621.628
unit.001260,N/A,2457.622,N/A,2527.738,2588.864,2595.779
unit.001261,N/A,2374.199,N/A,2401.16,2462.116,2464.16
unit.001262,N/A,2364.341,N/A,2380.334,2441.095,2443.743
unit.001263,N/A,2453.571,N/A,2522.591,2584.268,2590.021
unit.001264,N/A,2453.585,N/A,2523.593,2585.528,2592.111
unit.001265,N/A,2400.912,N/A,2466.41,2526.686,2527.718
unit.001266,N/A,2447.084,N/A,2515.649,2576.002,2582.005
unit.001267,N/A,2400.702,N/A,2464.545,2525.366,2526.698
unit.001268,N/A,2415.21,N/A,2493.029,2552.391,2553.784
unit.001269,N/A,2393.688,N/A,2453.831,2514.404,2516.855
unit.001270,N/A,2434.46,N/A,2506.148,2567.081,2573.096
unit.001271,N/A,2370.2,N/A,2390.034,2449.387,2450.9
unit.001272,N/A,2355.612,N/A,2362.72,2428.632,2432.037
unit.001273,N/A,2380.011,N/A,2411.475,2472.604,2474.142
unit.001274,N/A,2462.042,N/A,2531.329,2592.114,2599.104
unit.001275,N/A,2486.727,N/A,2556.925,2617.518,2625.505
unit.001276,N/A,2404.886,N/A,2472.437,2532.03,2534.286
unit.001277,N/A,2353.359,N/A,2360.354,2426.89,2430.632
unit.001278,N/A,2476.78,N/A,2547.288,2608.549,2616.468
unit.001279,N/A,2451.237,N/A,2521.591,2582.008,2588.861
