#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1483661897        0.105038          0.105038          0.003010          0.003010          0.000000          27.544000         0.003010         
1483661898        0.105042          0.105042          0.003052          0.003052          0.000000          27.543500         0.003052         
1483661899        0.105042          0.105042          0.003052          0.003052          0.000000          27.544100         0.003052         
1483661901        0.105042          0.105042          0.003052          0.003052          0.000000          27.543700         0.003052         
1483661902        0.105042          0.105042          0.003052          0.003052          0.000000          27.543700         0.003052         
1483661903        0.105042          0.105042          0.003052          0.003052          0.000000          27.543400         0.003052         
1483661904        0.105042          0.105042          0.003052          0.003052          0.000000          27.543900         0.003052         
1483661905        0.105042          0.105042          0.003052          0.003052          0.000000          27.544500         0.003052         
1483661906        0.105042          0.105042          0.003052          0.003052          0.000000          27.543700         0.003052         
1483661907        0.564785          0.564686          0.013603          0.013599          0.000000          27.529800         0.013599         
1483661908        0.587536          0.587406          0.034603          0.034603          0.000000          27.508300         0.034603         
1483661910        0.587566          0.587528          0.034710          0.034710          0.000000          27.507800         0.034710         
1483661911        0.595661          0.595623          0.040535          0.040535          0.000000          27.501200         0.040535         
1483661912        0.693668          0.693630          0.117340          0.117340          0.000000          27.383900         0.117340         
1483661913        0.693668          0.693630          0.120834          0.120834          0.000000          27.314800         0.120834         
1483661914        0.693668          0.693630          0.120834          0.120834          0.000000          27.250100         0.120834         
1483661915        0.693668          0.693630          0.120834          0.120834          0.000000          27.162800         0.120834         
1483661916        0.693668          0.693630          0.120834          0.120834          0.000000          27.082900         0.120834         
1483661917        0.693668          0.693630          0.120834          0.120834          0.000000          27.032400         0.120834         
1483661918        0.693668          0.693630          0.120834          0.120834          0.000000          26.959200         0.120834         
1483661920        0.693668          0.693630          0.120834          0.120834          0.000000          26.901800         0.120834         
1483661921        0.693668          0.693630          0.120834          0.117668          0.000000          26.860000         0.120834         
1483661922        0.693668          0.693630          0.120834          0.117889          0.000000          26.787800         0.120834         
1483661923        0.693668          0.693630          0.120834          0.117889          0.000000          26.718000         0.120834         
1483661924        0.693668          0.693630          0.120834          0.117889          0.000000          26.653900         0.120834         
1483661925        0.693668          0.693630          0.120834          0.117889          0.000000          26.599500         0.120834         
1483661926        0.693668          0.693630          0.120834          0.117897          0.000000          26.556100         0.120834         
1483661927        0.693668          0.693630          0.120834          0.117897          0.000000          26.485600         0.120834         
1483661929        0.693668          0.693630          0.120834          0.117897          0.000000          26.437000         0.120834         
1483661930        0.693668          0.693630          0.120834          0.117897          0.000000          26.379600         0.120834         
1483661931        0.693668          0.693630          0.120834          0.117889          0.000000          26.306500         0.120834         
1483661932        0.693668          0.693630          0.120834          0.117889          0.000000          26.257800         0.120834         
1483661933        0.693668          0.693630          0.120834          0.117889          0.000000          26.190200         0.120834         
1483661934        0.693668          0.693630          0.120834          0.117889          0.000000          26.120300         0.120834         
1483661935        0.693668          0.693630          0.120834          0.117889          0.000000          26.071400         0.120834         
1483661936        0.693668          0.693630          0.120834          0.117889          0.000000          25.993300         0.120834         
1483661938        0.693668          0.693630          0.120834          0.117889          0.000000          25.920400         0.120834         
1483661939        0.693668          0.693630          0.120834          0.117889          0.000000          25.861200         0.120834         
1483661940        0.693672          0.693634          0.120838          0.117901          0.000000          25.789600         0.120834         
1483661941        0.693672          0.693634          0.120838          0.117893          0.000000          25.727100         0.120834         
1483661942        0.693672          0.693634          0.120838          0.117893          0.000000          25.653500         0.120834         
1483661943        0.693672          0.693634          0.120838          0.117893          0.000000          25.583000         0.120834         
1483661944        0.693672          0.693634          0.120838          0.117893          0.000000          25.514700         0.120834         
1483661945        0.693672          0.693634          0.120838          0.117901          0.000000          25.444200         0.120834         
1483661947        0.693672          0.693634          0.120838          0.117901          0.000000          25.369200         0.120834         
1483661948        0.693672          0.693634          0.120838          0.117901          0.000000          25.302300         0.120834         
1483661949        0.693672          0.693634          0.120838          0.117901          0.000000          25.244800         0.120834         
1483661950        0.693672          0.693634          0.120838          0.117901          0.000000          25.170100         0.120834         
1483661951        0.693676          0.693638          0.120842          0.117897          0.000000          25.114800         0.120834         
1483661952        0.693676          0.693638          0.120842          0.117897          0.000000          25.057100         0.120834         
1483661953        0.693676          0.693638          0.120842          0.117905          0.000000          25.003900         0.120834         
1483661954        0.693676          0.693638          0.120842          0.117905          0.000000          24.956700         0.120834         
1483661956        0.693676          0.693638          0.120842          0.117905          0.000000          24.914200         0.120834         
1483661957        0.693676          0.693638          0.120842          0.117905          0.000000          24.868500         0.120834         
1483661958        0.693676          0.693638          0.120842          0.117905          0.000000          24.816000         0.120834         
1483661959        0.693676          0.693638          0.120842          0.117905          0.000000          24.744000         0.120834         
1483661960        0.693676          0.693638          0.120842          0.117905          0.000000          24.685500         0.120834         
1483661961        0.693676          0.693638          0.120842          0.117905          0.000000          24.645700         0.120834         
1483661962        0.693676          0.693638          0.120842          0.117905          0.000000          24.568700         0.120834         
1483661963        0.693680          0.693642          0.120846          0.117908          0.000000          24.479900         0.120834         
1483661965        0.693680          0.693642          0.120846          0.117908          0.000000          24.420600         0.120834         
1483661966        0.693680          0.693642          0.120846          0.117908          0.000000          24.363400         0.120834         
1483661967        0.693680          0.693642          0.120846          0.117908          0.000000          24.313100         0.120834         
1483661968        0.693680          0.693642          0.120846          0.117908          0.000000          24.240600         0.120834         
1483661969        0.693680          0.693642          0.120846          0.117916          0.000000          24.185100         0.120834         
1483661970        0.693680          0.693642          0.120846          0.117916          0.000000          24.122000         0.120834         
1483661971        0.693680          0.693642          0.120846          0.117901          0.000000          24.053800         0.120834         
