#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c409-001 2.2514 0.1883 19.0535
c413-601 0.6937 0.1209 19.0709
c437-002 0.6937 0.1181 19.0991
c413-602 0.6937 0.1209 19.0860
c437-204 0.6937 0.1209 19.1022
c437-301 0.6937 0.1196 19.0939
c437-902 0.6937 0.1209 19.0990
c439-102 0.6937 0.1198 19.0920
c439-103 0.6937 0.1209 19.0861
c441-003 0.6937 0.1208 19.0665
c449-101 0.6937 0.1208 19.0812
c455-601 0.6937 0.1208 19.1005
c455-602 0.6937 0.1209 19.0961
c455-902 0.6937 0.1208 19.0961
c455-903 0.6937 0.1208 19.0979
c455-904 0.6937 0.1181 19.1311
