#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1483661889        0.105038          0.105038          0.003006          0.003006          0.000000          27.521700         0.003006         
1483661891        0.105042          0.105042          0.003048          0.003048          0.000000          27.519500         0.003048         
1483661892        0.105042          0.105042          0.003048          0.003048          0.000000          27.519300         0.003048         
1483661893        0.105042          0.105042          0.003048          0.003048          0.000000          27.519800         0.003048         
1483661894        0.105042          0.105042          0.003048          0.003048          0.000000          27.520000         0.003048         
1483661895        0.105042          0.105042          0.003048          0.003048          0.000000          27.520000         0.003048         
1483661896        0.105042          0.105042          0.003048          0.003048          0.000000          27.519500         0.003048         
1483661897        0.105042          0.105042          0.003048          0.003048          0.000000          27.519200         0.003048         
1483661898        0.105042          0.105042          0.003048          0.003048          0.000000          27.518800         0.003048         
1483661900        0.105042          0.105042          0.003048          0.003048          0.000000          27.518700         0.003048         
1483661901        0.105042          0.105042          0.003048          0.003048          0.000000          27.518800         0.003048         
1483661902        0.105042          0.105042          0.003048          0.003048          0.000000          27.519300         0.003048         
1483661903        0.105042          0.105042          0.003048          0.003048          0.000000          27.519100         0.003048         
1483661904        0.105042          0.105042          0.003048          0.003048          0.000000          27.519500         0.003048         
1483661905        0.105042          0.105042          0.003048          0.003048          0.000000          27.519400         0.003048         
1483661906        0.105042          0.105042          0.003048          0.003048          0.000000          27.515900         0.003048         
1483661907        0.569157          0.569057          0.027080          0.027080          0.000000          27.490300         0.027080         
1483661909        0.587566          0.587528          0.034622          0.034622          0.000000          27.482800         0.034622         
1483661910        0.587566          0.587528          0.034721          0.034721          0.000000          27.482700         0.034721         
1483661911        0.611301          0.611259          0.044773          0.044773          0.000000          27.458400         0.044773         
1483661912        0.693668          0.693630          0.120914          0.120914          0.000000          27.348900         0.120914         
1483661913        0.693668          0.693630          0.120914          0.117886          0.000000          27.309100         0.120914         
1483661914        0.693668          0.693630          0.120914          0.117886          0.000000          27.220700         0.120914         
1483661915        0.693668          0.693630          0.120914          0.117886          0.000000          27.151500         0.120914         
1483661916        0.693668          0.693630          0.120914          0.117886          0.000000          27.068700         0.120914         
