BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512504060000 ms, 2017-12-05T14:01:02, 5, 2444, 2439, 0,1_Producer_Count
1512504120000 ms, 2017-12-05T14:02:09, 0, 27302, 27302, 4700,1_Producer_Count
1512504180000 ms, 2017-12-05T14:03:09, 0, 31210, 31210, 5799,1_Producer_Count
1512504240000 ms, 2017-12-05T14:04:15, 0, 59903, 59903, 9667,1_Producer_Count
1512504300000 ms, 2017-12-05T14:05:24, 1, 73085, 73084, 11664,1_Producer_Count
1512504360000 ms, 2017-12-05T14:06:47, 1, 110432, 110431, 14798,1_Producer_Count
1512504420000 ms, 2017-12-05T14:07:55, 42642, 183108, 140466, 17335,1_Producer_Count
1512504480000 ms, 2017-12-05T14:09:07, 110398, 265471, 155073, 18256,1_Producer_Count
1512504540000 ms, 2017-12-05T14:10:19, 194184, 351223, 157039, 20856,1_Producer_Count
1512504600000 ms, 2017-12-05T14:11:35, 274817, 405817, 131000, 22345,1_Producer_Count
1512504660000 ms, 2017-12-05T14:12:53, 327760, 453402, 125642, 23559,1_Producer_Count
1512504720000 ms, 2017-12-05T14:14:11, 375429, 490433, 115004, 22448,1_Producer_Count
1512504780000 ms, 2017-12-05T14:15:22, 419840, 512291, 92451, 17588,1_Producer_Count
1512504840000 ms, 2017-12-05T14:16:21, 452932, 520820, 67888, 12940,1_Producer_Count
1512504900000 ms, 2017-12-05T14:17:27, 455114, 503256, 48142, 9266,1_Producer_Count
1512504960000 ms, 2017-12-05T14:18:24, 445529, 481419, 35890, 6728,1_Producer_Count
1512505020000 ms, 2017-12-05T14:18:32, 473873, 491277, 17404, 3265,1_Producer_Count
1512505080000 ms, 2017-12-05T14:19:16, 447258, 450371, 3113, 359,1_Producer_Count
1512505140000 ms, 2017-12-05T14:19:19, 447173, 451433, 4260, 647,1_Producer_Count
1512505200000 ms, 2017-12-05T14:20:14, 396232, 397574, 1342, 0,1_Producer_Count
1512505260000 ms, 2017-12-05T14:21:10, 341863, 343164, 1301, 0,1_Producer_Count
1512505320000 ms, 2017-12-05T14:22:10, 283244, 284668, 1424, 0,1_Producer_Count
1512505380000 ms, 2017-12-05T14:23:00, 234986, 236275, 1289, 0,1_Producer_Count
1512505440000 ms, 2017-12-05T14:24:18, 157996, 159289, 1293, 0,1_Producer_Count
1512505500000 ms, 2017-12-05T14:25:00, 117663, 118971, 1308, 0,1_Producer_Count
1512505560000 ms, 2017-12-05T14:26:02, 56218, 57546, 1328, 0,1_Producer_Count
1512505620000 ms, 2017-12-05T14:27:00, 166, 1472, 1306, 0,1_Producer_Count
1512505680000 ms, 2017-12-05T14:28:00, 0, 1277, 1277, 0,1_Producer_Count
1512505740000 ms, 2017-12-05T14:29:00, 1, 1307, 1306, 0,1_Producer_Count
1512505800000 ms, 2017-12-05T14:30:00, 0, 1289, 1289, 0,1_Producer_Count
1512505860000 ms, 2017-12-05T14:31:00, 0, 1291, 1291, 0,1_Producer_Count
1512505920000 ms, 2017-12-05T14:32:00, 0, 1302, 1302, 0,1_Producer_Count
1512505980000 ms, 2017-12-05T14:33:00, 1, 1284, 1283, 0,1_Producer_Count
1512506040000 ms, 2017-12-05T14:34:00, 1, 1306, 1305, 0,1_Producer_Count
1512506100000 ms, 2017-12-05T14:35:00, 1, 1298, 1297, 0,1_Producer_Count
1512506160000 ms, 2017-12-05T14:36:00, 0, 1328, 1328, 0,1_Producer_Count
1512506220000 ms, 2017-12-05T14:37:00, 1, 1297, 1296, 0,1_Producer_Count
1512506280000 ms, 2017-12-05T14:38:00, 2, 1287, 1285, 0,1_Producer_Count
1512506340000 ms, 2017-12-05T14:39:00, 0, 1303, 1303, 0,1_Producer_Count
1512506400000 ms, 2017-12-05T14:40:00, 1, 1263, 1262, 0,1_Producer_Count
1512506460000 ms, 2017-12-05T14:41:00, 0, 1293, 1293, 0,1_Producer_Count
1512506520000 ms, 2017-12-05T14:42:00, 1, 1295, 1294, 0,1_Producer_Count
1512506580000 ms, 2017-12-05T14:43:00, 0, 1282, 1282, 0,1_Producer_Count
1512506640000 ms, 2017-12-05T14:44:00, 0, 1303, 1303, 0,1_Producer_Count
1512506700000 ms, 2017-12-05T14:45:00, 1, 1295, 1294, 0,1_Producer_Count
1512506760000 ms, 2017-12-05T14:46:00, 0, 1285, 1285, 0,1_Producer_Count
1512506820000 ms, 2017-12-05T14:47:00, 1, 1281, 1280, 0,1_Producer_Count
1512506880000 ms, 2017-12-05T14:48:00, 1, 1268, 1267, 0,1_Producer_Count
1512506940000 ms, 2017-12-05T14:49:00, 0, 1299, 1299, 0,1_Producer_Count
1512507000000 ms, 2017-12-05T14:50:00, 1, 1317, 1316, 0,1_Producer_Count
1512507060000 ms, 2017-12-05T14:51:00, 0, 1285, 1285, 0,1_Producer_Count
1512507120000 ms, 2017-12-05T14:52:00, 0, 1297, 1297, 0,1_Producer_Count
1512507180000 ms, 2017-12-05T14:53:00, 1, 1261, 1260, 0,1_Producer_Count
1512507240000 ms, 2017-12-05T14:54:00, 0, 1285, 1285, 0,1_Producer_Count
1512507300000 ms, 2017-12-05T14:55:00, 1, 1278, 1277, 0,1_Producer_Count
1512507360000 ms, 2017-12-05T14:56:00, 0, 1288, 1288, 0,1_Producer_Count
1512507420000 ms, 2017-12-05T14:57:00, 1, 1307, 1306, 0,1_Producer_Count
1512507480000 ms, 2017-12-05T14:58:00, 0, 1282, 1282, 0,1_Producer_Count
1512507540000 ms, 2017-12-05T14:59:00, 0, 1278, 1278, 0,1_Producer_Count
1512507600000 ms, 2017-12-05T15:00:00, 1, 1273, 1272, 0,1_Producer_Count
1512507660000 ms, 2017-12-05T15:01:00, 1, 1305, 1304, 0,1_Producer_Count
