#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1481672874 1435547 1743902 44690 174 1432937 1731490 47300 12586 14822.19 12359.14 1512.43 4024.52
1481672876 1435549 1743979 44690 174 1432939 1731567 47300 12586 14822.28 12351.17 1512.34 4032.12
1481672878 1435562 1744071 44690 174 1432952 1731659 47300 12586 14821.76 12319.48 1512.51 4064.89
1481672880 1435652 1744133 44690 174 1433042 1731721 47300 12586 14775.94 12285.36 1558.30 4098.67
1481672881 1435697 1744173 44690 174 1433087 1731761 47300 12586 14762.38 12284.10 1571.87 4099.91
1481672882 1435740 1744217 44690 174 1433129 1731806 47300 12586 14754.59 12275.08 1580.00 4108.93
1481672883 1435774 1744254 44690 174 1433164 1731842 47300 12586 14754.78 12275.67 1580.23 4108.67
1481672884 1435813 1744290 44690 174 1433203 1731878 47300 12586 14750.09 12274.31 1584.06 4110.05
1481672885 1435853 1744336 44690 174 1433243 1731924 47300 12586 14746.50 12264.79 1587.68 4118.87
1481672886 1435888 1744373 44690 174 1433278 1731961 47300 12586 14747.02 12264.25 1587.16 4119.34
1481672888 1435937 1744408 44690 174 1433326 1731996 47300 12586 14734.21 12264.77 1600.03 4119.25
1481672889 1435979 1744446 44690 174 1433369 1732034 47300 12586 14727.01 12261.39 1607.15 4122.19
1481672890 1436021 1744492 44690 174 1433411 1732080 47300 12586 14717.74 12253.06 1616.51 4130.95
1481672891 1436053 1744540 44690 174 1433443 1732128 47300 12586 14717.78 12244.21 1616.47 4139.80
1481672892 1436100 1744576 44690 174 1433490 1732164 47300 12586 14706.78 12244.24 1627.39 4139.41
1481672893 1436143 1744623 44690 174 1433533 1732211 47300 12586 14698.53 12233.09 1636.09 4150.52
1481672894 1436177 1744662 44690 174 1433566 1732250 47300 12586 14696.71 12231.60 1637.47 4152.34
1481672896 1436219 1744709 44690 174 1433609 1732297 47300 12586 14687.53 12222.24 1646.72 4161.36
1481672897 1436262 1744750 44690 174 1433651 1732338 47300 12586 14677.59 12218.49 1656.26 4164.75
1481672898 1436303 1744792 44690 174 1433693 1732381 47300 12586 14671.13 12212.86 1662.71 4171.48
1481672899 1436341 1744837 44690 174 1433731 1732425 47300 12586 14665.39 12207.87 1669.21 4176.50
1481672900 1436376 1744872 44690 174 1433766 1732461 47300 12586 14665.45 12207.43 1669.53 4176.93
1481672902 1436421 1744919 44690 174 1433811 1732507 47300 12586 14655.13 12197.86 1679.13 4185.79
1481672903 1436455 1744956 44690 174 1433845 1732544 47300 12586 14654.71 12197.71 1679.21 4186.26
1481672904 1436494 1744995 44690 174 1433884 1732583 47300 12586 14650.40 12194.10 1683.80 4189.14
1481672905 1436542 1745034 44690 174 1433931 1732622 47300 12586 14636.79 12195.16 1697.85 4188.86
1481672907 1436576 1745080 44690 174 1433966 1732668 47300 12586 14632.43 12188.36 1702.94 4194.86
1481672908 1436618 1745123 44690 174 1434007 1732712 47300 12586 14623.59 12184.38 1710.65 4199.98
1481672909 1436660 1745164 44690 174 1434049 1732752 47300 12586 14618.41 12178.73 1716.22 4205.30
1481672910 1436702 1745201 44690 174 1434092 1732789 47300 12586 14608.36 12178.94 1725.88 4205.03
1481672911 1436744 1745246 44690 174 1434134 1732834 47300 12586 14598.97 12172.43 1735.99 4211.92
1481672912 1436784 1745288 44690 174 1434173 1732877 47300 12586 14592.58 12167.03 1742.04 4216.61
1481672913 1436825 1745327 44690 174 1434215 1732915 47300 12586 14583.68 12166.87 1750.94 4216.73
1481672915 1436865 1745368 44690 174 1434254 1732956 47300 12586 14578.18 12161.78 1756.44 4221.83
1481672916 1436909 1745407 44690 174 1434299 1732995 47300 12586 14567.50 12161.73 1767.05 4221.91
1481672917 1436943 1745449 44690 174 1434333 1733037 47300 12586 14566.73 12154.97 1767.15 4228.64
1481672918 1436984 1745496 44690 174 1434374 1733084 47300 12586 14556.75 12149.23 1777.47 4234.74
1481672919 1437024 1745535 44690 174 1434413 1733124 47300 12586 14549.23 12150.16 1785.02 4234.23
1481672920 1437066 1745576 44690 174 1434456 1733165 47300 12586 14539.16 12145.77 1795.07 4238.25
1481672922 1437106 1745617 44690 174 1434495 1733205 47300 12586 14532.86 12143.27 1801.78 4240.71
1481672923 1437140 1745653 44690 174 1434529 1733241 47300 12586 14533.38 12143.24 1801.58 4241.12
1481672924 1437196 1745693 44690 174 1434586 1733281 47300 12586 14511.64 12139.14 1822.57 4244.86
1481672925 1437241 1745735 44690 174 1434631 1733323 47300 12586 14500.36 12134.16 1834.26 4249.80
1481672926 1437281 1745775 44690 174 1434671 1733363 47300 12586 14491.52 12134.24 1842.74 4249.36
1481672927 1437312 1745816 44690 174 1434702 1733404 47300 12586 14490.89 12134.48 1843.71 4249.52
1481672928 1437356 1745859 44690 174 1434746 1733447 47300 12586 14482.49 12129.28 1851.72 4254.74
1481672930 1437405 1745898 44690 174 1434794 1733486 47300 12586 14470.43 12128.48 1863.79 4255.87
1481672931 1437445 1745944 44690 174 1434834 1733532 47300 12586 14463.70 12124.29 1870.52 4260.04
1481672932 1437488 1745983 44690 174 1434878 1733572 47300 12586 14453.52 12124.29 1880.70 4260.78
1481672933 1437532 1746029 44690 174 1434921 1733617 47300 12586 14443.62 12118.61 1890.25 4265.01
1481672934 1437570 1746070 44690 174 1434960 1733658 47300 12586 14439.68 12118.68 1898.93 4265.31
1481672935 1437603 1746115 44690 174 1434993 1733703 47300 12586 14432.23 12118.24 1901.99 4265.39
1481672936 1437643 1746159 44690 174 1435032 1733747 47300 12586 14428.59 12115.00 1906.02 4268.62
1481672937 1437683 1746204 44690 174 1435072 1733792 47300 12586 14423.15 12110.39 1911.84 4273.23
1481672939 1437722 1746249 44690 174 1435112 1733837 47300 12586 14416.85 12105.50 1917.75 4278.12
1481672940 1437759 1746301 44690 174 1435149 1733889 47300 12586 14408.30 12099.79 1925.95 4283.86
1481672941 1437775 1746368 44690 174 1435164 1733956 47300 12586 14402.25 12096.00 1932.73 4288.02
1481672942 1437797 1746437 44690 174 1435186 1734025 47300 12586 14390.16 12091.70 1944.46 4292.68
1481672943 1437817 1746502 44690 174 1435206 1734091 47300 12586 14383.45 12085.88 1951.16 4297.82
1481672944 1437840 1746576 44690 174 1435229 1734164 47300 12586 14374.37 12072.73 1960.25 4310.93
1481672945 1437867 1746641 44690 174 1435257 1734229 47300 12586 14361.52 12068.45 1973.11 4315.56
1481672947 1437893 1746709 44690 174 1435282 1734297 47300 12586 14348.32 12060.92 1986.67 4323.46
1481672948 1437917 1746770 44690 174 1435307 1734359 47300 12586 14337.55 12060.43 1997.07 4323.59
1481672949 1437943 1746830 44690 174 1435332 1734418 47300 12586 14325.52 12061.09 2009.09 4323.25
1481672950 1437972 1746894 44690 174 1435361 1734483 47300 12586 14309.19 12055.64 2025.43 4327.99
1481672951 1438006 1746956 44690 174 1435396 1734545 47300 12586 14287.33 12055.28 2047.64 4328.36
1481672952 1438028 1747015 44690 174 1435418 1734604 47300 12586 14278.61 12056.62 2056.38 4328.09
1481672953 1438054 1747076 44690 174 1435444 1734664 47300 12586 14265.62 12056.08 2069.37 4328.23
1481672954 1438081 1747136 44690 174 1435470 1734724 47300 12586 14251.34 12055.66 2083.27 4328.37
1481672956 1438105 1747197 44690 174 1435494 1734785 47300 12586 14240.68 12055.99 2093.57 4327.66
1481672957 1438117 1747258 44690 174 1435506 1734846 47300 12586 14240.54 12055.56 2094.08 4328.45
1481672958 1438137 1747319 44690 174 1435526 1734907 47300 12586 14232.01 12055.93 2102.61 4327.72
1481672959 1438162 1747381 44690 174 1435551 1734969 47300 12586 14219.06 12055.30 2115.19 4327.96
1481672960 1438184 1747440 44690 174 1435574 1735028 47300 12586 14209.46 12056.14 2125.16 4327.88
1481672961 1438208 1747500 44690 174 1435598 1735088 47300 12586 14197.38 12056.66 2137.24 4327.72
1481672962 1438241 1747550 44690 174 1435630 1735139 47300 12586 14187.02 12056.71 2147.61 4326.91
1481672963 1438289 1747589 44690 174 1435679 1735177 47300 12586 14171.57 12055.59 2163.02 4328.01
1481672965 1438343 1747628 44690 174 1435732 1735216 47300 12586 14153.55 12057.11 2181.07 4326.87
1481672966 1438387 1747672 44690 174 1435776 1735260 47300 12586 14139.84 12056.07 2194.40 4328.31
1481672967 1438432 1747711 44690 174 1435822 1735299 47300 12586 14127.93 12055.86 2206.68 4328.52
1481672968 1438477 1747748 44690 174 1435867 1735336 47300 12586 14117.39 12051.71 2217.25 4332.66
1481672969 1438540 1747784 44690 174 1435929 1735372 47300 12586 14098.55 12051.61 2236.45 4332.00
1481672970 1438570 1747833 44690 174 1435960 1735421 47300 12586 14092.87 12046.33 2241.74 4337.30
1481672971 1438579 1747896 44690 174 1435969 1735484 47300 12586 14092.98 12046.56 2241.64 4337.46
1481672972 1438608 1747975 44690 174 1435998 1735563 47300 12586 14073.36 12030.29 2260.89 4353.71
1481672974 1438619 1748040 44690 174 1436009 1735628 47300 12586 14073.21 12026.43 2261.04 4357.58
1481672975 1438635 1748107 44690 174 1436025 1735695 47300 12586 14068.22 12020.71 2266.40 4363.30
1481672976 1438656 1748185 44690 174 1436045 1735773 47300 12586 14058.61 12004.23 2276.38 4379.79
1481672977 1438682 1748260 44690 174 1436071 1735848 47300 12586 14043.30 11988.83 2291.31 4395.54
1481672978 1438698 1748325 44690 174 1436088 1735913 47300 12586 14034.89 11986.61 2299.72 4397.81
1481672979 1438712 1748399 44690 174 1436101 1735987 47300 12586 14026.54 11979.88 2308.07 4403.78
1481672980 1438717 1748479 44690 174 1436106 1736067 47300 12586 14026.77 11964.76 2307.84 4419.59
1481672982 1438732 1748558 44690 174 1436121 1736146 47300 12586 14017.45 11953.61 2317.16 4430.80
1481672983 1438746 1748633 44690 174 1436136 1736222 47300 12586 14007.16 11945.05 2327.46 4438.93
1481672984 1438757 1748719 44690 174 1436146 1736307 47300 12586 14000.98 11926.71 2333.63 4456.94
1481672985 1438774 1748794 44690 174 1436164 1736383 47300 12586 13987.14 11917.51 2347.47 4466.15
1481672986 1438781 1748882 44690 174 1436171 1736470 47300 12586 13986.51 11899.49 2348.10 4484.52
1481672987 1438793 1748959 44690 174 1436182 1736547 47300 12586 13979.37 11887.84 2355.25 4496.54
1481672988 1438811 1749026 44690 174 1436200 1736614 47300 12586 13966.41 11887.16 2368.20 4496.86
1481672989 1438815 1749120 44690 174 1436204 1736708 47300 12586 13966.18 11861.35 2368.44 4522.68
1481672991 1438829 1749194 44690 174 1436218 1736782 47300 12586 13957.70 11853.91 2376.91 4530.13
1481672992 1438840 1749270 44690 174 1436230 1736858 47300 12586 13951.16 11843.22 2383.45 4540.80
1481672993 1438852 1749375 44690 174 1436241 1736963 47300 12586 13943.41 11805.80 2391.20 4577.86
1481672994 1438858 1749473 44690 174 1436247 1737061 47300 12586 13943.05 11774.76 2391.57 4608.93
1481672995 1438872 1749556 44690 174 1436261 1737144 47300 12586 13933.24 11760.75 2401.38 4623.26
1481672996 1438904 1749629 44690 174 1436293 1737217 47300 12586 13912.78 11745.87 2421.47 4637.77
1481672997 1438935 1749696 44690 174 1436324 1737284 47300 12586 13896.92 11736.48 2437.32 4647.11
1481672998 1438992 1749752 44690 174 1436381 1737340 47300 12586 13870.89 11720.99 2463.73 4662.24
1481673000 1439068 1749800 44690 174 1436457 1737389 47300 12586 13833.42 11705.78 2500.86 4678.20
1481673001 1439127 1749860 44690 174 1436516 1737449 47300 12586 13810.23 11681.10 2524.02 4702.90
1481673002 1439156 1749927 44690 174 1436546 1737515 47300 12586 13810.25 11661.56 2524.38 4722.44
1481673004 1439185 1750054 44690 174 1436574 1737642 47300 12586 13810.93 11579.42 2523.66 4804.95
1481673007 1439218 1750188 44690 174 1436607 1737776 47300 12586 13811.20 11483.28 2523.78 4900.72
1481673009 1439254 1750309 44690 174 1436644 1737897 47300 12586 13811.22 11387.74 2523.40 4996.61
1481673012 1439300 1750407 44690 174 1436690 1737995 47300 12586 13810.35 11326.33 2524.26 5058.04
1481673014 1439341 1750438 44690 174 1436730 1738027 47300 12586 13810.58 11326.44 2524.06 5057.92
1481673017 1439381 1750470 44690 174 1436770 1738058 47300 12586 13810.87 11327.20 2523.90 5056.80
1481673020 1439421 1750502 44690 174 1436810 1738090 47300 12586 13810.69 11327.19 2523.57 5056.45
1481673021 1439459 1750532 44690 174 1436848 1738120 47300 12586 14185.20 11938.45 2148.99 4445.57
1481673023 1439490 1750566 44690 174 1436879 1738154 47300 12586 14184.75 11938.17 2149.85 4445.44
1481673024 1439520 1750599 44690 174 1436910 1738187 47300 12586 14185.30 11938.70 2148.52 4445.27
1481673025 1439554 1750631 44690 174 1436943 1738219 47300 12586 14185.64 11938.70 2148.61 4444.93
1481673026 1439584 1750664 44690 174 1436973 1738252 47300 12586 14186.12 11939.20 2148.50 4444.84
1481673027 1439614 1750696 44690 174 1437004 1738284 47300 12586 14186.48 11939.32 2148.86 4445.02
1481673028 1439645 1750729 44690 174 1437035 1738317 47300 12586 14186.18 11939.23 2148.79 4445.14
1481673029 1439676 1750762 44690 174 1437066 1738350 47300 12586 14186.68 11940.06 2147.51 4444.71
1481673030 1439708 1750794 44690 174 1437097 1738382 47300 12586 14187.14 11939.04 2147.40 4445.30
1481673031 1439739 1750827 44690 174 1437129 1738415 47300 12586 14186.55 11939.22 2147.69 4444.79
1481673033 1439770 1750860 44690 174 1437159 1738448 47300 12586 14187.73 11940.20 2146.86 4444.20
1481673034 1439801 1750893 44690 174 1437190 1738481 47300 12586 14187.60 11940.18 2146.95 4443.84
1481673035 1439833 1750924 44690 174 1437223 1738512 47300 12586 14187.24 11940.19 2147.32 4443.82
1481673036 1439864 1750957 44690 174 1437254 1738545 47300 12586 14186.99 11940.18 2147.26 4444.17
1481673037 1439895 1750990 44690 174 1437284 1738578 47300 12586 14187.26 11940.33 2146.63 4443.69
1481673038 1439926 1751023 44690 174 1437315 1738611 47300 12586 14188.07 11940.57 2146.93 4443.46
