Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171107-234146
5000,10000,1,5000,309.0,3727.95922383,20171107-234146
0,5000,2,5000,621.0,3424.43030612,20171107-234146
5000,10000,3,5000,930.0,3555.79099362,20171107-234146
10000,15000,4,5000,1239.0,4398.29396311,20171107-234146
15000,20000,5,5000,1554.0,5147.97863706,20171107-234146
20000,25000,6,5000,1860.0,5580.72381824,20171107-234146
25000,30000,7,5000,2171.0,5930.99570637,20171107-234146
30000,35000,8,5000,2477.0,6230.06707704,20171107-234146
35000,40000,9,5000,2787.0,6379.99647858,20171107-234146
40000,45000,10,5000,3097.0,6392.79008277,20171107-234146
45000,50000,11,5000,3406.0,6751.61333687,20171107-234146
50000,55000,12,5000,3714.0,6927.08609117,20171107-234146
55000,60000,13,5000,4029.0,7198.20161191,20171107-234146
60000,65000,14,5000,4343.0,7442.83802103,20171107-234146
65000,70000,15,5000,4654.0,7564.63786618,20171107-234146
70000,75000,16,5000,4966.0,7775.44684609,20171107-234146
75000,80000,17,5000,5282.0,7878.74771436,20171107-234146
80000,85000,18,5000,5590.0,8101.29464346,20171107-234146
85000,90000,19,5000,5899.0,8264.06839128,20171107-234146
90000,95000,20,5000,6213.0,8335.62386069,20171107-234146
95000,100000,21,5000,6524.0,8396.55667167,20171107-234146
0,5000,22,5000,6834.0,7057.83181386,20171107-234147
5000,10000,23,5000,7147.0,6502.79972051,20171107-234147
10000,15000,24,5000,7460.0,6066.37165554,20171107-234147
15000,20000,25,5000,7762.0,5703.77967798,20171107-234147
20000,25000,26,5000,8064.0,5596.6342716,20171107-234147
25000,30000,27,5000,8371.0,5617.61559405,20171107-234147
30000,35000,28,5000,8679.0,5607.09572169,20171107-234147
35000,40000,29,5000,8984.0,5628.11353362,20171107-234147
40000,45000,30,5000,9290.0,5649.61093817,20171107-234147
45000,50000,31,5000,9602.0,5672.23486158,20171107-234147
50000,55000,32,5000,9914.0,5693.3356047,20171107-234147
55000,60000,33,5000,10216.0,5709.52663719,20171107-234147
60000,65000,34,5000,10517.0,5726.38878305,20171107-234147
65000,70000,35,5000,10826.0,5743.90593701,20171107-234148
70000,75000,36,5000,11136.0,5845.4330788,20171107-234148
75000,80000,37,5000,11454.0,5938.30567686,20171107-234148
80000,85000,38,5000,11773.0,6004.00112299,20171107-234148
85000,90000,39,5000,12071.0,6059.25492055,20171107-234148
