BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1507831260000 ms, 2017-10-12T13:01:02, 6, 2412, 0,1_Producer_Count
1507831320000 ms, 2017-10-12T13:02:12, 1, 35821, 5105,1_Producer_Count
1507831380000 ms, 2017-10-12T13:03:27, 0, 86712, 11687,1_Producer_Count
1507831440000 ms, 2017-10-12T13:04:45, 8331, 109177, 11769,1_Producer_Count
1507831500000 ms, 2017-10-12T13:05:43, 51873, 148903, 13248,1_Producer_Count
1507831560000 ms, 2017-10-12T13:06:42, 89506, 195629, 13329,1_Producer_Count
1507831620000 ms, 2017-10-12T13:07:44, 134232, 243453, 13098,1_Producer_Count
1507831680000 ms, 2017-10-12T13:08:43, 184428, 287127, 13099,1_Producer_Count
1507831740000 ms, 2017-10-12T13:09:50, 219698, 316594, 13098,1_Producer_Count
1507831800000 ms, 2017-10-12T13:10:47, 259666, 345981, 13378,1_Producer_Count
1507831860000 ms, 2017-10-12T13:11:47, 285567, 367357, 13189,1_Producer_Count
1507831920000 ms, 2017-10-12T13:12:45, 309554, 392871, 13114,1_Producer_Count
1507831980000 ms, 2017-10-12T13:13:46, 331785, 412513, 13237,1_Producer_Count
1507832040000 ms, 2017-10-12T13:14:43, 356233, 430967, 12855,1_Producer_Count
1507832100000 ms, 2017-10-12T13:15:15, 398522, 430351, 5140,1_Producer_Count
1507832160000 ms, 2017-10-12T13:16:12, 373349, 393373, 3042,1_Producer_Count
1507832220000 ms, 2017-10-12T13:17:09, 336037, 356294, 3067,1_Producer_Count
1507832280000 ms, 2017-10-12T13:18:10, 295141, 313496, 3040,1_Producer_Count
1507832340000 ms, 2017-10-12T13:19:06, 258091, 268953, 1411,1_Producer_Count
1507832400000 ms, 2017-10-12T13:20:05, 209934, 219277, 1290,1_Producer_Count
1507832460000 ms, 2017-10-12T13:21:02, 162122, 166901, 580,1_Producer_Count
1507832520000 ms, 2017-10-12T13:22:00, 109222, 110394, 0,1_Producer_Count
1507832580000 ms, 2017-10-12T13:23:00, 50386, 51691, 0,1_Producer_Count
1507832640000 ms, 2017-10-12T13:24:00, 0, 1213, 0,1_Producer_Count
1507832700000 ms, 2017-10-12T13:25:00, 0, 1329, 0,1_Producer_Count
1507832760000 ms, 2017-10-12T13:26:00, 1, 1328, 0,1_Producer_Count
1507832820000 ms, 2017-10-12T13:27:00, 0, 1201, 0,1_Producer_Count
1507832880000 ms, 2017-10-12T13:28:00, 0, 1196, 0,1_Producer_Count
1507832940000 ms, 2017-10-12T13:29:00, 0, 1206, 0,1_Producer_Count
1507833000000 ms, 2017-10-12T13:30:00, 1, 1207, 0,1_Producer_Count
1507833060000 ms, 2017-10-12T13:31:00, 0, 1315, 0,1_Producer_Count
1507833120000 ms, 2017-10-12T13:32:00, 1, 1198, 0,1_Producer_Count
1507833180000 ms, 2017-10-12T13:33:00, 0, 1257, 0,1_Producer_Count
1507833240000 ms, 2017-10-12T13:34:00, 1, 1323, 0,1_Producer_Count
1507833300000 ms, 2017-10-12T13:35:00, 0, 1186, 0,1_Producer_Count
1507833360000 ms, 2017-10-12T13:36:00, 0, 1198, 0,1_Producer_Count
1507833420000 ms, 2017-10-12T13:37:00, 0, 1218, 0,1_Producer_Count
1507833480000 ms, 2017-10-12T13:38:00, 1, 1213, 0,1_Producer_Count
1507833540000 ms, 2017-10-12T13:39:00, 1, 1226, 0,1_Producer_Count
1507833600000 ms, 2017-10-12T13:40:00, 1, 1208, 0,1_Producer_Count
1507833660000 ms, 2017-10-12T13:41:00, 0, 1181, 0,1_Producer_Count
1507833720000 ms, 2017-10-12T13:42:00, 1, 1209, 0,1_Producer_Count
1507833780000 ms, 2017-10-12T13:43:00, 1, 1189, 0,1_Producer_Count
1507833840000 ms, 2017-10-12T13:44:00, 0, 1190, 0,1_Producer_Count
1507833900000 ms, 2017-10-12T13:45:00, 0, 1185, 0,1_Producer_Count
1507833960000 ms, 2017-10-12T13:46:00, 1, 1196, 0,1_Producer_Count
1507834020000 ms, 2017-10-12T13:47:00, 1, 1188, 0,1_Producer_Count
1507834080000 ms, 2017-10-12T13:48:00, 1, 1189, 0,1_Producer_Count
1507834140000 ms, 2017-10-12T13:49:00, 0, 1197, 0,1_Producer_Count
1507834200000 ms, 2017-10-12T13:50:00, 0, 1186, 0,1_Producer_Count
1507834260000 ms, 2017-10-12T13:51:00, 0, 1193, 0,1_Producer_Count
1507834320000 ms, 2017-10-12T13:52:00, 1, 1190, 0,1_Producer_Count
1507834380000 ms, 2017-10-12T13:53:00, 1, 1192, 0,1_Producer_Count
1507834440000 ms, 2017-10-12T13:54:00, 1, 1188, 0,1_Producer_Count
1507834500000 ms, 2017-10-12T13:55:00, 0, 1196, 0,1_Producer_Count
1507834560000 ms, 2017-10-12T13:56:00, 0, 1198, 0,1_Producer_Count
1507834620000 ms, 2017-10-12T13:57:00, 1, 1203, 0,1_Producer_Count
1507834680000 ms, 2017-10-12T13:58:00, 0, 1186, 0,1_Producer_Count
