Index,Atom,Length,Window,Tasks,Run,DataInit,Exec,Write,TotalTime,SessionName,JsonName
0,AA,Short,32,16,1,0,467895,3,467898,spcopr_haus_16_32_aa_short_1,app-20161207072746-0000
1,AA,Short,32,16,2,0,459732,4,459736,spcopr_haus_16_32_aa_short_2,app-20161207073937-0000
2,AA,Short,32,16,3,0,466979,5,466984,spcopr_haus_16_32_aa_short_3,app-20161207075203-0000
3,AA,Short,16,64,1,0,160031,4,160035,spcopr_haus_64_16_aa_short_1,app-20161207082354-0000
4,AA,Short,16,64,2,0,157186,3,157189,spcopr_haus_64_16_aa_short_2,app-20161207082812-0000
5,AA,Short,16,64,3,0,177385,7,177392,spcopr_haus_64_16_aa_short_3,app-20161207090852-0000
6,AA,Short,8,256,1,0,48753,453,49206,spcopr_haus_256_8_aa_short_1,app-20161207093709-0000
7,AA,Short,8,256,2,0,43846,4,43850,spcopr_haus_256_8_aa_short_2,app-20161207140702-0000
8,AA,Short,8,256,3,0,49094,4,49098,spcopr_haus_256_8_aa_short_3,app-20161207142006-0000
9,AA,Short,4,1024,1,1,18525,4,18530,spcopr_haus_1024_4_aa_short_1,app-20161207143719-0000
10,AA,Short,4,1024,2,1,18719,5,18725,spcopr_haus_1024_4_aa_short_2,app-20161207144204-0000
11,AA,Short,4,1024,3,1,19307,6,19314,spcopr_haus_1024_4_aa_short_3,app-20161207145334-0000
12,AA,Med,32,16,1,0,939560,4,939564,spcopr_haus_16_32_aa_med_1,app-20161208082434-0000
13,AA,Med,32,16,2,1,883068,6,883075,spcopr_haus_16_32_aa_med_2,app-20161208085743-0000
14,AA,Med,32,16,3,0,878800,4,878804,spcopr_haus_16_32_aa_med_3,app-20161208091503-0000
15,AA,Med,16,64,1,0,335696,7,335703,spcopr_haus_64_16_aa_med_1,app-20161208072923-0000
16,AA,Med,16,64,2,0,335075,4,335079,spcopr_haus_64_16_aa_med_2,app-20161208080020-0000
17,AA,Med,16,64,3,0,527098,4,527102,spcopr_haus_64_16_aa_med_3,app-20161208080934-0000
18,AA,Med,8,256,1,0,88243,7,88250,spcopr_haus_256_8_aa_med_1,app-20161208065850-0000
19,AA,Med,8,256,2,0,91760,4,91764,spcopr_haus_256_8_aa_med_2,app-20161208070639-0000
20,AA,Med,8,256,3,0,87907,3,87910,spcopr_haus_256_8_aa_med_3,app-20161208071718-0000
21,AA,Med,4,1024,1,1,27653,113,27767,spcopr_haus_1024_4_aa_med_1,app-20161208054823-0000
22,AA,Med,4,1024,2,1,27540,4,27545,spcopr_haus_1024_4_aa_med_2,app-20161208064742-0000
23,AA,Med,4,1024,3,1,27497,4,27502,spcopr_haus_1024_4_aa_med_3,app-20161208064944-0000
24,AA,Long,32,16,1,0,1770723,15,1770738,spcopr_haus_16_32_aa_long_1,app-20161208093232-0000
25,AA,Long,32,16,2,0,2850960,23,2850983,spcopr_haus_16_32_aa_long_2,app-20161208101401-0000
26,AA,Long,32,16,3,0,1782156,3,1782159,spcopr_haus_16_32_aa_long_3,app-20161208115102-0000
27,AA,Long,16,64,1,0,729044,4,729048,spcopr_haus_64_16_aa_long_1,app-20161208125234-0000
28,AA,Long,16,64,2,0,708648,4,708652,spcopr_haus_64_16_aa_long_2,app-20161208131828-0000
29,AA,Long,16,64,3,1,739425,5,739431,spcopr_haus_64_16_aa_long_3,app-20161208142259-0000
30,AA,Long,8,256,1,0,188731,4,188735,spcopr_haus_256_8_aa_long_1,app-20161208184011-0000
31,AA,Long,8,256,2,0,191742,5,191747,spcopr_haus_256_8_aa_long_2,app-20161208193519-0000
32,AA,Long,8,256,3,0,188932,3,188935,spcopr_haus_256_8_aa_long_3,app-20161208203745-0000
33,AA,Long,4,1024,1,1,52519,3,52523,spcopr_haus_1024_4_aa_long_1,app-20161209231257-0000
34,AA,Long,4,1024,2,1,52551,3,52555,spcopr_haus_1024_4_aa_long_2,app-20161209232206-0000
35,AA,Long,4,1024,3,1,52734,5,52740,spcopr_haus_1024_4_aa_long_3,app-20161209233140-0000
