system,size,cores,try,time
ca,short,24,1,24
ca,short,24,2,23
ca,short,24,3,26
ca,short,48,1,17
ca,short,48,2,13
ca,short,48,3,12
ca,short,96,1,24
ca,short,96,2,23
ca,short,96,3,21
ca,short,144,1,21
ca,short,144,2,17
ca,short,144,3,15
ca,medium,24,1,41
ca,medium,24,2,44
ca,medium,24,3,38
ca,medium,48,1,30
ca,medium,48,2,45
ca,medium,48,3,26
ca,medium,96,1,18
ca,medium,96,2,18
ca,medium,96,3,18
ca,medium,144,1,17
ca,medium,144,2,22
ca,medium,144,3,19
ca,long,24,1,31
ca,long,24,2,37
ca,long,24,3,43
ca,long,48,1,45
ca,long,48,2,33
ca,long,48,3,30
ca,long,96,1,36
ca,long,96,2,29
ca,long,96,3,26
ca,long,144,1,44
ca,long,144,2,27
ca,long,144,3,28
ha,short,24,1,
ha,short,24,2,
ha,short,24,3,
ha,short,48,1,
ha,short,48,2,
ha,short,48,3,
ha,short,96,1,
ha,short,96,2,
ha,short,96,3,
ha,short,144,1,
ha,short,144,2,
ha,short,144,3,
ha,medium,24,1,
ha,medium,24,2,
ha,medium,24,3,
ha,medium,48,1,
ha,medium,48,2,
ha,medium,48,3,
ha,medium,96,1,
ha,medium,96,2,
ha,medium,96,3,
ha,medium,144,1,
ha,medium,144,2,
ha,medium,144,3,
ha,long,24,1,
ha,long,24,2,
ha,long,24,3,
ha,long,48,1,
ha,long,48,2,
ha,long,48,3,
ha,long,96,1,
ha,long,96,2,
ha,long,96,3,
ha,long,144,1,
ha,long,144,2,
ha,long,144,3,
aa,short,24,1,
aa,short,24,2,
aa,short,24,3,
aa,short,48,1,
aa,short,48,2,
aa,short,48,3,
aa,short,96,1,
aa,short,96,2,
aa,short,96,3,
aa,short,144,1,
aa,short,144,2,
aa,short,144,3,
aa,medium,24,1,
aa,medium,24,2,
aa,medium,24,3,
aa,medium,48,1,
aa,medium,48,2,
aa,medium,48,3,
aa,medium,96,1,
aa,medium,96,2,
aa,medium,96,3,
aa,medium,144,1,
aa,medium,144,2,
aa,medium,144,3,
aa,long,24,1,
aa,long,24,2,
aa,long,24,3,
aa,long,48,1,
aa,long,48,2,
aa,long,48,3,
aa,long,96,1,
aa,long,96,2,
aa,long,96,3,
aa,long,144,1,
aa,long,144,2,
aa,long,144,3,
