Index,Atom,Length,Window,Tasks,Run,DataInit,Exec,Write,TotalTime,SessionName,JsonName
0,CA,Short,32,16,1,0,16377,4,16381,spcopr_haus_16_32_ca_short_1,app-20161202114449-0000
1,CA,Short,32,16,2,0,16627,4,16631,spcopr_haus_16_32_ca_short_2,app-20161202115736-0000
2,CA,Short,32,16,3,0,16747,5,16752,spcopr_haus_16_32_ca_short_3,app-20161202121046-0000
3,CA,Short,16,64,1,1,8365,3,8369,spcopr_haus_64_16_ca_short_1,app-20161202121704-0000
4,CA,Short,16,64,2,0,8022,3,8025,spcopr_haus_64_16_ca_short_2,app-20161202122313-0000
5,CA,Short,16,64,3,0,8188,4,8192,spcopr_haus_64_16_ca_short_3,app-20161202122952-0000
6,CA,Short,8,256,1,1,5827,6,5834,spcopr_haus_256_8_ca_short_1,app-20161202123829-0000
7,CA,Short,8,256,2,1,5881,6,5888,spcopr_haus_256_8_ca_short_2,app-20161202125119-0000
8,CA,Short,8,256,3,0,7337,3,7340,spcopr_haus_256_8_ca_short_3,app-20161202135918-0000
9,CA,Short,4,1024,1,1,6651,4,6656,spcopr_haus_1024_4_ca_short_1,app-20161202152047-0000
10,CA,Short,4,1024,2,1,6336,4,6341,spcopr_haus_1024_4_ca_short_2,app-20161202162209-0000
11,CA,Short,4,1024,3,1,6033,3,6037,spcopr_haus_1024_4_ca_short_3,app-20161202164011-0000
12,CA,Med,32,16,1,0,25527,3,25530,spcopr_haus_16_32_ca_med_1,app-20161202165628-0000
13,CA,Med,32,16,2,0,26118,4,26122,spcopr_haus_16_32_ca_med_2,app-20161202170254-0000
14,CA,Med,32,16,3,0,24966,6,24972,spcopr_haus_16_32_ca_med_3,app-20161202170543-0000
15,CA,Med,16,64,1,0,10735,4,10739,spcopr_haus_64_16_ca_med_1,app-20161202171110-0000
16,CA,Med,16,64,2,0,10163,2,10165,spcopr_haus_64_16_ca_med_2,app-20161202171429-0000
17,CA,Med,16,64,3,0,10250,3,10253,spcopr_haus_64_16_ca_med_3,app-20161202172607-0000
18,CA,Med,8,256,1,0,5955,4,5959,spcopr_haus_256_8_ca_med_1,app-20161202172912-0000
19,CA,Med,8,256,2,1,6054,3,6058,spcopr_haus_256_8_ca_med_2,app-20161202173128-0000
20,CA,Med,8,256,3,1,6758,3,6762,spcopr_haus_256_8_ca_med_3,app-20161202181440-0000
21,CA,Med,4,1024,1,1,6152,5,6158,spcopr_haus_1024_4_ca_med_1,app-20161202182618-0000
22,CA,Med,4,1024,2,1,6448,2,6451,spcopr_haus_1024_4_ca_med_2,app-20161202182801-0000
23,CA,Med,4,1024,3,0,6500,3,6503,spcopr_haus_1024_4_ca_med_3,app-20161202183117-0000
24,CA,Long,32,16,1,0,48677,6,48683,spcopr_haus_16_32_ca_long_1,app-20161202211618-0000
25,CA,Long,32,16,2,0,123733,7,123740,spcopr_haus_16_32_ca_long_2,app-20161202213506-0000
26,CA,Long,32,16,3,0,125676,7,125683,spcopr_haus_16_32_ca_long_3,app-20161206225514-0000
27,CA,Long,16,64,1,0,25727,4,25731,spcopr_haus_64_16_ca_long_1,app-20161202204239-0000
28,CA,Long,16,64,2,0,32135,5,32140,spcopr_haus_64_16_ca_long_2,app-20161202204645-0000
29,CA,Long,16,64,3,0,39371,7,39378,spcopr_haus_64_16_ca_long_3,app-20161202210710-0000
30,CA,Long,8,256,1,1,13838,5,13844,spcopr_haus_256_8_ca_long_1,app-20161202193351-0000
31,CA,Long,8,256,2,0,13609,4,13613,spcopr_haus_256_8_ca_long_2,app-20161202200539-0000
32,CA,Long,8,256,3,1,13455,4,13460,spcopr_haus_256_8_ca_long_3,app-20161202202119-0000
33,CA,Long,4,1024,1,1,7974,3,7978,spcopr_haus_1024_4_ca_long_1,app-20161202183355-0000
34,CA,Long,4,1024,2,1,7816,4,7821,spcopr_haus_1024_4_ca_long_2,app-20161202183744-0000
35,CA,Long,4,1024,3,1,8081,4,8086,spcopr_haus_1024_4_ca_long_3,app-20161202192037-0000
