Index,Atom,Length,Window,Tasks,Run,DataInit,Exec,Write,TotalTime,SessionName,JsonName
39,CA,Long,24,36,1,0,54.477,0.005,54.482,spcopr_haus_36_24_ca_long_1,app-20161111140028-0000
40,CA,Long,24,36,2,0,54.453,0.004,54.457,spcopr_haus_36_24_ca_long_2,app-20161111145035-0000
41,CA,Long,24,36,3,0.001,54.142,0.004,54.147,spcopr_haus_36_24_ca_long_3,app-20161111150351-0000
42,CA,Long,16,78,1,0.001,31.261,0.006,31.268,spcopr_haus_78_16_ca_long_1,app-20161111150930-0000
43,CA,Long,16,78,2,0,32.177,0.005,32.182,spcopr_haus_78_16_ca_long_2,app-20161111151217-0000
44,CA,Long,16,78,3,0,30.533,0.004,30.537,spcopr_haus_78_16_ca_long_3,app-20161111151948-0000
45,CA,Long,12,136,1,0.001,19.809,0.004,19.814,spcopr_haus_136_12_ca_long_1,app-20161111153941-0000
46,CA,Long,12,136,2,0,19.725,0.006,19.731,spcopr_haus_136_12_ca_long_2,app-20161111154644-0000
47,CA,Long,12,136,3,0,19.485,0.006,19.491,spcopr_haus_136_12_ca_long_3,app-20161111155927-0000
48,CA,Long,8,300,1,0,11.993,0.004,11.997,spcopr_haus_300_8_ca_long_1,app-20161111160253-0000
49,CA,Long,8,300,2,0,12.105,0.005,12.11,spcopr_haus_300_8_ca_long_2,app-20161111160557-0000
50,CA,Long,8,300,3,0.001,12.29,0.005,12.296,spcopr_haus_300_8_ca_long_3,app-20161111163929-0000
51,CA,Long,6,528,1,0,9.267,0.005,9.272,spcopr_haus_528_6_ca_long_1,app-20161111164741-0000
52,CA,Long,6,528,2,0,9.319,0.005,9.324,spcopr_haus_528_6_ca_long_2,app-20161111164947-0000
53,CA,Long,6,528,3,0,9.012,0.005,9.017,spcopr_haus_528_6_ca_long_3,app-20161111170913-0000
