Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171027-153752
5000,10000,1,5000,309.0,6157.10556545,20171027-153752
0,5000,2,5000,620.0,6626.47789703,20171027-153752
5000,10000,3,5000,932.0,5039.19669682,20171027-153752
10000,15000,4,5000,1246.0,4693.13616203,20171027-153752
15000,20000,5,5000,1559.0,3921.12554651,20171027-153752
20000,25000,6,5000,1870.0,3541.9409769,20171027-153752
25000,30000,7,5000,2181.0,3522.34925938,20171027-153752
30000,35000,8,5000,2490.0,3559.26288841,20171027-153752
35000,40000,9,5000,2800.0,3840.87240798,20171027-153752
40000,45000,10,5000,3110.0,4084.46345309,20171027-153752
45000,50000,11,5000,3422.0,4311.51237574,20171027-153752
50000,55000,12,5000,3732.0,4454.49192362,20171027-153752
55000,60000,13,5000,4039.0,4620.96468237,20171027-153752
60000,65000,14,5000,4344.0,4732.28924846,20171027-153752
65000,70000,15,5000,4654.0,4880.04830376,20171027-153753
70000,75000,16,5000,4963.0,5074.50148666,20171027-153753
75000,80000,17,5000,5272.0,5284.66766756,20171027-153753
80000,85000,18,5000,5586.0,5424.33824315,20171027-153753
85000,90000,19,5000,5900.0,5556.82158274,20171027-153753
90000,95000,20,5000,6212.0,5721.99205752,20171027-153753
95000,100000,21,5000,6517.0,5871.18181469,20171027-153753
0,5000,22,5000,6828.0,5197.15372437,20171027-153753
5000,10000,23,5000,7140.0,4940.51967682,20171027-153753
10000,15000,24,5000,7451.0,4884.89553461,20171027-153753
15000,20000,25,5000,7763.0,5008.92349436,20171027-153753
20000,25000,26,5000,8075.0,5130.56121385,20171027-153753
25000,30000,27,5000,8384.0,5246.75217069,20171027-153753
30000,35000,28,5000,8692.0,5297.04105644,20171027-153753
35000,40000,29,5000,9006.0,5385.93838165,20171027-153753
40000,45000,30,5000,9319.0,5495.59773628,20171027-153753
45000,50000,31,5000,9627.0,5610.54884707,20171027-153753
50000,55000,32,5000,9936.0,5709.73142621,20171027-153753
55000,60000,33,5000,10237.0,5777.33887048,20171027-153753
60000,65000,34,5000,10538.0,5868.79369797,20171027-153753
65000,70000,35,5000,10846.0,5960.64722352,20171027-153753
70000,75000,36,5000,11154.0,6064.55707273,20171027-153753
75000,80000,37,5000,11454.0,6149.14469195,20171027-153753
80000,85000,38,5000,11753.0,6230.75294378,20171027-153753
85000,90000,39,5000,12052.0,6311.79178452,20171027-153753
90000,95000,40,5000,12350.0,6402.08506673,20171027-153753
95000,100000,41,5000,12650.0,6492.64007624,20171027-153754
100000,105000,42,5000,12949.0,6581.31146221,20171027-153754
105000,110000,43,5000,13254.0,6669.01140867,20171027-153754
110000,115000,44,5000,13560.0,6742.1964443,20171027-153754
115000,120000,45,5000,13885.0,6821.72805817,20171027-153754
120000,125000,46,5000,14210.0,6899.80011079,20171027-153754
125000,130000,47,5000,14538.0,6955.65820347,20171027-153754
130000,135000,48,5000,14865.0,7031.86291391,20171027-153754
135000,140000,49,5000,15176.0,7097.17710765,20171027-153754
140000,145000,50,5000,15486.0,7159.70631719,20171027-153754
145000,150000,51,5000,15794.0,7196.12286961,20171027-153754
150000,155000,52,5000,16102.0,7230.66283596,20171027-153754
