BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512063780000 ms,2017-11-30T11:43:20,0,75149,75149,12105,1_Producer_Count
1512063840000 ms,2017-11-30T11:44:41,1,91387,91386,11905,1_Producer_Count
1512063900000 ms,2017-11-30T11:45:44,28406,113521,85115,13939,1_Producer_Count
1512063960000 ms,2017-11-30T11:46:29,69224,175797,106573,13685,1_Producer_Count
1512064020000 ms,2017-11-30T11:47:59,84966,178866,93900,14069,1_Producer_Count
1512064080000 ms,2017-11-30T11:48:55,123463,222080,98617,13606,1_Producer_Count
1512064140000 ms,2017-11-30T11:49:48,169067,279810,110743,13509,1_Producer_Count
1512064200000 ms,2017-11-30T11:50:35,232833,311453,78620,13886,1_Producer_Count
1512064260000 ms,2017-11-30T11:51:28,258055,336571,78516,13699,1_Producer_Count
1512064320000 ms,2017-11-30T11:53:05,240101,312457,72356,14025,1_Producer_Count
1512064380000 ms,2017-11-30T11:53:57,260486,340206,79720,15392,1_Producer_Count
1512064440000 ms,2017-11-30T11:54:29,307841,359414,51573,9860,1_Producer_Count
