t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1504881352,1,11.300365,11.300365,11.300365,0.000000,11.300365,11.300365,11.300365,11.300365,11.300365,11.300365,0.096339,0.184009,0.196694,0.198892,calls/second,milliseconds
1504881362,50,96.109604,2.139725,0.006765,13.527492,0.009886,0.013494,1.018456,96.109604,96.109604,96.109604,2.459801,0.939325,0.352226,0.250988,calls/second,milliseconds
1504881372,347,96.109604,0.636914,0.003459,5.182263,0.014582,0.335968,0.817658,3.812749,11.300365,96.109604,11.441968,5.290046,1.311601,0.576078,calls/second,milliseconds
1504881382,490,96.109604,0.509589,0.003459,4.298869,0.161646,0.316072,0.582234,1.497247,9.172972,96.109604,12.150057,6.581820,1.733505,0.727283,calls/second,milliseconds
1504881392,490,96.109604,0.509589,0.003459,4.298869,0.161646,0.316072,0.582234,1.497247,9.172972,96.109604,9.736686,5.571390,1.676674,0.719247,calls/second,milliseconds
1504881402,490,96.109604,0.509589,0.003459,4.298869,0.161646,0.316072,0.582234,1.497247,9.172972,96.109604,8.122739,4.716080,1.621706,0.711299,calls/second,milliseconds
1504881412,490,96.109604,0.509589,0.003459,4.298869,0.161646,0.316072,0.582234,1.497247,9.172972,96.109604,6.967685,3.992076,1.568540,0.703440,calls/second,milliseconds
1504881422,539,96.109604,0.445851,0.003459,3.922753,0.013511,0.299263,0.510999,1.497247,7.089513,96.109604,6.710353,4.162784,1.679097,0.749961,calls/second,milliseconds
1504881432,738,96.109604,0.351120,0.001569,2.958867,0.015561,0.271680,0.474876,1.497247,6.941483,21.929404,8.170720,6.654810,2.279700,0.961926,calls/second,milliseconds
1504881442,835,96.109604,0.323187,0.001569,2.651839,0.015597,0.266202,0.462864,1.015389,6.862348,21.929404,8.323141,7.181756,2.525507,1.058764,calls/second,milliseconds
1504881452,847,96.109604,0.320057,0.001569,2.612453,0.017958,0.265359,0.462864,0.976609,6.862348,21.929404,7.677516,6.239136,2.475768,1.058145,calls/second,milliseconds
1504881462,979,96.109604,0.291049,0.001177,2.301535,0.127036,0.255112,0.404436,0.833797,5.297880,14.042715,8.136391,7.252795,2.830246,1.194107,calls/second,milliseconds
1504881472,979,96.109604,0.291049,0.001177,2.301535,0.127036,0.255112,0.404436,0.833797,5.297880,14.042715,7.512084,6.139358,2.737460,1.180912,calls/second,milliseconds
1504881482,1028,96.109604,0.266643,0.001177,2.168700,0.013392,0.246642,0.385405,0.833797,5.213180,14.042715,7.325972,5.980419,2.809695,1.222157,calls/second,milliseconds
1504881492,1227,96.109604,0.239015,0.001177,1.794374,0.013207,0.238206,0.346386,0.833797,5.213180,10.666063,8.162454,8.117969,3.370009,1.428543,calls/second,milliseconds
1504881502,1324,10.666063,0.206130,0.001177,0.767666,0.012366,0.239337,0.324986,0.674907,5.213180,10.666063,8.258304,8.361479,3.577558,1.519943,calls/second,milliseconds
1504881512,1468,10.666063,0.205164,0.001167,0.776304,0.123541,0.228524,0.300637,0.524004,4.315816,9.788068,8.618864,9.339645,3.934546,1.662508,calls/second,milliseconds
1504881522,1468,10.666063,0.205164,0.001167,0.776304,0.123541,0.228524,0.300637,0.524004,4.315816,9.788068,8.140986,7.905839,3.805556,1.644138,calls/second,milliseconds
1504881532,1468,10.666063,0.205164,0.001167,0.776304,0.123541,0.228524,0.300637,0.524004,4.315816,9.788068,7.713157,6.692148,3.680795,1.625971,calls/second,milliseconds
1504881542,1518,10.666063,0.196119,0.001167,0.793387,0.007860,0.221415,0.297107,0.524004,5.500755,9.788068,7.577718,6.448346,3.722104,1.662298,calls/second,milliseconds
1504881552,1813,9.788068,0.196230,0.001167,0.770759,0.007239,0.209413,0.284427,0.578685,4.538620,9.643741,8.620134,9.937340,4.567696,1.970686,calls/second,milliseconds
1504881562,1957,9.788068,0.190034,0.001082,0.736884,0.094619,0.204313,0.265881,0.423418,4.538620,9.643741,8.882457,10.709384,4.893752,2.108442,calls/second,milliseconds
1504881572,1957,9.788068,0.190034,0.001082,0.736884,0.094619,0.204313,0.265881,0.423418,4.538620,9.643741,8.496787,9.065297,4.733316,2.085145,calls/second,milliseconds
1504881582,1957,9.788068,0.190034,0.001082,0.736884,0.094619,0.204313,0.265881,0.423418,4.538620,9.643741,8.143244,7.673609,4.578139,2.062105,calls/second,milliseconds
1504881592,1957,9.788068,0.190034,0.001082,0.736884,0.094619,0.204313,0.265881,0.423418,4.538620,9.643741,7.817901,6.495569,4.428050,2.039319,calls/second,milliseconds
1504881602,2006,9.788068,0.188096,0.001082,0.803690,0.005238,0.199446,0.258578,0.423418,5.200487,9.643741,7.705856,6.281946,4.444861,2.071079,calls/second,milliseconds
