Framework,experiment,zero, window, latency, sent, received
kafka, latency, 0, 1.00000, 0.21179, 2017-05-22T23:16:20.092640, 2017-05-22T23:16:20.212836
kafka, latency, 0, 1.00000, 0.17816, 2017-05-22T23:16:21.157408, 2017-05-22T23:16:21.178448
kafka, latency, 0, 1.00000, 0.18591, 2017-05-22T23:16:22.173880, 2017-05-22T23:16:22.186145
kafka, latency, 0, 1.00000, 0.21778, 2017-05-22T23:16:23.190319, 2017-05-22T23:16:23.217997
kafka, latency, 0, 1.00000, 0.22545, 2017-05-22T23:16:24.205774, 2017-05-22T23:16:24.225682
kafka, latency, 0, 1.00000, 0.33942, 2017-05-22T23:16:25.238278, 2017-05-22T23:16:25.339646
kafka, latency, 0, 1.00000, 0.37123, 2017-05-22T23:16:26.352943, 2017-05-22T23:16:26.371456
kafka, latency, 0, 1.00000, 0.37488, 2017-05-22T23:16:27.361376, 2017-05-22T23:16:27.375154
kafka, latency, 0, 1.00000, 0.40675, 2017-05-22T23:16:28.377724, 2017-05-22T23:16:28.406969
kafka, latency, 0, 1.00000, 0.41446, 2017-05-22T23:16:29.393983, 2017-05-22T23:16:29.414693
kafka, latency, 0, 1.00000, 0.52845, 2017-05-22T23:16:30.426502, 2017-05-22T23:16:30.528675
kafka, latency, 0, 1.00000, 0.56028, 2017-05-22T23:16:31.541166, 2017-05-22T23:16:31.560514
kafka, latency, 0, 1.00000, 0.56391, 2017-05-22T23:16:32.549538, 2017-05-22T23:16:32.564210
kafka, latency, 0, 1.00000, 0.59583, 2017-05-22T23:16:33.564976, 2017-05-22T23:16:33.596056
kafka, latency, 0, 1.00000, 0.70985, 2017-05-22T23:16:34.597269, 2017-05-22T23:16:34.710078
kafka, latency, 0, 1.00000, 0.71770, 2017-05-22T23:16:35.711968, 2017-05-22T23:16:35.718007
kafka, latency, 0, 1.00000, 0.74973, 2017-05-22T23:16:36.719790, 2017-05-22T23:16:36.749956
kafka, latency, 0, 1.00000, 0.75334, 2017-05-22T23:16:37.735236, 2017-05-22T23:16:37.753579
kafka, latency, 0, 1.00000, 0.78519, 2017-05-22T23:16:38.767372, 2017-05-22T23:16:38.785414
kafka, latency, 0, 1.00000, 0.79285, 2017-05-22T23:16:39.774941, 2017-05-22T23:16:39.793064
kafka, latency, 0, 1.00000, 0.80860, 2017-05-22T23:16:40.791367, 2017-05-22T23:16:40.808856
kafka, latency, 0, 1.00000, 0.97279, 2017-05-22T23:16:41.823874, 2017-05-22T23:16:41.973051
kafka, latency, 0, 1.00000, 0.97329, 2017-05-22T23:16:42.938533, 2017-05-22T23:16:42.973503
kafka, latency, 0, 1.00000, 0.97371, 2017-05-22T23:16:43.946895, 2017-05-22T23:16:43.973942
kafka, latency, 0, 1.00000, 0.98137, 2017-05-22T23:16:44.963311, 2017-05-22T23:16:44.981585
