Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,495.0,4.11220504743
8000,16000,2,8000,993.0,4.12713609037
16000,24000,3,8000,1488.0,4.12451340526
24000,32000,4,8000,1977.0,4.11020995261
32000,40000,5,8000,2475.0,4.11754106131
40000,48000,6,8000,2972.0,4.12054778492
48000,56000,7,8000,3471.0,4.12499186508
56000,64000,8,8000,3975.0,4.13338587407
64000,72000,9,8000,4470.0,4.13178418673
72000,80000,10,8000,4971.0,4.13524844951
80000,88000,11,8000,5464.0,4.1323229746
88000,96000,12,8000,5958.0,4.13064715343
0,8000,13,8000,6460.0,4.13310015652
8000,16000,14,8000,6962.0,4.13625398115
16000,24000,15,8000,7465.0,4.13958250781
24000,32000,16,8000,7969.0,4.14316820077
32000,40000,17,8000,8466.0,4.14288323357
40000,48000,18,8000,8943.0,4.13306249734
48000,56000,19,8000,9443.0,4.13459627678
56000,64000,20,8000,9946.0,4.13727767017
64000,72000,21,8000,10449.0,4.13960230823
72000,80000,22,8000,10952.0,4.14170709863
80000,88000,23,8000,11460.0,4.14550154965
88000,96000,24,8000,11965.0,4.14787700063
96000,104000,25,8000,12463.0,4.14764671707
104000,112000,26,8000,12960.0,4.14718790351
112000,120000,27,8000,13461.0,4.14792427453
120000,128000,28,8000,13963.0,4.14894152746
128000,136000,29,8000,14459.0,4.1481509944
136000,144000,30,8000,14955.0,4.14738442123
144000,152000,31,8000,15452.0,4.14703750133
152000,160000,32,8000,15950.0,4.14694662998
160000,168000,33,8000,16446.0,4.14629387689
168000,176000,34,8000,16976.0,4.15402848178
176000,184000,35,8000,17481.0,4.15544841788
184000,192000,36,8000,17970.0,4.15304241223
192000,200000,37,8000,18462.0,4.15137302713
200000,208000,38,8000,18981.0,4.15577818554
208000,216000,39,8000,19473.0,4.15424590065
216000,224000,40,8000,19961.0,4.15189401814
224000,232000,41,8000,20454.0,4.1506849629
232000,240000,42,8000,20955.0,4.15107375557
240000,248000,43,8000,21453.0,4.1509101682
248000,256000,44,8000,21958.0,4.1520316651
