BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1504277280000 ms, 2017-09-01T09:48:03, 5, 2549, 1,1_Producer_Count
1504277340000 ms, 2017-09-01T09:49:00, 1, 1911, 1,1_Producer_Count
1504277400000 ms, 2017-09-01T09:50:00, 1, 1544, 1,1_Producer_Count
1504277460000 ms, 2017-09-01T09:51:00, 0, 1524, 1,1_Producer_Count
1504277520000 ms, 2017-09-01T09:52:00, 0, 1443, 1,1_Producer_Count
1504277580000 ms, 2017-09-01T09:53:00, 0, 1470, 1,1_Producer_Count
1504277640000 ms, 2017-09-01T09:54:00, 0, 1319, 1,1_Producer_Count
1504277700000 ms, 2017-09-01T09:55:00, 1, 1259, 1,1_Producer_Count
1504277760000 ms, 2017-09-01T09:56:00, 0, 1458, 1,1_Producer_Count
1504277820000 ms, 2017-09-01T09:57:00, 0, 1419, 1,1_Producer_Count
1504277880000 ms, 2017-09-01T09:58:00, 1, 1425, 1,1_Producer_Count
1504277940000 ms, 2017-09-01T09:59:00, 1, 1386, 1,1_Producer_Count
1504278000000 ms, 2017-09-01T10:00:00, 0, 1257, 1,1_Producer_Count
1504278060000 ms, 2017-09-01T10:01:00, 1, 1247, 1,1_Producer_Count
1504278120000 ms, 2017-09-01T10:02:00, 1, 1417, 1,1_Producer_Count
1504278180000 ms, 2017-09-01T10:03:00, 0, 1371, 1,1_Producer_Count
1504278240000 ms, 2017-09-01T10:04:00, 1, 1071, 1,1_Producer_Count
1504278300000 ms, 2017-09-01T10:05:00, 0, 1030, 1,1_Producer_Count
1504278360000 ms, 2017-09-01T10:06:00, 1, 1401, 1,1_Producer_Count
1504278420000 ms, 2017-09-01T10:07:00, 0, 1216, 1,1_Producer_Count
1504278480000 ms, 2017-09-01T10:08:00, 0, 1309, 1,1_Producer_Count
1504278540000 ms, 2017-09-01T10:09:00, 0, 1040, 1,1_Producer_Count
1504278600000 ms, 2017-09-01T10:10:00, 1, 1337, 1,1_Producer_Count
1504278660000 ms, 2017-09-01T10:11:00, 1, 1390, 1,1_Producer_Count
1504278720000 ms, 2017-09-01T10:12:00, 0, 1225, 1,1_Producer_Count
1504278780000 ms, 2017-09-01T10:13:00, 1, 1320, 1,1_Producer_Count
1504278840000 ms, 2017-09-01T10:14:00, 1, 1279, 1,1_Producer_Count
1504278900000 ms, 2017-09-01T10:15:00, 0, 1494, 1,1_Producer_Count
1504278960000 ms, 2017-09-01T10:16:00, 0, 1424, 1,1_Producer_Count
1504279020000 ms, 2017-09-01T10:17:00, 0, 1365, 1,1_Producer_Count
1504279080000 ms, 2017-09-01T10:18:00, 0, 1245, 1,1_Producer_Count
1504279140000 ms, 2017-09-01T10:19:00, 1, 1169, 1,1_Producer_Count
1504279200000 ms, 2017-09-01T10:20:00, 1, 1319, 1,1_Producer_Count
1504279260000 ms, 2017-09-01T10:21:00, 0, 1300, 1,1_Producer_Count
1504279320000 ms, 2017-09-01T10:22:00, 0, 1039, 1,1_Producer_Count
1504279380000 ms, 2017-09-01T10:23:00, 1, 1036, 1,1_Producer_Count
1504279440000 ms, 2017-09-01T10:24:00, 0, 1450, 1,1_Producer_Count
1504279500000 ms, 2017-09-01T10:25:00, 1, 1369, 1,1_Producer_Count
1504279560000 ms, 2017-09-01T10:26:00, 0, 1224, 1,1_Producer_Count
1504279620000 ms, 2017-09-01T10:27:00, 1, 1194, 1,1_Producer_Count
1504279680000 ms, 2017-09-01T10:28:00, 1, 1190, 1,1_Producer_Count
1504279740000 ms, 2017-09-01T10:29:00, 1, 1197, 1,1_Producer_Count
1504279800000 ms, 2017-09-01T10:30:00, 0, 1339, 1,1_Producer_Count
1504279860000 ms, 2017-09-01T10:31:00, 0, 1369, 1,1_Producer_Count
1504279920000 ms, 2017-09-01T10:32:00, 0, 1409, 1,1_Producer_Count
1504279980000 ms, 2017-09-01T10:33:00, 1, 1308, 1,1_Producer_Count
1504280040000 ms, 2017-09-01T10:34:00, 1, 1363, 1,1_Producer_Count
1504280100000 ms, 2017-09-01T10:35:00, 1, 1299, 1,1_Producer_Count
1504280160000 ms, 2017-09-01T10:36:00, 0, 1195, 1,1_Producer_Count
1504280220000 ms, 2017-09-01T10:37:00, 0, 1138, 1,1_Producer_Count
1504280280000 ms, 2017-09-01T10:38:00, 1, 1364, 1,1_Producer_Count
1504280340000 ms, 2017-09-01T10:39:00, 0, 1445, 1,1_Producer_Count
1504280400000 ms, 2017-09-01T10:40:00, 0, 1066, 1,1_Producer_Count
1504280460000 ms, 2017-09-01T10:41:00, 1, 1032, 1,1_Producer_Count
1504280520000 ms, 2017-09-01T10:42:00, 1, 1068, 1,1_Producer_Count
1504280580000 ms, 2017-09-01T10:43:00, 0, 1039, 1,1_Producer_Count
1504280640000 ms, 2017-09-01T10:44:00, 0, 1319, 1,1_Producer_Count
1504280700000 ms, 2017-09-01T10:45:00, 0, 1172, 1,1_Producer_Count
1504280760000 ms, 2017-09-01T10:46:00, 0, 1322, 1,1_Producer_Count
1504280820000 ms, 2017-09-01T10:47:00, 0, 1376, 1,1_Producer_Count
1504280880000 ms, 2017-09-01T10:48:00, 0, 1232, 1,1_Producer_Count
1504280940000 ms, 2017-09-01T10:49:00, 0, 1178, 1,1_Producer_Count
1504281000000 ms, 2017-09-01T10:50:00, 0, 1174, 1,1_Producer_Count
1504281060000 ms, 2017-09-01T10:51:00, 1, 1152, 1,1_Producer_Count
1504281120000 ms, 2017-09-01T10:52:00, 0, 1209, 1,1_Producer_Count
1504281180000 ms, 2017-09-01T10:53:00, 0, 1387, 1,1_Producer_Count
1504281240000 ms, 2017-09-01T10:54:00, 0, 1368, 1,1_Producer_Count
1504281300000 ms, 2017-09-01T10:55:00, 1, 1350, 1,1_Producer_Count
1504281360000 ms, 2017-09-01T10:56:00, 0, 1376, 1,1_Producer_Count
1504281420000 ms, 2017-09-01T10:57:00, 1, 1319, 1,1_Producer_Count
1504281480000 ms, 2017-09-01T10:58:00, 0, 1185, 1,1_Producer_Count
1504281540000 ms, 2017-09-01T10:59:00, 1, 1245, 1,1_Producer_Count
1504281600000 ms, 2017-09-01T11:00:00, 1, 1316, 1,1_Producer_Count
1504281660000 ms, 2017-09-01T11:01:00, 1, 1363, 1,1_Producer_Count
1504281720000 ms, 2017-09-01T11:02:00, 1, 1041, 1,1_Producer_Count
1504281780000 ms, 2017-09-01T11:03:00, 1, 1083, 1,1_Producer_Count
1504281840000 ms, 2017-09-01T11:04:00, 1, 1351, 1,1_Producer_Count
1504281900000 ms, 2017-09-01T11:05:00, 0, 1356, 1,1_Producer_Count
1504281960000 ms, 2017-09-01T11:06:00, 0, 1494, 1,1_Producer_Count
1504282020000 ms, 2017-09-01T11:07:00, 1, 1344, 1,1_Producer_Count
1504282080000 ms, 2017-09-01T11:08:00, 1, 1307, 1,1_Producer_Count
1504282140000 ms, 2017-09-01T11:09:00, 1, 1335, 1,1_Producer_Count
1504282200000 ms, 2017-09-01T11:10:00, 0, 1213, 1,1_Producer_Count
1504282260000 ms, 2017-09-01T11:11:00, 0, 1227, 1,1_Producer_Count
1504282320000 ms, 2017-09-01T11:12:00, 1, 1412, 1,1_Producer_Count
1504282380000 ms, 2017-09-01T11:13:00, 0, 1353, 1,1_Producer_Count
1504282440000 ms, 2017-09-01T11:14:00, 0, 1367, 1,1_Producer_Count
