,Atom,Style,Cores,Run,DataInit,AdjList,ConnComp,Write,TotalTime,JsonName
0,131,Col,64,1,0.0059120655,6.401943922,3.885915041,0.0055189133,10.2992899418,131K_64_1.txt
1,131,Col,64,2,0.003813982,6.6029839516,3.6635169983,0.0052659512,10.275580883,131K_64_2.txt
2,131,Col,64,3,0.0043468475,6.7937669754,3.9141230583,0.0051720142,10.7174088955,131K_64_3.txt
3,262,Col,64,1,0.0074448586,21.5681171417,7.7381339073,0.0066649914,29.320360899,262K_64_1.txt
4,262,Col,64,2,0.005120039,21.8531770706,8.182559967,0.0065789223,30.0474359989,262K_64_2.txt
5,262,Col,64,3,0.0055201054,21.5806100369,7.6553328037,0.0064380169,29.2479009628,262K_64_3.txt
6,524,Col,64,1,0.0114710331,83.1231820583,16.1733419895,0.1742169857,99.4822120667,524K_64_1.txt
7,524,Col,64,2,0.0068287849,82.9995040894,17.6830599308,0.0093121529,100.698704958,524K_64_2.txt
8,524,Col,64,3,0.006937027,84.1498699188,16.3230600357,0.008646965,100.4885139465,524K_64_3.txt
9,131,Col,256,1,0.006221056,4.9164178371,3.9384520054,0.005133152,8.8662240505,131K_256_1.txt
10,131,Col,256,2,0.003937006,4.7913019657,3.8001978397,0.0060670376,8.601503849,131K_256_2.txt
11,131,Col,256,3,0.0042891502,4.697617054,3.9999959469,0.0053050518,8.7072072029,131K_256_3.txt
12,262,Col,256,1,0.0048348904,9.737746954,7.8330090046,0.0069701671,17.5825610161,262K_256_1.txt
13,262,Col,256,2,0.0082030296,9.974437952,8.5471639633,0.0071549417,18.5369598866,262K_256_2.txt
14,262,Col,256,3,0.0047800541,9.9528539181,8.122025013,0.0064461231,18.0861051083,262K_256_3.txt
15,524,Col,256,1,0.0108630657,29.4123449326,17.4179251194,0.0715978145,46.9127309322,524K_256_1.txt
16,524,Col,256,2,0.0069150925,32.6515119076,16.5829610825,0.1805250644,49.421913147,524K_256_2.txt
17,524,Col,256,3,0.0069899559,31.9123990536,16.3323040009,0.1692979335,48.4209909439,524K_256_3.txt
18,131,Br,64,1,0.0058989525,36.7297329903,3.610175848,0.0058979988,40.3517057896,131K_64_1.txt
19,131,Br,64,2,0.0032889843,38.770471096,3.4482018948,0.0050280094,42.2269899845,131K_64_2.txt
20,131,Br,64,3,0.0036520958,38.4737818241,3.325879097,0.0052130222,41.8085260391,131K_64_3.txt
21,262,Br,64,1,0.0074892044,85.5088768005,6.2109360695,0.0065779686,91.733880043,262K_64_1.txt
22,262,Br,64,2,0.0044229031,85.4213621616,6.8638730049,0.0068068504,92.29646492,262K_64_2.txt
23,262,Br,64,3,0.004242897,90.3536891937,7.5879468918,0.0067551136,97.9526340961,262K_64_3.txt
24,131,Br,256,1,0.0058839321,34.8882539272,3.3614351749,0.0053238869,38.2608969212,131K_256_1.txt
25,131,Br,256,2,0.0031349659,35.6208610535,3.1963040829,0.0049378872,38.8252379894,131K_256_2.txt
26,131,Br,256,3,0.0037989616,37.4734799862,3.3164889812,0.0051231384,40.7988910675,131K_256_3.txt
27,262,Br,256,1,0.0080859661,70.9391751289,6.9958209991,0.0064029694,77.9494850636,262K_256_1.txt
28,262,Br,256,2,0.0043120384,73.9586400986,6.6144850254,0.0061938763,80.5836310387,262K_256_2.txt
29,262,Br,256,3,0.0043540001,74.2984111309,6.6843287945,0.0058879852,80.9929819107,262K_256_3.txt
