['blobDetector_multi-9743ef09-8d6d-4463-aa81-9b010871fd20', 'processing', 'memory', 'tcp://10.21.248.132:37656', 47844195079936, [['compute', 1533087578.5604534, 1533087766.4731843]]]
['blobDetector_multi-71146846-5229-4873-9ecc-af183c080f05', 'processing', 'memory', 'tcp://10.21.249.144:43934', 47061638608640, [['compute', 1533087578.5585077, 1533087768.1864727]]]
['blobDetector_multi-f0880883-8012-4460-ba52-d9a6baca33f2', 'processing', 'memory', 'tcp://10.21.249.144:43800', 47062242588416, [['compute', 1533087578.562949, 1533087768.400009]]]
['blobDetector_multi-a35038af-09d0-49ae-8a38-38d25df2b213', 'processing', 'memory', 'tcp://10.21.248.132:42033', 47843991635712, [['compute', 1533087578.5607395, 1533087768.8237336]]]
['blobDetector_multi-c9dc3559-c307-42f7-b8c8-fc03ad107183', 'processing', 'memory', 'tcp://10.21.249.144:39182', 47063249221376, [['compute', 1533087578.5622864, 1533087769.5790603]]]
['blobDetector_multi-738b9423-3b9d-4ad3-aee9-dd8e4dcbf36a', 'processing', 'memory', 'tcp://10.21.249.144:46291', 47064859834112, [['compute', 1533087578.5588331, 1533087770.405355]]]
['blobDetector_multi-6cb60cb8-98e2-41d0-a04f-720125b18c20', 'processing', 'memory', 'tcp://10.21.249.144:43581', 47065262745344, [['compute', 1533087578.5585663, 1533087770.6797981]]]
['blobDetector_multi-fe612eec-ec56-4034-8a7d-a2eae1aed4ef', 'processing', 'memory', 'tcp://10.21.249.144:46798', 47062041261824, [['compute', 1533087578.5634682, 1533087771.1008682]]]
['blobDetector_multi-b124d5d4-bf76-436b-95ab-c00314fce6c5', 'processing', 'memory', 'tcp://10.21.248.132:46211', 47844192954112, [['compute', 1533087578.5618093, 1533087771.2197723]]]
['blobDetector_multi-71fbf078-f68a-4ef2-ad46-cacb3ac1ff66', 'processing', 'memory', 'tcp://10.21.249.144:45210', 47063047894784, [['compute', 1533087578.558811, 1533087776.66741]]]
['blobDetector_multi-616aab04-bbef-4019-82d1-24d63b0921a1', 'processing', 'memory', 'tcp://10.21.249.144:40848', 47062846568192, [['compute', 1533087578.5577974, 1533087779.3592784]]]
