['blobDetector_multi-d61247d7-d3af-4a08-9fd4-de6bd0bf6803', 'processing', 'memory', 'tcp://10.21.254.29:36803', 47122976114432, [['compute', 1533201371.5878255, 1533201546.6598046]]]
['blobDetector_multi-8c048f98-bf12-49c7-aac1-7c5ad76ddec3', 'processing', 'memory', 'tcp://10.21.254.65:41223', 47461607446272, [['compute', 1533201371.5807085, 1533201546.8634515]]]
['blobDetector_multi-9f48e7f0-1405-4b61-a3bd-1ab4168188fa', 'processing', 'memory', 'tcp://10.21.254.26:40547', 47401545012992, [['compute', 1533201371.5820036, 1533201547.0856025]]]
['blobDetector_multi-31a83397-b597-471f-b69b-1f85390d74a8', 'processing', 'memory', 'tcp://10.21.254.29:40114', 47123781412608, [['compute', 1533201371.5768266, 1533201547.1000144]]]
['blobDetector_multi-b2300f3c-4626-4b9a-9235-6a3492add245', 'processing', 'memory', 'tcp://10.21.254.65:41059', 47460802131712, [['compute', 1533201371.5839038, 1533201547.1089928]]]
['blobDetector_multi-06b2df57-3d0a-45fd-8904-9e4f29a64074', 'processing', 'memory', 'tcp://10.21.254.26:39102', 47398323779328, [['compute', 1533201371.5739324, 1533201547.4168644]]]
['blobDetector_multi-a4846d0b-a416-40b9-bdb6-2645d57a7c6c', 'processing', 'memory', 'tcp://10.21.254.29:33239', 47119754884864, [['compute', 1533201371.5822434, 1533201547.4675915]]]
['blobDetector_multi-6c4edf5b-a160-4c19-beec-194ef826c2fb', 'processing', 'memory', 'tcp://10.21.254.65:36846', 47457983559424, [['compute', 1533201371.5799365, 1533201547.8375695]]]
['blobDetector_multi-cad980f0-0477-409c-8d14-df2bf484c3f0', 'processing', 'memory', 'tcp://10.21.254.65:41362', 47461809014528, [['compute', 1533201371.5854135, 1533201547.8621576]]]
['blobDetector_multi-fe635ca2-cfc0-45c2-8e12-3ac6d652292d', 'processing', 'memory', 'tcp://10.21.254.65:46455', 47459795498752, [['compute', 1533201371.592278, 1533201547.869934]]]
