['blobDetector_multi-01a0da70-3890-4d1b-a395-e6ddf312f519', 'processing', 'memory', 'tcp://10.21.250.41:34361', 47650116237056, [['compute', 1532977197.5792036, 1532977373.9634457]]]
['blobDetector_multi-1f1b7b68-5577-40c9-9802-d3b58dda5c51', 'processing', 'memory', 'tcp://10.21.250.44:33067', 47983714400000, [['compute', 1532977197.58314, 1532977374.1230779]]]
['blobDetector_multi-05d75b7d-cd99-4343-b910-25b8f86bc6b5', 'processing', 'memory', 'tcp://10.21.250.41:40644', 47648705087232, [['compute', 1532977197.580221, 1532977374.165118]]]
['blobDetector_multi-00a8d0d1-7233-430f-bbf0-a50343fcbe69', 'processing', 'memory', 'tcp://10.21.250.41:33928', 47652129502976, [['compute', 1532977197.5790572, 1532977374.1718962]]]
['blobDetector_multi-6f4360d6-3d1f-404f-be38-24a2b8942ce1', 'processing', 'memory', 'tcp://10.21.250.41:38309', 47648706950912, [['compute', 1532977197.594251, 1532977374.262366]]]
['blobDetector_multi-40d1870a-5980-4aed-932f-3b74a9c992ff', 'processing', 'memory', 'tcp://10.21.250.46:40681', 47522340972288, [['compute', 1532977197.5866776, 1532977374.5070674]]]
['blobDetector_multi-448588e4-51e7-457f-b446-9b3bbdf24586', 'processing', 'memory', 'tcp://10.21.250.46:45815', 47519119734528, [['compute', 1532977197.5875103, 1532977374.5885835]]]
['blobDetector_multi-1ec7018f-40b9-4360-9a4a-0da983c2509c', 'processing', 'memory', 'tcp://10.21.250.42:45157', 47065595918080, [['compute', 1532977197.5829294, 1532977374.6052344]]]
['blobDetector_multi-024fabec-f3fe-48cd-a1e8-6c796c8d661b', 'processing', 'memory', 'tcp://10.21.250.41:37850', 47652733482752, [['compute', 1532977197.5794232, 1532977374.7572691]]]
['blobDetector_multi-36d809fe-b326-4afc-8d6e-70eab8ee38b0', 'processing', 'memory', 'tcp://10.21.250.46:34644', 47519119734528, [['compute', 1532977197.585828, 1532977375.1462731]]]
['blobDetector_multi-633a65da-ac26-4ca4-a32f-ff0e40799054', 'processing', 'memory', 'tcp://10.21.250.46:41567', 47521736980224, [['compute', 1532977197.591458, 1532977375.1792462]]]
['blobDetector_multi-32e5cc0a-7c20-41ea-928e-eb180c8731f6', 'processing', 'memory', 'tcp://10.21.250.44:45310', 47983110420224, [['compute', 1532977197.5853715, 1532977375.6086135]]]
['blobDetector_multi-53c76449-804e-400b-9a6a-49eb8a24af98', 'processing', 'memory', 'tcp://10.21.250.46:36163', 47521535915776, [['compute', 1532977197.5897977, 1532977375.661749]]]
['blobDetector_multi-2d421030-ba7d-4633-a176-ceb1bafac256', 'processing', 'memory', 'tcp://10.21.250.44:41298', 47982305113856, [['compute', 1532977197.5848129, 1532977375.8570669]]]
['blobDetector_multi-450a8fc6-ec9c-47fe-a756-9608f6c1fce9', 'processing', 'memory', 'tcp://10.21.250.41:34285', 47650518890240, [['compute', 1532977197.587543, 1532977375.9154952]]]
['blobDetector_multi-3d8ae15a-e683-42ca-a754-7c7d1c2ce26f', 'processing', 'memory', 'tcp://10.21.250.46:39971', 47520730347264, [['compute', 1532977197.5865233, 1532977376.1930902]]]
['blobDetector_multi-41230542-e189-4d65-b6cd-b5f1f31d7c36', 'processing', 'memory', 'tcp://10.21.250.46:44843', 47521133000448, [['compute', 1532977197.5869892, 1532977376.346827]]]
['blobDetector_multi-3159c471-bf22-475e-9d59-315a401df14a', 'processing', 'memory', 'tcp://10.21.250.44:45271', 47982303250176, [['compute', 1532977197.5850396, 1532977376.4516838]]]
['blobDetector_multi-0d871dfc-be4d-4241-a2b1-b59f6191880f', 'processing', 'memory', 'tcp://10.21.250.42:36579', 47065998558976, [['compute', 1532977197.5817025, 1532977376.8437254]]]
['blobDetector_multi-5570fe34-12b2-409d-bc75-cfd4e0c51f5c', 'processing', 'memory', 'tcp://10.21.250.46:40161', 47518979249920, [['compute', 1532977197.5898764, 1532977376.8933055]]]
['blobDetector_multi-5672ae13-6673-4b99-9e2f-bbdc6703b1d3', 'processing', 'memory', 'tcp://10.21.250.46:45084', 47520126367488, [['compute', 1532977197.590092, 1532977376.915042]]]
['blobDetector_multi-0f58b142-b092-4398-93f9-50ecc4263441', 'processing', 'memory', 'tcp://10.21.250.42:37784', 47062030731008, [['compute', 1532977197.581946, 1532977377.0081918]]]
['blobDetector_multi-07602ab6-3e78-4423-96a6-5f4cf3adbd9b', 'processing', 'memory', 'tcp://10.21.250.41:41976', 47648908277504, [['compute', 1532977197.580389, 1532977377.152991]]]
['blobDetector_multi-523447f7-e383-433e-9a03-573460e56ce9', 'processing', 'memory', 'tcp://10.21.250.44:40911', 47982146471680, [['compute', 1532977197.5891817, 1532977377.4602046]]]
['blobDetector_multi-0a427358-0b97-4fc4-9230-c40a64ae2c9b', 'processing', 'memory', 'tcp://10.21.250.42:36307', 47062032832256, [['compute', 1532977197.5814764, 1532977377.5909004]]]
['blobDetector_multi-056c04e4-1698-4d08-895e-bd28abefbe19', 'processing', 'memory', 'tcp://10.21.250.41:38363', 47648563046144, [['compute', 1532977197.5800247, 1532977377.7389777]]]
['blobDetector_multi-1aca87d8-e58c-4492-a6f5-5f57baaa0f50', 'processing', 'memory', 'tcp://10.21.250.42:40651', 47065598031616, [['compute', 1532977197.5823047, 1532977377.8245487]]]
['blobDetector_multi-80fbe164-3db9-4da5-b41f-2cc306fec6e0', 'processing', 'memory', 'tcp://10.21.250.44:45279', 47986130593536, [['compute', 1532977197.5947595, 1532977377.9259155]]]
['blobDetector_multi-379f7093-cdf5-479e-b209-2af37ee8e579', 'processing', 'memory', 'tcp://10.21.250.46:35598', 47519723714304, [['compute', 1532977197.5861351, 1532977378.021804]]]
['blobDetector_multi-26fe6330-0d71-4b08-b870-907d71f3afcd', 'processing', 'memory', 'tcp://10.21.250.44:40648', 47985526339328, [['compute', 1532977197.5843384, 1532977378.2341044]]]
['blobDetector_multi-6f589425-1efe-4f29-8c8a-53c2b8050412', 'processing', 'memory', 'tcp://10.21.250.41:39402', 47651324196608, [['compute', 1532977197.59286, 1532977378.2955499]]]
['blobDetector_multi-4a75ad28-d9b0-444a-a42b-b4a138810f6c', 'processing', 'memory', 'tcp://10.21.250.42:36930', 47066199885568, [['compute', 1532977197.5884614, 1532977378.4717944]]]
['blobDetector_multi-058627e6-57f7-4239-b933-43750ea329b7', 'processing', 'memory', 'tcp://10.21.250.41:39719', 47650720216832, [['compute', 1532977197.5799778, 1532977378.6876817]]]
['blobDetector_multi-680d6c22-eea2-4c02-8253-31743f4dbd2c', 'processing', 'memory', 'tcp://10.21.250.46:39256', 47519052863232, [['compute', 1532977197.5926168, 1532977379.0348368]]]
['blobDetector_multi-4642f83e-b603-497e-aa17-4ca0e8e9336f', 'processing', 'memory', 'tcp://10.21.250.41:40517', 47651525523200, [['compute', 1532977197.5878994, 1532977379.1884575]]]
['blobDetector_multi-536c036c-c37e-4dcf-856c-011cb3eb9094', 'processing', 'memory', 'tcp://10.21.250.46:33842', 47522945214208, [['compute', 1532977197.589701, 1532977379.35881]]]
['blobDetector_multi-875e48ad-0d07-4b12-8531-e5ce1606285e', 'processing', 'memory', 'tcp://10.21.250.46:46698', 47520931673856, [['compute', 1532977197.5955966, 1532977379.9898164]]]
['blobDetector_multi-4b7d6649-0e60-4544-880e-de35d213fa29', 'processing', 'memory', 'tcp://10.21.250.42:40112', 47063383701248, [['compute', 1532977197.588742, 1532977380.111097]]]
['blobDetector_multi-1d0993e7-cd84-4cc2-89d9-fffd209af4ce', 'processing', 'memory', 'tcp://10.21.250.42:43195', 47066202011392, [['compute', 1532977197.582667, 1532977380.942571]]]
['blobDetector_multi-20dcf37d-7eed-4d57-b67b-e5cddc99c5f4', 'processing', 'memory', 'tcp://10.21.250.44:39595', 47985727670016, [['compute', 1532977197.5837426, 1532977381.3584125]]]
['blobDetector_multi-6582d5ce-cb07-4830-8f18-908cd8dc458a', 'processing', 'memory', 'tcp://10.21.250.42:44699', 47064188745472, [['compute', 1532977197.5938766, 1532977381.7088084]]]
['blobDetector_multi-490f61f5-2413-49b5-9985-a99ea90cccaa', 'processing', 'memory', 'tcp://10.21.250.42:33475', 47064591660800, [['compute', 1532977197.5884478, 1532977381.8126378]]]
['blobDetector_multi-710bb252-716c-41fc-ab06-1c8180f41c55', 'processing', 'memory', 'tcp://10.21.250.42:36414', 47062376806144, [['compute', 1532977197.5941975, 1532977382.0689464]]]
['blobDetector_multi-8509706b-3cc5-4b91-906a-c33796615915', 'processing', 'memory', 'tcp://10.21.250.46:35124', 47522542286592, [['compute', 1532977197.5951946, 1532977382.2105286]]]
['blobDetector_multi-43152f24-9f46-4702-a0be-11d818e145f9', 'processing', 'memory', 'tcp://10.21.250.46:45614', 47519522387712, [['compute', 1532977197.587356, 1532977382.446835]]]
['blobDetector_multi-526757d2-a377-4a0b-bcff-44583ef4a3c3', 'processing', 'memory', 'tcp://10.21.250.44:44984', 47983513335552, [['compute', 1532977197.5895329, 1532977382.8091269]]]
['blobDetector_multi-152158bb-5505-4b7e-a335-6975833414ee', 'processing', 'memory', 'tcp://10.21.250.42:39697', 47063786092288, [['compute', 1532977197.5822124, 1532977382.8667374]]]
['blobDetector_multi-6438c0c5-6406-40e6-9806-857b67757224', 'processing', 'memory', 'tcp://10.21.250.41:46609', 47649109604096, [['compute', 1532977197.591879, 1532977383.020005]]]
['blobDetector_multi-76e84ec8-6efb-4045-8a67-8f513bc969e5', 'processing', 'memory', 'tcp://10.21.250.42:45674', 47063987418880, [['compute', 1532977197.5941484, 1532977383.1091723]]]
['blobDetector_multi-71660edc-e106-4296-8b67-0d4594a0acd0', 'processing', 'memory', 'tcp://10.21.250.42:39039', 47064390072064, [['compute', 1532977197.594073, 1532977384.333386]]]
['blobDetector_multi-71bdaa86-325f-4aca-a6d8-0baf794c3d66', 'processing', 'memory', 'tcp://10.21.250.42:42095', 47063182112512, [['compute', 1532977197.5939624, 1532977384.6152105]]]
['blobDetector_multi-03f7bb4f-1161-44a7-8487-b38b12d0158d', 'processing', 'memory', 'tcp://10.21.250.41:38201', 47649915172608, [['compute', 1532977197.57989, 1532977384.832003]]]
