['blobDetector_multi-8fc21968-4895-4e9b-99aa-cc1cc155975f', 'processing', 'memory', 'tcp://10.21.252.250:40715', 48008007808768, [['compute', 1533138590.573898, 1533138765.891035]]]
['blobDetector_multi-9f844f97-c868-453f-8dbb-0d03a8e4c3f0', 'processing', 'memory', 'tcp://10.21.253.15:39861', 47268736562944, [['compute', 1533138590.5762136, 1533138765.8919876]]]
['blobDetector_multi-c20543b1-7b9b-4dca-86ca-47898711d0bb', 'processing', 'memory', 'tcp://10.21.252.254:46152', 47281084856064, [['compute', 1533138590.580863, 1533138766.1905081]]]
['blobDetector_multi-d996f7fa-6d0c-4230-bc5a-1a77efc50a6f', 'processing', 'memory', 'tcp://10.21.252.254:38982', 47278666811136, [['compute', 1533138590.5831194, 1533138766.2640064]]]
['blobDetector_multi-62f2691c-648b-4fce-81e3-ed25221b18ef', 'processing', 'memory', 'tcp://10.21.252.254:39443', 47282494142208, [['compute', 1533138590.5669014, 1533138766.4765434]]]
['blobDetector_multi-018ca3d4-345f-4215-a1c8-8cfa5afa2a22', 'processing', 'memory', 'tcp://10.21.252.233:36499', 47189883639552, [['compute', 1533138590.500957, 1533138766.5227199]]]
['blobDetector_multi-e4a5b467-33ac-4f87-ab7d-ece4a87ee633', 'processing', 'memory', 'tcp://10.21.252.254:37080', 47280681940736, [['compute', 1533138590.58472, 1533138766.54614]]]
['blobDetector_multi-c202bab2-9506-4448-842f-63112d0c5161', 'processing', 'memory', 'tcp://10.21.252.254:36110', 47280480614144, [['compute', 1533138590.581414, 1533138766.6979182]]]
['blobDetector_multi-6bb0f5fd-a30c-4bd5-818d-872e28fe705f', 'processing', 'memory', 'tcp://10.21.253.15:39731', 47266924623616, [['compute', 1533138590.5685759, 1533138766.746008]]]
['blobDetector_multi-1e7eb1d6-b54b-48e4-9f63-b148216d18e8', 'processing', 'memory', 'tcp://10.21.252.240:46338', 47721520330496, [['compute', 1533138590.5041602, 1533138766.7503312]]]
['blobDetector_multi-33e31ea4-3f3e-4a54-ae88-08ae0346534d', 'processing', 'memory', 'tcp://10.21.252.248:45596', 47037076764416, [['compute', 1533138590.5612125, 1533138766.8913136]]]
['blobDetector_multi-647b33ac-aa73-4169-9dd4-baaf6a947993', 'processing', 'memory', 'tcp://10.21.252.254:42570', 47279473981184, [['compute', 1533138590.56715, 1533138767.0226672]]]
['blobDetector_multi-9a4c1c0a-4b03-48fe-89b2-5dfde1aee2dd', 'processing', 'memory', 'tcp://10.21.252.254:36765', 47279675307776, [['compute', 1533138590.575145, 1533138767.049054]]]
['blobDetector_multi-669ea675-ab89-4138-b1dd-748098765fb4', 'processing', 'memory', 'tcp://10.21.253.15:32938', 47266520106752, [['compute', 1533138590.568074, 1533138767.053697]]]
['blobDetector_multi-8ae16a80-2c7d-4863-a1e5-c4473c2986d7', 'processing', 'memory', 'tcp://10.21.252.248:39619', 47036674111232, [['compute', 1533138590.5736525, 1533138767.0858326]]]
['blobDetector_multi-667fbca9-b82a-4697-81c5-e6667d6462c8', 'processing', 'memory', 'tcp://10.21.252.254:45100', 47279272654592, [['compute', 1533138590.567405, 1533138767.1833858]]]
['blobDetector_multi-5b408636-3804-4f31-833f-714529214437', 'processing', 'memory', 'tcp://10.21.252.254:35724', 47279071328000, [['compute', 1533138590.5659137, 1533138767.2082736]]]
['blobDetector_multi-5d471d60-245a-470b-8992-96a176560bf0', 'processing', 'memory', 'tcp://10.21.252.254:36833', 47281688573696, [['compute', 1533138590.566266, 1533138767.278725]]]
['blobDetector_multi-468afb32-369c-4316-95ae-8df4e89adf43', 'processing', 'memory', 'tcp://10.21.252.250:42075', 48008209135360, [['compute', 1533138590.5629194, 1533138767.3648133]]]
['blobDetector_multi-a05866cd-c137-4f6d-957f-747cbe40142f', 'processing', 'memory', 'tcp://10.21.253.15:44081', 47266344257280, [['compute', 1533138590.5783007, 1533138767.6731677]]]
['blobDetector_multi-392c8146-cf2b-4407-9ce4-89611806efa5', 'processing', 'memory', 'tcp://10.21.252.250:35087', 48009819748096, [['compute', 1533138590.5625274, 1533138767.8323765]]]
