['blobDetector_multi-307f56c8-605a-4b60-8526-e1620968812a', 'processing', 'memory', 'tcp://10.21.254.146:38962', 47100024878848, [['compute', 1532831073.8928943, 1532831255.6406052]]]
['blobDetector_multi-6c860a52-1214-4853-8280-f514a3d5c245', 'processing', 'memory', 'tcp://10.21.254.85:36711', 47448118556416, [['compute', 1532831073.8986814, 1532831255.8725345]]]
['blobDetector_multi-8ebfc78a-8b8a-4731-b026-fa68c50da932', 'processing', 'memory', 'tcp://10.21.254.147:39028', 47983983118080, [['compute', 1532831073.9017525, 1532831255.9251394]]]
['blobDetector_multi-6ffb0f13-ca18-4b42-812b-1022b61d2649', 'processing', 'memory', 'tcp://10.21.254.85:37357', 47447715903232, [['compute', 1532831073.8992276, 1532831255.9805415]]]
['blobDetector_multi-a2d3cf01-a177-4dc5-b567-f883feb991f9', 'processing', 'memory', 'tcp://10.21.254.146:39949', 47100427794176, [['compute', 1532831073.9035432, 1532831256.2879734]]]
['blobDetector_multi-8ff86076-327b-42b7-8144-a22feb22c4a6', 'processing', 'memory', 'tcp://10.21.254.147:45925', 47981969569536, [['compute', 1532831073.902127, 1532831256.3167322]]]
['blobDetector_multi-3e097152-736e-49ce-a1f6-7eb94e8ad058', 'processing', 'memory', 'tcp://10.21.254.146:44659', 47098212939520, [['compute', 1532831073.8934073, 1532831256.7830734]]]
['blobDetector_multi-b07c5d1b-ca30-4b7e-999a-f1049fa54b88', 'processing', 'memory', 'tcp://10.21.254.85:34755', 47449930495744, [['compute', 1532831073.9042552, 1532831256.8322082]]]
['blobDetector_multi-a76bf655-ba26-4834-88c9-bfc10d916d7c', 'processing', 'memory', 'tcp://10.21.254.147:35026', 47981164263168, [['compute', 1532831073.9036286, 1532831257.4334176]]]
['blobDetector_multi-458326cc-19df-4c5d-b2e2-df775fcf0d7c', 'processing', 'memory', 'tcp://10.21.254.147:34297', 47980157630208, [['compute', 1532831073.8938673, 1532831258.63823]]]
['blobDetector_multi-62aaa2ee-58ac-4b41-9a85-7c3e0d42a799', 'processing', 'memory', 'tcp://10.21.254.85:32943', 47446306617088, [['compute', 1532831073.898342, 1532831258.9900548]]]
['blobDetector_multi-a9e95051-9479-4451-b81f-47edb6a95c72', 'processing', 'memory', 'tcp://10.21.254.147:42707', 47981566916352, [['compute', 1532831073.903782, 1532831259.004313]]]
['blobDetector_multi-04fbe3c7-6cbe-4f3a-b5ce-71544bcabfd0', 'processing', 'memory', 'tcp://10.21.254.144:39447', 47872513148672, [['compute', 1532831073.889709, 1532831260.589893]]]
['blobDetector_multi-00388eb8-ade9-4841-a1b5-edf872a188cf', 'processing', 'memory', 'tcp://10.21.254.144:33194', 47876541540096, [['compute', 1532831073.8894253, 1532831263.7108054]]]
['blobDetector_multi-2854d276-a5fc-4464-9735-deffb67999fe', 'processing', 'memory', 'tcp://10.21.254.146:33856', 47100831225600, [['compute', 1532831073.891691, 1532831263.818284]]]
['blobDetector_multi-45bc5b57-37e3-4f58-8f23-43869b84360f', 'processing', 'memory', 'tcp://10.21.254.147:36531', 47983378855680, [['compute', 1532831073.8942854, 1532831263.9335265]]]
['blobDetector_multi-2d785219-a167-4014-a4cc-2474bf082f46', 'processing', 'memory', 'tcp://10.21.254.146:34825', 47099219834624, [['compute', 1532831073.8921568, 1532831263.980538]]]
['blobDetector_multi-e63433d7-8077-45ba-9d2a-4e1af7bc16e5', 'processing', 'memory', 'tcp://10.21.254.85:34958', 47449928369920, [['compute', 1532831073.908428, 1532831264.03666]]]
['blobDetector_multi-36cce762-f857-4d10-8092-382f68327369', 'processing', 'memory', 'tcp://10.21.254.146:44188', 47100226205440, [['compute', 1532831073.8935409, 1532831264.5900939]]]
['blobDetector_multi-3501a062-a2c4-4f72-9409-8879db10a462', 'processing', 'memory', 'tcp://10.21.254.146:41773', 47101834966784, [['compute', 1532831073.8928008, 1532831265.673718]]]
['blobDetector_multi-81a6298f-2f3d-4e77-b3bc-d3634903988b', 'processing', 'memory', 'tcp://10.21.254.146:38530', 47099823552256, [['compute', 1532831073.9012415, 1532831266.7966835]]]
['blobDetector_multi-dc134bd0-6614-4ec8-b401-b0216bd66455', 'processing', 'memory', 'tcp://10.21.254.147:37548', 47980761609984, [['compute', 1532831073.9071655, 1532831266.9832897]]]
['blobDetector_multi-584253a8-9a3b-49dc-a968-99eef6d48f8f', 'processing', 'memory', 'tcp://10.21.254.147:44805', 47982372222720, [['compute', 1532831073.8950334, 1532831267.2973413]]]
['blobDetector_multi-459a702c-b182-4b54-bb91-eb4af614affa', 'processing', 'memory', 'tcp://10.21.254.147:36121', 47980155766528, [['compute', 1532831073.8941, 1532831267.806335]]]
['blobDetector_multi-4fdad392-dbe5-469c-b71e-c27f8fd8d7d2', 'processing', 'memory', 'tcp://10.21.254.147:38132', 47979965175552, [['compute', 1532831073.894665, 1532831271.288828]]]
