['blobDetector_multi-db966d99-eb0a-4a88-8e58-a3c570125da1', 'processing', 'memory', 'tcp://10.21.255.51:39538', 47988210706176, [['compute', 1533014627.8592715, 1533014802.3103454]]]
['blobDetector_multi-afa83f57-840c-4bb9-b394-0ec0ff7aca7e', 'processing', 'memory', 'tcp://10.21.255.51:35146', 47984799016704, [['compute', 1533014627.853407, 1533014802.377976]]]
['blobDetector_multi-b1b31b41-16bf-4b23-9edb-8951ed73ec08', 'processing', 'memory', 'tcp://10.21.255.58:43279', 47396109186816, [['compute', 1533014627.8537977, 1533014802.3972967]]]
['blobDetector_multi-85513699-413f-4f25-bdb7-8b9ed05251a1', 'processing', 'memory', 'tcp://10.21.255.53:44063', 47144249620224, [['compute', 1533014627.8489954, 1533014802.5316694]]]
['blobDetector_multi-16f221ca-3e95-46dc-bad4-c1dc046e18b6', 'processing', 'memory', 'tcp://10.21.255.51:41134', 47984987604736, [['compute', 1533014627.8339741, 1533014802.794548]]]
['blobDetector_multi-8fb45a53-5ce7-4006-a4bf-6c29a0279e82', 'processing', 'memory', 'tcp://10.21.255.58:45465', 47396914493184, [['compute', 1533014627.8497427, 1533014802.8387566]]]
['blobDetector_multi-c10c82cc-2458-46e4-a24b-f3af229856c1', 'processing', 'memory', 'tcp://10.21.255.53:43228', 47144652273408, [['compute', 1533014627.8558774, 1533014802.8382614]]]
['blobDetector_multi-1513cf1b-262a-42b8-bc1c-9fe7fb3face4', 'processing', 'memory', 'tcp://10.21.255.51:39889', 47989016004352, [['compute', 1533014627.8336656, 1533014802.9785736]]]
['blobDetector_multi-14424592-dfe7-4515-82d9-69d2e79754fe', 'processing', 'memory', 'tcp://10.21.255.51:39509', 47987405649664, [['compute', 1533014627.833452, 1533014803.147991]]]
['blobDetector_multi-5a5572ed-2b42-436c-a3fd-125ce2978109', 'processing', 'memory', 'tcp://10.21.255.68:36631', 47748363613952, [['compute', 1533014627.8435726, 1533014803.4159565]]]
['blobDetector_multi-6eee8c99-98df-4371-bf49-18dc0009b9f2', 'processing', 'memory', 'tcp://10.21.255.70:39166', 47402685855488, [['compute', 1533014627.845647, 1533014803.7790852]]]
['blobDetector_multi-260e5e75-4ded-4760-8990-dac13f0cd8de', 'processing', 'memory', 'tcp://10.21.255.53:43293', 47147269539584, [['compute', 1533014627.8365989, 1533014803.8002627]]]
['blobDetector_multi-0cbf23fd-c559-4836-ba5c-403a2498b2df', 'processing', 'memory', 'tcp://10.21.255.51:34844', 47986398754560, [['compute', 1533014627.8331077, 1533014803.8292868]]]
['blobDetector_multi-e17dc05d-8f27-488f-8470-bbac47c6dc89', 'processing', 'memory', 'tcp://10.21.255.68:38141', 47748967593728, [['compute', 1533014627.8601706, 1533014803.9853165]]]
['blobDetector_multi-d79ff408-f4cd-44d6-a8f3-49b9f01a8d8f', 'processing', 'memory', 'tcp://10.21.255.53:36033', 47146665539328, [['compute', 1533014627.8583329, 1533014804.038886]]]
['blobDetector_multi-7d3163b8-3c16-4617-a94d-7c877a48575e', 'processing', 'memory', 'tcp://10.21.255.51:38680', 47987808040704, [['compute', 1533014627.84795, 1533014804.093593]]]
['blobDetector_multi-1d817138-7c64-431c-9ef3-219cf1cc46b1', 'processing', 'memory', 'tcp://10.21.255.51:45966', 47989013878528, [['compute', 1533014627.8345397, 1533014804.1086066]]]
