['blobDetector_multi-44d6195d-c951-41e9-815e-653be91bbf8e', 'processing', 'memory', 'tcp://10.21.252.96:45617', 47193507526400, [['compute', 1532764921.7539527, 1532765104.0097797]]]
['blobDetector_multi-2373f9de-e625-4454-8fdf-818b1694cffc', 'processing', 'memory', 'tcp://10.21.251.253:42291', 47971707066112, [['compute', 1532764921.7468984, 1532765104.7990775]]]
['blobDetector_multi-19813aee-e592-4971-a709-b6415a038238', 'processing', 'memory', 'tcp://10.21.251.253:32833', 47973111461632, [['compute', 1532764921.7454836, 1532765104.8850667]]]
['blobDetector_multi-3c04a4a4-d58f-41ba-95ea-4019ff564891', 'processing', 'memory', 'tcp://10.21.252.96:36134', 47193505662720, [['compute', 1532764921.750384, 1532765104.926464]]]
['blobDetector_multi-78739723-754b-4b5a-9916-4a3d456fdf5b', 'processing', 'memory', 'tcp://10.21.252.96:42699', 47194514159360, [['compute', 1532764921.7624102, 1532765105.073354]]]
['blobDetector_multi-77d84433-5d18-450d-87f4-973e27de4ef2', 'processing', 'memory', 'tcp://10.21.252.96:36295', 47197534058240, [['compute', 1532764921.7623386, 1532765105.2896478]]]
['blobDetector_multi-429596f2-839f-48de-a6d4-d76f90a25159', 'processing', 'memory', 'tcp://10.21.252.96:41930', 47195319465728, [['compute', 1532764921.7533364, 1532765105.3069015]]]
['blobDetector_multi-704021d1-bee8-4d86-9a0d-4b254564ed21', 'processing', 'memory', 'tcp://10.21.251.233:45055', 47771113518848, [['compute', 1532764921.7602892, 1532765105.31778]]]
['blobDetector_multi-20626cbd-8731-4c99-9362-c54abd73a9e5', 'processing', 'memory', 'tcp://10.21.251.253:36708', 47971709167360, [['compute', 1532764921.7459855, 1532765105.3234246]]]
['blobDetector_multi-43de2693-808c-4a1c-aec4-7880b854e9c7', 'processing', 'memory', 'tcp://10.21.252.96:43128', 47196930086656, [['compute', 1532764921.753475, 1532765105.5558589]]]
['blobDetector_multi-6b3f46a3-ed2d-4053-bc19-ebc0b0c485c0', 'processing', 'memory', 'tcp://10.21.251.233:36836', 47770509539072, [['compute', 1532764921.7599146, 1532765106.2259908]]]
['blobDetector_multi-6681546b-6bd9-45e5-a1a1-1fb2dc84650e', 'processing', 'memory', 'tcp://10.21.251.253:46246', 47973312526080, [['compute', 1532764921.7591858, 1532765106.2999997]]]
['blobDetector_multi-44a2679d-2998-4b83-a833-16775603458c', 'processing', 'memory', 'tcp://10.21.252.96:44020', 47196124772096, [['compute', 1532764921.7535858, 1532765106.416816]]]
['blobDetector_multi-64185ef4-3549-4b1f-9a60-355c4e33fa77', 'processing', 'memory', 'tcp://10.21.252.96:41277', 47195923707648, [['compute', 1532764921.758515, 1532765106.507875]]]
['blobDetector_multi-271cfa0b-d65e-4ec6-bb76-30c34f5be246', 'processing', 'memory', 'tcp://10.21.251.253:46295', 47973916509952, [['compute', 1532764921.747388, 1532765106.7629619]]]
['blobDetector_multi-3988608f-4071-4848-b203-775d3a0ebbb6', 'processing', 'memory', 'tcp://10.21.252.96:33386', 47194916812544, [['compute', 1532764921.7501943, 1532765106.8169484]]]
['blobDetector_multi-4c6b2d78-e7ed-4632-a871-eeb9ab1b9d04', 'processing', 'memory', 'tcp://10.21.251.253:32957', 47974520485632, [['compute', 1532764921.7551558, 1532765106.8363438]]]
['blobDetector_multi-5efbdb6d-4a20-4a19-bffd-22a5fa032b56', 'processing', 'memory', 'tcp://10.21.251.253:33764', 47972909872896, [['compute', 1532764921.7576234, 1532765107.0392096]]]
