['blobDetector_multi-36700104-169b-4b79-bacb-aa3d1b38f02c', 'processing', 'memory', 'tcp://10.21.255.232:39989', 47220285019904, [['compute', 1533034420.914961, 1533034602.18334]]]
['blobDetector_multi-3d453768-6ec4-4ea1-a8a1-b484328ea0a7', 'processing', 'memory', 'tcp://10.21.255.232:42845', 47219881572096, [['compute', 1533034423.9434605, 1533034602.2176785]]]
['blobDetector_multi-2477bfec-f1ea-4ec0-b64f-86eeeb8a474d', 'processing', 'memory', 'tcp://10.21.255.232:34483', 47219277330176, [['compute', 1533034420.3103576, 1533034602.5742598]]]
['blobDetector_multi-29dafb1f-78d8-4cb4-9f65-d3e633380bc9', 'processing', 'memory', 'tcp://10.21.255.232:38027', 47219679983360, [['compute', 1533034426.4229033, 1533034604.5886693]]]
['blobDetector_multi-1d6ebc9f-da02-4dda-9f65-a74d9eb004e7', 'processing', 'memory', 'tcp://10.21.255.232:33278', 47218874676992, [['compute', 1533034424.51138, 1533034604.970267]]]
['blobDetector_multi-3f6ce3a3-9559-44a0-a4f1-d7bf54f0fd71', 'processing', 'memory', 'tcp://10.21.255.232:45116', 47217286317824, [['compute', 1533034429.662459, 1533034605.1209989]]]
['blobDetector_multi-3e41d4a5-a569-4097-b1d3-ab2c98be5c17', 'processing', 'memory', 'tcp://10.21.255.232:43550', 47218069370624, [['compute', 1533034430.1856265, 1533034607.2273016]]]
['blobDetector_multi-24c824ff-80ac-445d-a7ed-2a09b997a696', 'processing', 'memory', 'tcp://10.21.255.232:36424', 47217465390848, [['compute', 1533034422.77702, 1533034608.370288]]]
['blobDetector_multi-215d630c-2182-4e48-ad15-2872ee58bf9b', 'processing', 'memory', 'tcp://10.21.255.232:34271', 47217666717440, [['compute', 1533034419.5837245, 1533034608.7199545]]]
['blobDetector_multi-1fa9f33f-2cf9-4751-b593-2078e952afc8', 'processing', 'memory', 'tcp://10.21.255.232:33819', 47220887934720, [['compute', 1533034425.7112644, 1533034609.0618725]]]
['blobDetector_multi-3482b087-98d9-44d0-921c-4e2f98457336', 'processing', 'memory', 'tcp://10.21.255.232:39244', 47220082636544, [['compute', 1533034423.14589, 1533034609.0795581]]]
['blobDetector_multi-3f73afad-b613-482e-b829-3719d8cb3650', 'processing', 'memory', 'tcp://10.21.255.232:45454', 47221089277696, [['compute', 1533034428.8207936, 1533034610.4951656]]]
['blobDetector_multi-3a16be85-52d1-4014-89dc-3ead7022dfba', 'processing', 'memory', 'tcp://10.21.255.232:40163', 47218673612544, [['compute', 1533034419.3340425, 1533034611.4701295]]]
['blobDetector_multi-2f38ad24-c50b-44f1-bf0d-488012539d08', 'processing', 'memory', 'tcp://10.21.255.232:38403', 47217288419072, [['compute', 1533034441.878564, 1533034618.4850729]]]
['blobDetector_multi-2f2d6059-c11e-4191-9531-59f1772fa71a', 'processing', 'memory', 'tcp://10.21.255.232:38351', 47217463527168, [['compute', 1533034419.419059, 1533034620.13516]]]
['blobDetector_multi-3be7c708-8117-4d58-8f1c-fe8177f6caca', 'processing', 'memory', 'tcp://10.21.255.232:42839', 47221491926784, [['compute', 1533034423.9883263, 1533034626.7620034]]]
['blobDetector_multi-5e53dbbd-abbf-4e14-9632-378021fc57be', 'processing', 'memory', 'tcp://10.21.255.232:45772', 47218472023808, [['compute', 1533034597.6685731, 1533034773.224699]]]
['blobDetector_multi-4de806b7-73bf-44cc-b65a-b71375bf5142', 'processing', 'memory', 'tcp://10.21.255.232:37776', 47221290866432, [['compute', 1533034594.975368, 1533034774.416629]]]
['blobDetector_multi-550ff8ff-6581-4bd7-a0d4-6948eff833a0', 'processing', 'memory', 'tcp://10.21.255.232:39989', 47220285019904, [['compute', 1533034602.1896822, 1533034776.565108]]]
['blobDetector_multi-5ee8f816-3542-4006-a6db-ed133b020096', 'processing', 'memory', 'tcp://10.21.255.232:46085', 47220485281536, [['compute', 1533034590.056774, 1533034776.6741347]]]
['blobDetector_multi-46b273a7-d653-44c7-9aaf-9fb592685a3c', 'processing', 'memory', 'tcp://10.21.255.232:35682', 47218270697216, [['compute', 1533034601.0541286, 1533034777.8788817]]]
['blobDetector_multi-4620bb10-35a4-4afd-ab99-9cd527c1b6e8', 'processing', 'memory', 'tcp://10.21.255.232:34483', 47219277330176, [['compute', 1533034602.574517, 1533034778.0870051]]]
['blobDetector_multi-441ec2c8-09b4-4abf-80d1-89c560f8b761', 'processing', 'memory', 'tcp://10.21.255.232:33278', 47218874676992, [['compute', 1533034604.9747171, 1533034780.9818182]]]
['blobDetector_multi-52c73f2a-e709-4d19-ad92-8bd10fabe7bf', 'processing', 'memory', 'tcp://10.21.255.232:39244', 47220082636544, [['compute', 1533034609.08345, 1533034781.601958]]]
['blobDetector_multi-42d7d2dd-34d7-427f-ae87-863f293c579c', 'processing', 'memory', 'tcp://10.21.255.232:32975', 47219478656768, [['compute', 1533034599.584975, 1533034781.79004]]]
['blobDetector_multi-4ebc4d16-cc9f-41ee-a82c-484ebeb45038', 'processing', 'memory', 'tcp://10.21.255.232:38027', 47219679983360, [['compute', 1533034604.5898345, 1533034782.7806315]]]
['blobDetector_multi-56f2869d-eb67-413c-a165-b65019927884', 'processing', 'memory', 'tcp://10.21.255.232:40163', 47218673612544, [['compute', 1533034611.4788032, 1533034783.3281672]]]
['blobDetector_multi-5e520917-46dd-49b9-a215-d9f2bd533247', 'processing', 'memory', 'tcp://10.21.255.232:45454', 47221089277696, [['compute', 1533034610.497431, 1533034785.1646311]]]
['blobDetector_multi-4594b873-395e-4ef6-b5fd-58b7682b58b5', 'processing', 'memory', 'tcp://10.21.255.232:33819', 47220887934720, [['compute', 1533034609.063792, 1533034785.307692]]]
['blobDetector_multi-5ade62c0-bda6-46af-905a-3bec0942b4e5', 'processing', 'memory', 'tcp://10.21.255.232:43550', 47218069370624, [['compute', 1533034607.226167, 1533034786.451255]]]
['blobDetector_multi-429ddf93-7e60-4709-843f-087fdfc8cc25', 'processing', 'memory', 'tcp://10.21.255.232:32886', 47220686628608, [['compute', 1533034598.700603, 1533034787.125468]]]
['blobDetector_multi-5af0fe49-9df1-42f3-b442-13ca9ae1dc3e', 'processing', 'memory', 'tcp://10.21.255.232:43601', 47217868044032, [['compute', 1533034601.977088, 1533034788.1641538]]]
['blobDetector_multi-476ec6f6-a167-456b-8d75-11f94cb1b691', 'processing', 'memory', 'tcp://10.21.255.232:36424', 47217465390848, [['compute', 1533034608.3698406, 1533034789.7885995]]]
['blobDetector_multi-4616a374-874a-40c5-bdea-e500ffd1b3e8', 'processing', 'memory', 'tcp://10.21.255.232:34271', 47217666717440, [['compute', 1533034608.7209246, 1533034793.1231024]]]
['blobDetector_multi-4efca19d-5ee5-4c1b-a748-c829d545f2c4', 'processing', 'memory', 'tcp://10.21.255.232:38351', 47217463527168, [['compute', 1533034620.135955, 1533034797.9015281]]]
['blobDetector_multi-5d46bc1e-0cea-4a42-9fc6-716341f5a527', 'processing', 'memory', 'tcp://10.21.255.232:45116', 47217286317824, [['compute', 1533034605.127744, 1533034799.2385437]]]
['blobDetector_multi-5a539631-c47e-44b0-bdb0-4637a112d489', 'processing', 'memory', 'tcp://10.21.255.232:42845', 47219881572096, [['compute', 1533034602.2188654, 1533034799.8342295]]]
['blobDetector_multi-58b5e0c8-9481-4b17-873d-a174b01beca1', 'processing', 'memory', 'tcp://10.21.255.232:42839', 47221491926784, [['compute', 1533034626.7649996, 1533034801.1285276]]]
['blobDetector_multi-4499f941-a066-4216-ad55-47a7fe05ebb2', 'processing', 'memory', 'tcp://10.21.255.232:33754', 47219076003584, [['compute', 1533034601.2142184, 1533034801.3311074]]]
['blobDetector_multi-51c5f26c-1df4-46ac-9342-76efd7fbe793', 'processing', 'memory', 'tcp://10.21.255.232:38403', 47217288419072, [['compute', 1533034618.4870908, 1533034821.3104558]]]
