['blobDetector_multi-076885f5-ee48-414b-8e5d-af41b8d294d3', 'processing', 'memory', 'tcp://10.21.248.129:37039', 47133914855168, [['compute', 1533221010.1464555, 1533221192.4694495]]]
['blobDetector_multi-d4c863d2-199e-42bc-ba80-2710fb48d4b6', 'processing', 'memory', 'tcp://10.21.248.129:42364', 47131511379712, [['compute', 1533221010.172767, 1533221192.503535]]]
['blobDetector_multi-950c5588-49fa-4ffb-9bbd-daaffa44e30d', 'processing', 'memory', 'tcp://10.21.248.139:41155', 47720714761984, [['compute', 1533221010.1642945, 1533221192.5603704]]]
['blobDetector_multi-10c486b7-70cf-4a83-80f2-69a38811053e', 'processing', 'memory', 'tcp://10.21.248.131:33238', 47571397539584, [['compute', 1533221010.1479576, 1533221192.5823317]]]
['blobDetector_multi-cdc3bf28-1e35-4af7-a997-b8159752ce7b', 'processing', 'memory', 'tcp://10.21.248.143:46143', 47543681570560, [['compute', 1533221010.1721904, 1533221192.7896056]]]
['blobDetector_multi-a9b019ce-f259-43e9-9069-a37f4ed1186d', 'processing', 'memory', 'tcp://10.21.248.145:33597', 46915876292352, [['compute', 1533221010.1670408, 1533221192.9819257]]]
['blobDetector_multi-928ed1fe-fa0b-4955-82c8-ef367c36babf', 'processing', 'memory', 'tcp://10.21.248.131:42891', 47571800192768, [['compute', 1533221010.163775, 1533221192.9888809]]]
['blobDetector_multi-06c28f86-d0b0-48e3-91a1-ced77be7ff9c', 'processing', 'memory', 'tcp://10.21.248.129:35265', 47133512201984, [['compute', 1533221010.1475945, 1533221193.0392406]]]
['blobDetector_multi-05f95e1b-31fb-4dc1-8b8e-59cb31cb20d3', 'processing', 'memory', 'tcp://10.21.248.129:34849', 47132908484352, [['compute', 1533221010.147794, 1533221193.0908651]]]
['blobDetector_multi-0e0a8a2a-d663-42f3-ba91-db932d409648', 'processing', 'memory', 'tcp://10.21.248.129:45424', 47132505569024, [['compute', 1533221010.147554, 1533221193.107601]]]
['blobDetector_multi-077567f6-6654-4b94-af9d-2d6fdb56aaed', 'processing', 'memory', 'tcp://10.21.248.129:38125', 47135122814720, [['compute', 1533221010.1464267, 1533221193.1316607]]]
['blobDetector_multi-cb3c0bc3-1b18-4269-8c2d-addbd88509da', 'processing', 'memory', 'tcp://10.21.248.129:46322', 47131700262656, [['compute', 1533221010.1709619, 1533221193.158145]]]
['blobDetector_multi-c9bb0ddb-7ecf-4968-aa91-96bbbfd5cd63', 'processing', 'memory', 'tcp://10.21.248.145:43770', 46919099381504, [['compute', 1533221010.1703382, 1533221193.1767712]]]
['blobDetector_multi-1357a567-a875-4b19-b544-f9a6be845e1e', 'processing', 'memory', 'tcp://10.21.248.131:36601', 47569785063168, [['compute', 1533221010.148192, 1533221193.243382]]]
['blobDetector_multi-5d4a113d-7e13-456c-b157-e448f1bfdd6f', 'processing', 'memory', 'tcp://10.21.248.143:45992', 47541668312832, [['compute', 1533221010.1586254, 1533221193.3384833]]]
['blobDetector_multi-4b4313f2-bc07-412d-b10b-d26b350cb9e4', 'processing', 'memory', 'tcp://10.21.248.142:42858', 47767554623232, [['compute', 1533221010.1558917, 1533221193.3920367]]]
['blobDetector_multi-45728412-ec03-4255-8c43-79e4abd0d6f0', 'processing', 'memory', 'tcp://10.21.248.142:36149', 47766950643456, [['compute', 1533221010.1552255, 1533221193.4028726]]]
['blobDetector_multi-bf935a2b-2fbf-4c46-92e0-5b72b9f58eb4', 'processing', 'memory', 'tcp://10.21.248.139:44829', 47717896189696, [['compute', 1533221010.1692696, 1533221193.5508475]]]
['blobDetector_multi-fdf30239-058b-4d6f-a511-dbb477079930', 'processing', 'memory', 'tcp://10.21.248.147:45134', 47274709264128, [['compute', 1533221010.1798763, 1533221193.6650233]]]
['blobDetector_multi-25facf8d-b783-41b6-923c-8b2fb07fc8b3', 'processing', 'memory', 'tcp://10.21.248.131:46242', 47569988253440, [['compute', 1533221010.1497138, 1533221193.8008738]]]
['blobDetector_multi-3f3cc228-7dae-48b6-a8cf-8b833c9cc2f4', 'processing', 'memory', 'tcp://10.21.248.140:41972', 47930362853120, [['compute', 1533221010.1535113, 1533221193.8415394]]]
['blobDetector_multi-7d7c0bce-2f92-4735-9141-9dcf3aab914c', 'processing', 'memory', 'tcp://10.21.248.147:38334', 47271349520128, [['compute', 1533221010.1614661, 1533221193.994287]]]
['blobDetector_multi-aa7e0fff-3d35-49e2-be47-3451248e2af5', 'processing', 'memory', 'tcp://10.21.248.145:37940', 46919904679680, [['compute', 1533221010.166891, 1533221194.020391]]]
['blobDetector_multi-e08c576b-0333-4bfe-aa3d-348d29d4a976', 'processing', 'memory', 'tcp://10.21.248.140:42891', 47931168433920, [['compute', 1533221010.174735, 1533221194.03117]]]
['blobDetector_multi-c9fc3b08-99e2-4a76-8a0f-f5a016ba413e', 'processing', 'memory', 'tcp://10.21.248.147:42293', 47274910570240, [['compute', 1533221010.1706376, 1533221194.0670557]]]
['blobDetector_multi-7957a86e-a504-46d8-9132-4d97405a2f88', 'processing', 'memory', 'tcp://10.21.248.147:34067', 47271689352960, [['compute', 1533221010.1614065, 1533221194.0789006]]]
['blobDetector_multi-0d995a9d-7462-418d-bfdd-d31b9ce67d52', 'processing', 'memory', 'tcp://10.21.248.129:42657', 47131901589248, [['compute', 1533221010.147502, 1533221194.096347]]]
['blobDetector_multi-72432fc4-2acd-4882-b898-85301ca62ab2', 'processing', 'memory', 'tcp://10.21.248.145:46188', 46919703639808, [['compute', 1533221010.1606505, 1533221194.2248964]]]
['blobDetector_multi-1acbab64-2339-4d54-8c17-8755cb53b43e', 'processing', 'memory', 'tcp://10.21.248.131:41989', 47570592233216, [['compute', 1533221010.148501, 1533221194.2276769]]]
['blobDetector_multi-66fbbc2e-3791-46c4-adf5-cf27561e154d', 'processing', 'memory', 'tcp://10.21.248.145:38886', 46918495401728, [['compute', 1533221010.1598306, 1533221194.2300396]]]
['blobDetector_multi-1cfe9a6b-d47e-46cf-9d6e-23781cfef575', 'processing', 'memory', 'tcp://10.21.248.131:42866', 47570189580032, [['compute', 1533221010.1497102, 1533221194.279925]]]
['blobDetector_multi-aff04763-4532-4f6c-995d-49170d0890ac', 'processing', 'memory', 'tcp://10.21.248.147:41373', 47272897312512, [['compute', 1533221010.167804, 1533221194.3833249]]]
['blobDetector_multi-541d6a81-1f26-4832-8193-8414d3995f7a', 'processing', 'memory', 'tcp://10.21.248.143:36702', 47543278929664, [['compute', 1533221010.1580641, 1533221194.384465]]]
['blobDetector_multi-2009c2c4-8194-49a6-9667-55373481e544', 'processing', 'memory', 'tcp://10.21.248.131:43304', 47569786926848, [['compute', 1533221010.148782, 1533221194.392679]]]
['blobDetector_multi-22f92b32-dda6-4f99-b1d6-5aba844bbfcb', 'processing', 'memory', 'tcp://10.21.248.131:44421', 47572605499136, [['compute', 1533221010.1489484, 1533221194.4258404]]]
['blobDetector_multi-9f3f506b-d01c-414a-945a-689084c06528', 'processing', 'memory', 'tcp://10.21.248.142:44598', 47767957276416, [['compute', 1533221010.166095, 1533221194.461904]]]
['blobDetector_multi-621c3ae9-6b13-4bf4-9656-5d98c4f53146', 'processing', 'memory', 'tcp://10.21.248.145:36490', 46918092748544, [['compute', 1533221010.15903, 1533221194.540132]]]
['blobDetector_multi-355ca7ff-d53b-4f83-a2d0-e2247abacdd1', 'processing', 'memory', 'tcp://10.21.248.139:44948', 47717493536512, [['compute', 1533221010.1517828, 1533221194.629155]]]
['blobDetector_multi-07a286b2-7073-4503-949a-d3d941b048cf', 'processing', 'memory', 'tcp://10.21.248.129:40002', 47134720161536, [['compute', 1533221010.1471677, 1533221194.6828337]]]
['blobDetector_multi-87c37f38-934e-4562-871c-dcd24324ec66', 'processing', 'memory', 'tcp://10.21.248.147:44608', 47272696248064, [['compute', 1533221010.1626868, 1533221194.6861737]]]
['blobDetector_multi-ca480fae-e56c-488f-b4f9-dab0b72448b4', 'processing', 'memory', 'tcp://10.21.248.129:36860', 47131698398976, [['compute', 1533221010.1707714, 1533221194.7038414]]]
['blobDetector_multi-f4bac878-70b1-44b2-9416-049a7bbbbe1f', 'processing', 'memory', 'tcp://10.21.248.139:46597', 47719104149248, [['compute', 1533221010.1780949, 1533221194.7176428]]]
['blobDetector_multi-afc2a427-b500-444d-82d7-a8bf98cb4d87', 'processing', 'memory', 'tcp://10.21.248.147:38863', 47271421155072, [['compute', 1533221010.1682642, 1533221194.7185013]]]
['blobDetector_multi-8c74847e-aed8-4683-8a11-72ad2b1b7133', 'processing', 'memory', 'tcp://10.21.248.129:34504', 47133713528576, [['compute', 1533221010.1630576, 1533221194.7418716]]]
