['blobDetector_multi-537eb70e-905d-48f6-89ab-0c327e1a775a', 'processing', 'memory', 'tcp://10.21.251.215:41071', 47309740340992, [['compute', 1532676781.9496553, 1532676962.2895823]]]
['blobDetector_multi-7a286d1c-7224-4827-97bb-11fdfc7e086b', 'processing', 'memory', 'tcp://10.21.251.200:44277', 47882782668544, [['compute', 1532676781.951333, 1532676962.3101401]]]
['blobDetector_multi-439e8557-b619-4693-9596-f804a5a16542', 'processing', 'memory', 'tcp://10.21.251.215:33251', 47308934772480, [['compute', 1532676781.9488213, 1532676962.7670875]]]
['blobDetector_multi-cc127f39-24ca-4484-b3cc-bbdf121f1cbe', 'processing', 'memory', 'tcp://10.21.251.215:41555', 47311149364992, [['compute', 1532676781.954046, 1532676962.970152]]]
['blobDetector_multi-43cb6e08-e3ac-4ab4-95cc-ced59ee6b0f2', 'processing', 'memory', 'tcp://10.21.251.215:34573', 47309136099072, [['compute', 1532676781.9488983, 1532676963.0724912]]]
['blobDetector_multi-9409e9fd-bf86-4860-acd4-f44745ea55e9', 'processing', 'memory', 'tcp://10.21.251.200:43564', 47883384526592, [['compute', 1532676781.9536698, 1532676963.6077569]]]
['blobDetector_multi-e62e6a19-7ea5-464e-8bc9-d4107a31e434', 'processing', 'memory', 'tcp://10.21.251.215:43836', 47312558651136, [['compute', 1532676781.9547703, 1532676963.6131244]]]
['blobDetector_multi-cbaaa2b9-13d7-48bd-978d-dba449c5c032', 'processing', 'memory', 'tcp://10.21.251.215:39155', 47308384614144, [['compute', 1532676781.9538143, 1532676963.6438723]]]
['blobDetector_multi-7e51933f-74ca-4223-8f5a-82eaedfd9dda', 'processing', 'memory', 'tcp://10.21.251.200:36159', 47879964096256, [['compute', 1532676781.9525664, 1532676963.7134626]]]
['blobDetector_multi-3914a289-2f59-4c89-a67b-f6484af4ad80', 'processing', 'memory', 'tcp://10.21.251.200:44793', 47879762769664, [['compute', 1532676781.9484746, 1532676963.8433015]]]
['blobDetector_multi-45b96d76-e953-4c3d-b785-25cbc3dfb218', 'processing', 'memory', 'tcp://10.21.251.215:37432', 47312556525312, [['compute', 1532676781.949164, 1532676963.853968]]]
['blobDetector_multi-88ca4631-f519-49f3-8b14-dc35d18e128f', 'processing', 'memory', 'tcp://10.21.251.200:40390', 47881172055808, [['compute', 1532676781.9523346, 1532676964.1119525]]]
['blobDetector_multi-fc23b8c8-1203-4a10-891c-aecddf8c36ed', 'processing', 'memory', 'tcp://10.21.251.215:46275', 47311753357056, [['compute', 1532676781.954982, 1532676964.668896]]]
['blobDetector_multi-66433760-b31d-4d87-ae6a-bc4dbf6b97dc', 'processing', 'memory', 'tcp://10.21.251.215:45540', 47308530255616, [['compute', 1532676781.950534, 1532676965.323325]]]
['blobDetector_multi-4444c2f5-5442-4268-8f4b-95d34b2db12f', 'processing', 'memory', 'tcp://10.21.251.215:34898', 47309337425664, [['compute', 1532676781.9490585, 1532676965.6074977]]]
['blobDetector_multi-790b4eb2-2b5f-47f3-9ccc-558cf56e2653', 'processing', 'memory', 'tcp://10.21.251.200:42093', 47883386652416, [['compute', 1532676781.9511971, 1532676966.275239]]]
