['blobDetector_multi-2f002261-44cc-4a2e-9a2f-01c8382d2b6c', 'processing', 'memory', 'tcp://10.21.254.253:45168', 47793125226240, [['compute', 1532935758.167491, 1532935941.146013]]]
['blobDetector_multi-1a2928c7-a140-4c54-b800-8096f0661c4c', 'processing', 'memory', 'tcp://10.21.254.253:34907', 47793729468160, [['compute', 1532935757.3529706, 1532935942.1962845]]]
['blobDetector_multi-270fdb4e-922b-48bd-85c5-5e30f9cc1fca', 'processing', 'memory', 'tcp://10.21.254.253:43253', 47792118593280, [['compute', 1532935758.108097, 1532935942.565463]]]
['blobDetector_multi-195fdbc6-74ab-4b9a-a3f4-1cb8f1acbf5f', 'processing', 'memory', 'tcp://10.21.254.253:34040', 47795339831040, [['compute', 1532935759.8786335, 1532935944.0705185]]]
['blobDetector_multi-1af6ae09-94c8-45f5-b30f-11566d8d3661', 'processing', 'memory', 'tcp://10.21.254.253:36068', 47793326552832, [['compute', 1532935772.744609, 1532935944.983649]]]
['blobDetector_multi-216d099a-f153-4fd1-ba84-d185372b077a', 'processing', 'memory', 'tcp://10.21.254.253:37784', 47794937161472, [['compute', 1532935760.5124905, 1532935945.1435976]]]
['blobDetector_multi-1cb25d87-7c17-4745-a386-6387a73e236d', 'processing', 'memory', 'tcp://10.21.254.253:36853', 47791715940096, [['compute', 1532935759.1744435, 1532935949.0311387]]]
['blobDetector_multi-27f05cb3-70f9-4d7e-9025-68a8281e9249', 'processing', 'memory', 'tcp://10.21.254.253:43659', 47792319919872, [['compute', 1532935765.3180687, 1532935950.6029508]]]
['blobDetector_multi-2447d9d4-b93e-4037-8de3-3703c8bff979', 'processing', 'memory', 'tcp://10.21.254.253:38629', 47791514613504, [['compute', 1532935771.5875204, 1532935956.0433514]]]
['blobDetector_multi-1c45dcfd-af6c-42d4-babe-37155b3a20dc', 'processing', 'memory', 'tcp://10.21.254.253:36372', 47794333189888, [['compute', 1532935761.1539645, 1532935958.6828156]]]
['blobDetector_multi-1d3b24a5-ebd8-4166-8c88-16e6828d1b0f', 'processing', 'memory', 'tcp://10.21.254.253:37353', 47795138758400, [['compute', 1532935779.8709958, 1532935981.2676578]]]
['blobDetector_multi-5c21bfef-d27f-465a-8be9-564b8b4f84fd', 'processing', 'memory', 'tcp://10.21.254.253:45863', 47791313286912, [['compute', 1532935931.436599, 1532936110.3374062]]]
['blobDetector_multi-3b78c189-ea64-4e05-ad3a-88e87ce74d8a', 'processing', 'memory', 'tcp://10.21.254.253:33445', 47791917266688, [['compute', 1532935932.792114, 1532936114.635527]]]
['blobDetector_multi-3bff076b-58cb-41b4-89cf-1442fd31c05e', 'processing', 'memory', 'tcp://10.21.254.253:33843', 47791135033088, [['compute', 1532935937.3788836, 1532936115.0708556]]]
['blobDetector_multi-3d841385-9f17-4e99-968b-1d499dd9a811', 'processing', 'memory', 'tcp://10.21.254.253:34805', 47792521508608, [['compute', 1532935933.669649, 1532936115.56242]]]
['blobDetector_multi-51b7f01b-7f8c-4f1e-b2f7-afb0bab9344f', 'processing', 'memory', 'tcp://10.21.254.253:37862', 47794735847168, [['compute', 1532935930.8531094, 1532936116.4009063]]]
['blobDetector_multi-578f2904-1b82-4d54-b70b-1a2a5035d901', 'processing', 'memory', 'tcp://10.21.254.253:43918', 47793527879424, [['compute', 1532935929.8791206, 1532936118.7129765]]]
['blobDetector_multi-59cc2690-4e73-47c7-9d25-63dddfdfdd38', 'processing', 'memory', 'tcp://10.21.254.253:45250', 47792722573056, [['compute', 1532935936.5378184, 1532936119.7383435]]]
['blobDetector_multi-5e559003-76fd-4cfb-a685-511f06dac151', 'processing', 'memory', 'tcp://10.21.254.253:46365', 47791137134336, [['compute', 1532935938.9676695, 1532936120.6100435]]]
['blobDetector_multi-59cb8d89-cc9b-4c69-98e1-3e4628ad9c70', 'processing', 'memory', 'tcp://10.21.254.253:45168', 47793125226240, [['compute', 1532935941.1514118, 1532936120.9865777]]]
['blobDetector_multi-488ef774-d8ef-4831-baab-827bc7644b83', 'processing', 'memory', 'tcp://10.21.254.253:37623', 47793930532608, [['compute', 1532935934.8022826, 1532936121.0266128]]]
['blobDetector_multi-54cfceb6-ff0e-4085-913e-ae2489f5b9df', 'processing', 'memory', 'tcp://10.21.254.253:42741', 47794534508288, [['compute', 1532935933.5145526, 1532936121.1293774]]]
