['blobDetector_multi-15e7869f-6c44-42c3-8624-25c6cfa349af', 'processing', 'memory', 'tcp://10.21.253.22:37672', 47453688592128, [['compute', 1533284549.384754, 1533284732.77999]]]
['blobDetector_multi-561b5633-b181-4a55-b881-7e9a95584669', 'processing', 'memory', 'tcp://10.21.253.15:41110', 47401343686400, [['compute', 1533284549.398017, 1533284733.158324]]]
['blobDetector_multi-01079328-7716-4b3f-9151-26fa385f81d3', 'processing', 'memory', 'tcp://10.21.253.15:33921', 47399330412288, [['compute', 1533284549.3811674, 1533284733.1983685]]]
['blobDetector_multi-2faf4382-e9d8-4fd6-97ad-03837582ac9d', 'processing', 'memory', 'tcp://10.21.253.46:41687', 47461919446784, [['compute', 1533284549.3911562, 1533284733.9145122]]]
['blobDetector_multi-666a224b-7956-4188-ba52-5febafcfc279', 'processing', 'memory', 'tcp://10.21.253.45:36325', 47278735783680, [['compute', 1533284549.3992252, 1533284734.053199]]]
['blobDetector_multi-520fb089-25e2-453f-bf48-1c3e9a3900ac', 'processing', 'memory', 'tcp://10.21.253.46:41963', 47465497650944, [['compute', 1533284549.3966126, 1533284734.2036128]]]
['blobDetector_multi-145d33a6-2750-463e-b6b2-a1952f4f3dad', 'processing', 'memory', 'tcp://10.21.253.22:36151', 47451473999616, [['compute', 1533284549.3844953, 1533284734.3723364]]]
['blobDetector_multi-0da62c64-3aa5-49a0-8838-908b80d05965', 'processing', 'memory', 'tcp://10.21.253.15:44296', 47397128193792, [['compute', 1533284549.3828902, 1533284734.3926673]]]
['blobDetector_multi-5c72826e-915a-47d4-829d-11bcb7f79a6c', 'processing', 'memory', 'tcp://10.21.253.22:37670', 47450467366656, [['compute', 1533284549.39877, 1533284734.504435]]]
['blobDetector_multi-319b334d-7172-4bfb-881b-58e0b4d780b6', 'processing', 'memory', 'tcp://10.21.253.46:43854', 47462075336448, [['compute', 1533284549.391755, 1533284734.558647]]]
['blobDetector_multi-327418a5-d298-42b8-9cf2-5ecf307b6351', 'processing', 'memory', 'tcp://10.21.253.46:44994', 47463285421824, [['compute', 1533284549.3920934, 1533284734.7087655]]]
['blobDetector_multi-1378236e-b61d-45ec-9534-1465284cf073', 'processing', 'memory', 'tcp://10.21.253.22:35918', 47450668693248, [['compute', 1533284549.3843336, 1533284734.8353987]]]
['blobDetector_multi-781396d9-50bf-4c81-b46b-6dd0c96ab400', 'processing', 'memory', 'tcp://10.21.253.46:44951', 47461921548032, [['compute', 1533284549.400776, 1533284735.0377629]]]
['blobDetector_multi-516737ee-bcdc-4ea7-ab6d-f5c76298ecfc', 'processing', 'memory', 'tcp://10.21.253.46:36535', 47465499760384, [['compute', 1533284549.3964336, 1533284735.0446184]]]
['blobDetector_multi-45a72c88-baef-4d04-8e69-4ccbbc65f251', 'processing', 'memory', 'tcp://10.21.253.46:41281', 47463083833088, [['compute', 1533284549.3947103, 1533284735.1675575]]]
['blobDetector_multi-1ab5c77e-35d5-4267-bc56-feb2d223d8cb', 'processing', 'memory', 'tcp://10.21.253.22:42818', 47450266040064, [['compute', 1533284549.3876052, 1533284735.356992]]]
['blobDetector_multi-52d5393b-f876-4be0-800b-914c01ee646c', 'processing', 'memory', 'tcp://10.21.253.15:37393', 47399733327616, [['compute', 1533284549.4000978, 1533284735.6804178]]]
['blobDetector_multi-182e9d12-07e1-4e83-934c-0d7bf818a4a3', 'processing', 'memory', 'tcp://10.21.253.22:41137', 47452682225408, [['compute', 1533284549.38723, 1533284735.8821208]]]
['blobDetector_multi-42619d2a-b09d-4414-a8ee-d720445a2ddb', 'processing', 'memory', 'tcp://10.21.253.45:43931', 47279339763456, [['compute', 1533284549.39432, 1533284736.38381]]]
['blobDetector_multi-74366edd-eed8-4181-a1f4-87d38f9cff46', 'processing', 'memory', 'tcp://10.21.253.46:37136', 47463486486272, [['compute', 1533284549.4001808, 1533284736.631527]]]
['blobDetector_multi-5acbeeb5-34ce-4d2e-9b6e-bfa65d200bb4', 'processing', 'memory', 'tcp://10.21.253.22:36743', 47450064713472, [['compute', 1533284549.39884, 1533284736.79881]]]
['blobDetector_multi-3718503b-2275-4a54-b0a9-ca2778d75835', 'processing', 'memory', 'tcp://10.21.253.15:42322', 47397317146368, [['compute', 1533284549.3924477, 1533284736.8348787]]]
['blobDetector_multi-2c4e32cc-debe-4767-832e-871dfcc90def', 'processing', 'memory', 'tcp://10.21.253.46:37709', 47465097094912, [['compute', 1533284549.3906512, 1533284736.974358]]]
['blobDetector_multi-0baeb9af-e129-4826-a70c-9dc757914c72', 'processing', 'memory', 'tcp://10.21.253.15:42890', 47397921126144, [['compute', 1533284549.3822975, 1533284737.0054586]]]
['blobDetector_multi-0a03eb6c-bca6-4df8-a915-86963654e024', 'processing', 'memory', 'tcp://10.21.253.15:39897', 47397315282688, [['compute', 1533284549.3817296, 1533284737.0261655]]]
['blobDetector_multi-0c9f4d01-0c0c-48ad-ad3e-e7109adf0840', 'processing', 'memory', 'tcp://10.21.253.15:43768', 47401142601472, [['compute', 1533284549.3824646, 1533284737.0406957]]]
['blobDetector_multi-386d66cb-6cd6-4031-9482-fd0574b9932f', 'processing', 'memory', 'tcp://10.21.253.15:44366', 47400941037312, [['compute', 1533284549.393266, 1533284737.0613778]]]
['blobDetector_multi-4522891c-d24f-4a17-9568-1c069b041c1a', 'processing', 'memory', 'tcp://10.21.253.46:37671', 47465902667520, [['compute', 1533284549.394636, 1533284737.345248]]]
['blobDetector_multi-2ee5c79e-9ca0-45c7-99db-33d781cf1377', 'processing', 'memory', 'tcp://10.21.253.46:40975', 47464090466048, [['compute', 1533284549.3910234, 1533284737.8704984]]]
['blobDetector_multi-2066127b-a769-4dc0-9b50-47bcdea62f32', 'processing', 'memory', 'tcp://10.21.253.45:36950', 47278534432512, [['compute', 1533284549.388239, 1533284737.985445]]]
['blobDetector_multi-55e3d076-566b-47d7-996d-1380d0e2017c', 'processing', 'memory', 'tcp://10.21.253.15:40699', 47398525368064, [['compute', 1533284549.3979018, 1533284738.068476]]]
['blobDetector_multi-619f2700-288f-433b-b4f5-594af685d4a1', 'processing', 'memory', 'tcp://10.21.253.22:46389', 47451876652800, [['compute', 1533284549.399041, 1533284738.483146]]]
['blobDetector_multi-7c247aaa-5515-44f7-9408-fdfd1abdbf57', 'processing', 'memory', 'tcp://10.21.253.46:45297', 47463889139456, [['compute', 1533284549.4010835, 1533284738.5695314]]]
['blobDetector_multi-3d9fd45a-ba0e-48ac-80df-ececba5a443a', 'processing', 'memory', 'tcp://10.21.253.22:37767', 47451272935168, [['compute', 1533284549.394559, 1533284738.798028]]]
['blobDetector_multi-5de55209-dbb6-4eb5-bb62-0f3d1b143c73', 'processing', 'memory', 'tcp://10.21.253.22:39915', 47452279305984, [['compute', 1533284549.3989644, 1533284738.8052595]]]
['blobDetector_multi-1b5f1be1-6625-43bd-8d38-614c3b6d102b', 'processing', 'memory', 'tcp://10.21.253.45:32945', 47278937110272, [['compute', 1533284549.3880956, 1533284739.0331936]]]
['blobDetector_multi-53b68cd2-fe1f-4191-857b-308b022cbad5', 'processing', 'memory', 'tcp://10.21.253.45:42316', 47277729150720, [['compute', 1533284549.397489, 1533284739.112241]]]
['blobDetector_multi-1a937709-041f-4a66-bf69-d1aafa7942a5', 'processing', 'memory', 'tcp://10.21.253.22:41602', 47452077979392, [['compute', 1533284549.387693, 1533284739.8635361]]]
['blobDetector_multi-38ea5a36-19b8-4280-bd56-d435a05691c3', 'processing', 'memory', 'tcp://10.21.253.22:33045', 47454091249408, [['compute', 1533284549.3935292, 1533284740.313342]]]
['blobDetector_multi-070012d2-cf78-4c84-90e7-8c8e22569999', 'processing', 'memory', 'tcp://10.21.253.15:36995', 47397719799552, [['compute', 1533284549.3812184, 1533284740.5731864]]]
['blobDetector_multi-218d985b-0a75-4f98-974f-d061734364e7', 'processing', 'memory', 'tcp://10.21.253.45:39445', 47278333155072, [['compute', 1533284549.3886523, 1533284740.7338934]]]
['blobDetector_multi-115b03ac-dcc0-4439-b5f5-08f17aac04e5', 'processing', 'memory', 'tcp://10.21.253.22:33273', 47451071346432, [['compute', 1533284549.3839216, 1533284742.0568247]]]
['blobDetector_multi-59fc219f-4d58-4db4-b3cd-1325f5bc2c43', 'processing', 'memory', 'tcp://10.21.253.22:34154', 47453487269632, [['compute', 1533284549.3983934, 1533284742.5941103]]]
['blobDetector_multi-158361a6-a44f-4ace-a7fc-a3897227995a', 'processing', 'memory', 'tcp://10.21.253.22:37571', 47452480632576, [['compute', 1533284549.3881907, 1533284742.6993868]]]
['blobDetector_multi-30fde383-1f6c-42ba-9f83-3ed835f06846', 'processing', 'memory', 'tcp://10.21.253.46:42569', 47462479853312, [['compute', 1533284549.3916686, 1533284742.7806766]]]
['blobDetector_multi-597b79b9-7e5f-4c76-927d-29f618dbb376', 'processing', 'memory', 'tcp://10.21.253.15:43848', 47398122452736, [['compute', 1533284549.3980296, 1533284742.9080915]]]
['blobDetector_multi-538d15d2-1a59-4530-881b-e1749388c2d3', 'processing', 'memory', 'tcp://10.21.253.22:41609', 47450062849792, [['compute', 1533284549.397279, 1533284743.499299]]]
['blobDetector_multi-21a6bac3-c343-426b-9be5-f3b0c651a33a', 'processing', 'memory', 'tcp://10.21.253.45:40004', 47278132066048, [['compute', 1533284549.38885, 1533284744.269081]]]
['blobDetector_multi-0aafd1aa-0c00-4814-b8e5-65560aae0566', 'processing', 'memory', 'tcp://10.21.253.15:40858', 47399129085696, [['compute', 1533284549.381911, 1533284744.4057078]]]
['blobDetector_multi-2dc403a6-6a5e-491e-8bef-d34a74993892', 'processing', 'memory', 'tcp://10.21.253.46:39894', 47464895776512, [['compute', 1533284549.3936377, 1533284745.6234977]]]
['blobDetector_multi-12561b5f-e5bc-4dbf-88f3-2c9e1889944c', 'processing', 'memory', 'tcp://10.21.253.22:33945', 47450870019840, [['compute', 1533284549.3839166, 1533284746.1039596]]]
['blobDetector_multi-50f82602-89e2-4f24-b8a9-3e952a2a4959', 'processing', 'memory', 'tcp://10.21.253.45:41798', 47275715884800, [['compute', 1533284549.3960629, 1533284748.718279]]]
['blobDetector_multi-2a0e590e-200a-4910-9025-5a900ad2893f', 'processing', 'memory', 'tcp://10.21.253.46:36615', 47462681179904, [['compute', 1533284549.3903205, 1533284751.2984846]]]
['blobDetector_multi-470a46f5-9c13-4ca9-8bb8-2554039d8887', 'processing', 'memory', 'tcp://10.21.253.15:35794', 47400337045248, [['compute', 1533284549.3951585, 1533284752.4693584]]]
['blobDetector_multi-76c21c70-7e08-4481-99fb-e9d127f4f773', 'processing', 'memory', 'tcp://10.21.253.46:39117', 47464291792640, [['compute', 1533284549.4005544, 1533284754.3230364]]]
['blobDetector_multi-11205c15-1e54-4756-8066-896e126c69ca', 'processing', 'memory', 'tcp://10.21.253.22:33037', 47452883281664, [['compute', 1533284549.3840213, 1533284756.2129123]]]
