['blobDetector_multi-342b2247-8829-4798-b470-f0b306d9abdc', 'processing', 'memory', 'tcp://10.21.255.68:45238', 47184783636224, [['compute', 1532856229.086922, 1532856404.686183]]]
['blobDetector_multi-d2429b22-3d19-4038-9a18-53e9088255f4', 'processing', 'memory', 'tcp://10.21.255.83:46828', 47073181333248, [['compute', 1532856229.1117425, 1532856404.6937115]]]
['blobDetector_multi-679f1799-ea08-45d4-9e44-9fbd740a3fd2', 'processing', 'memory', 'tcp://10.21.255.76:44379', 47547171239680, [['compute', 1532856229.092925, 1532856404.793252]]]
['blobDetector_multi-02537f02-3fd4-468f-84e9-0ba14c01f5a2', 'processing', 'memory', 'tcp://10.21.255.47:33944', 47495698749184, [['compute', 1532856229.0808198, 1532856405.0648308]]]
['blobDetector_multi-63eae1b1-f1b0-423f-8525-7c29083bbf36', 'processing', 'memory', 'tcp://10.21.255.76:39406', 47547372578560, [['compute', 1532856229.0921533, 1532856405.1365533]]]
['blobDetector_multi-b6b2ab9a-9c41-4d00-a037-15829fb5c9f8', 'processing', 'memory', 'tcp://10.21.255.75:35514', 47851375720192, [['compute', 1532856229.1084871, 1532856405.1890461]]]
['blobDetector_multi-a154ca60-5cdd-4706-8492-7bca02bf70fe', 'processing', 'memory', 'tcp://10.21.255.83:37454', 47077006808832, [['compute', 1532856229.1045916, 1532856405.2062945]]]
['blobDetector_multi-607b8cdd-9f79-438f-9434-7f9bd18e5032', 'processing', 'memory', 'tcp://10.21.255.76:34716', 47544956647168, [['compute', 1532856229.0912423, 1532856405.2849054]]]
['blobDetector_multi-00b5ef25-1cd8-48a4-835d-ba8ab2676f8e', 'processing', 'memory', 'tcp://10.21.255.47:33126', 47491670345472, [['compute', 1532856229.080968, 1532856405.317685]]]
['blobDetector_multi-a2c7fa38-2dca-4c06-b38c-d1313ea38e21', 'processing', 'memory', 'tcp://10.21.255.83:40957', 47075798578944, [['compute', 1532856229.1047845, 1532856405.3307905]]]
['blobDetector_multi-df806e45-ced3-4d96-94fe-e5b4aa8963db', 'processing', 'memory', 'tcp://10.21.255.83:35422', 47074187966208, [['compute', 1532856229.1133404, 1532856405.4466114]]]
['blobDetector_multi-70d4fdf2-6c63-444d-a6c0-10921bab9485', 'processing', 'memory', 'tcp://10.21.255.83:40716', 47075395925760, [['compute', 1532856229.097003, 1532856405.463014]]]
['blobDetector_multi-e0a2e7e2-19e4-4ba6-bd05-1f1d7a13b994', 'processing', 'memory', 'tcp://10.21.255.72:39762', 47438723315456, [['compute', 1532856229.1131825, 1532856405.5694945]]]
['blobDetector_multi-daa435e9-e75c-49f0-afef-deaef9de76a2', 'processing', 'memory', 'tcp://10.21.255.50:40160', 47208003041024, [['compute', 1532856229.112514, 1532856405.5859191]]]
['blobDetector_multi-386fb65b-8797-4731-a872-0a68ceef9ea2', 'processing', 'memory', 'tcp://10.21.255.72:35731', 47439528621824, [['compute', 1532856229.0876498, 1532856405.791095]]]
['blobDetector_multi-90714874-ff52-4a9e-8a99-c42097a82623', 'processing', 'memory', 'tcp://10.21.255.72:34509', 47438320662272, [['compute', 1532856229.1018565, 1532856405.8210096]]]
['blobDetector_multi-4cc31954-cc66-495c-bfdf-be39c4ef6670', 'processing', 'memory', 'tcp://10.21.255.75:33661', 47853791639296, [['compute', 1532856229.089342, 1532856405.9487371]]]
['blobDetector_multi-494011ab-b9ad-421c-91b7-773f8103d62b', 'processing', 'memory', 'tcp://10.21.255.72:43695', 47439729960704, [['compute', 1532856229.088692, 1532856406.009784]]]
['blobDetector_multi-19f3b405-01e6-493d-94fd-83391e13d4a9', 'processing', 'memory', 'tcp://10.21.255.50:39259', 47206593754880, [['compute', 1532856229.0829668, 1532856406.0344899]]]
['blobDetector_multi-c5a75eae-3bc1-4750-8903-7b0b0e7d661c', 'processing', 'memory', 'tcp://10.21.255.50:45642', 47207197734656, [['compute', 1532856229.108755, 1532856406.179841]]]
['blobDetector_multi-ac5a429e-3002-4ff2-b3f8-4947b94dd21b', 'processing', 'memory', 'tcp://10.21.255.47:34155', 47491672209152, [['compute', 1532856229.105848, 1532856406.202264]]]
['blobDetector_multi-9c580b4d-9ac1-45e0-b1ed-b22f13ce9338', 'processing', 'memory', 'tcp://10.21.255.76:36604', 47547573892864, [['compute', 1532856229.1036875, 1532856406.2729974]]]
['blobDetector_multi-895e81f6-efc6-4bec-83da-ee526ae3aa0c', 'processing', 'memory', 'tcp://10.21.255.50:42687', 47205788448512, [['compute', 1532856229.1009734, 1532856406.2981484]]]
