TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1481764764        141880           1263637963        50762            386537            190949241345     4638516694        42831            141005330958      2890686021       
1481764765        141880           1263637963        50762            386537            190949241345     4638516694        42880            141005334946      2890688147       
1481764766        141880           1263637963        50762            386537            190949241345     4638516694        42929            141005338934      2890690270       
1481764767        141880           1263637963        50762            386537            190949241345     4638516694        42978            141005342922      2890692394       
1481764768        141882           1263637963        50762            386537            190949241345     4638516694        43027            141005346910      2890694517       
1481764769        141882           1263637963        50762            386537            190949241345     4638516694        43076            141005350898      2890696643       
1481764771        141894           1263645283        50762            386537            190949241345     4638516694        43141            141005366766      2890701734       
1481764772        141902           1263646491        50762            386537            190949241345     4638516694        43213            141005390598      2890708813       
1481764773        141902           1263646491        50762            386537            190949241345     4638516694        43277            141005414430      2890715898       
1481764774        141902           1263646491        50762            386537            190949241345     4638516694        43341            141005438270      2890722980       
1481764777        141902           1263646491        50762            386537            190949241345     4638516694        43504            141398993996      2890730062       
1481764778        141902           1263646491        50762            386537            190949241345     4638516694        43568            141482903908      2890737141       
1481764779        141906           1263646491        50762            386537            190949241345     4638516694        43632            141591979644      2890744219       
1481764781        141906           1263646491        50762            386537            190949241345     4638516694        43696            141726221204      2890751297       
1481764782        141906           1263646491        50762            386537            190949241345     4638516694        43760            141793353900      2890758378       
1481764783        141906           1263646491        50762            386537            190949241345     4638516694        43824            141843709368      2890765453       
1481764785        141906           1263646491        50762            386537            190949241345     4638516694        43888            141898259152      2890772534       
1481764786        141906           1263646491        50762            386537            190949241345     4638516694        43952            141931837416      2890779616       
1481764788        141915           1263646491        50762            386537            190949241345     4638516694        44016            141982192896      2890786697       
1481764789        141915           1263646491        50762            386537            190949241345     4638516694        44080            142003188248      2890793778       
1481764790        141915           1263646491        50762            386537            190949241345     4638516694        44144            142049349424      2890800860       
1481764791        141915           1263646491        50762            386537            190949241345     4638516694        44208            142078733384      2890807941       
1481764792        141915           1263646491        50762            386537            190949241345     4638516694        44272            142103923040      2890815021       
1481764794        141915           1263646491        50762            386537            190949241345     4638516694        44336            142133307000      2890822101       
1481764795        141922           1263646491        50762            386537            190949241345     4638516694        44402            142171079568      2890829183       
1481764796        141922           1263646491        50762            386537            190949241345     4638516694        44466            142200463528      2890836262       
1481764797        141922           1263646491        50762            386537            190949241345     4638516694        44530            142234041792      2890843343       
1481764798        141926           1263646491        50762            386537            190949241345     4638516694        44594            142276008664      2890850422       
1481764799        141926           1263646491        50762            386537            190949241345     4638516694        44658            142317975536      2890857504       
1481764800        141926           1263646491        50762            386538            190949241345     4638516694        44732            142372525320      2890864581       
1481764801        141926           1263646491        50762            386538            190949241345     4638516694        44796            142410297888      2890871658       
1481764803        141926           1263646491        50762            386538            190949241345     4638516694        44860            142469041964      2890878735       
1481764804        141926           1263646491        50762            386538            190949241345     4638516694        44924            142519397444      2890885814       
1481764805        141926           1263646491        50762            386538            190949241345     4638516694        44996            142590724432      2890892891       
1481764806        141926           1263646491        50762            386538            190949241345     4638516694        45060            142653662824      2890899972       
1481764807        141926           1263646491        50762            386538            190949241345     4638516694        45124            142720795520      2890907051       
1481764808        141930           1263646491        50762            386538            190949241345     4638516694        45188            142775345304      2890914130       
1481764809        141930           1263646491        50762            386538            190949241345     4638516694        45252            142838283696      2890921210       
1481764810        141930           1263646491        50762            386538            190949241345     4638516694        45322            142913804988      2890928285       
1481764812        141930           1263646491        50762            386538            190949241345     4638516694        45386            142964160468      2890935365       
1481764813        141930           1263646491        50762            386538            190949241345     4638516694        45450            143031293164      2890942445       
1481764814        141930           1263646491        50762            386538            190949241345     4638516694        45514            143102620164      2890949524       
1481764815        141930           1263646491        50762            386538            190949241345     4638516694        45584            143161364252      2890956605       
1481764818        141930           1263646491        50762            386538            190949241345     4638516694        45648            143257857076      2890963684       
1481764819        141934           1263646491        50762            386538            190949241345     4638516694        45712            143337572684      2890970765       
1481764820        141936           1263646491        50762            386538            190949241345     4638516694        45784            143408899684      2890977845       
1481764821        141936           1263646491        50762            386538            190949241345     4638516694        45848            143450866556      2890984926       
1481764824        141936           1263646491        50762            386538            190949241345     4638516694        45912            143497027732      2890992006       
1481764825        141936           1263646491        50762            386539            190949241345     4638516694        45984            143522217388      2890999082       
1481764826        141936           1263646491        50762            386539            190949241345     4638516694        46048            143576767172      2891006163       
1481764827        141936           1263646491        50762            386539            190949241345     4638516694        46112            143643899856      2891013240       
1481764828        141938           1263646491        50762            386539            190949241345     4638516694        46176            143648117992      2891020321       
1481764830        141940           1263646491        50762            386539            190949241345     4638516694        46250            143706862080      2891027399       
1481764831        141940           1263646491        50762            386539            190949241345     4638516694        46314            143723663128      2891034479       
1481764832        141940           1263646491        50762            386539            190949241345     4638516694        46378            143757241392      2891041554       
1481764833        141940           1263646491        50762            386539            190949241345     4638516694        46442            143815985480      2891048633       
1481764834        141940           1263646491        50762            386539            190949241345     4638516694        46506            143878923872      2891055712       
1481764835        141940           1263646491        50762            386539            190949241345     4638516694        46578            143937667960      2891062792       
1481764836        141940           1263646491        50762            386539            190949241345     4638516694        46642            143988023440      2891069871       
1481764837        141940           1263646491        50762            386539            190949241345     4638516694        46706            144046767528      2891076949       
1481764839        141944           1263646491        50762            386539            190949241345     4638516694        46770            144113900224      2891084026       
1481764840        141944           1263646491        50762            386539            190949241345     4638516694        46844            144164255692      2891091103       
1481764841        141944           1263646491        50762            386539            190949241345     4638516694        46908            144218805464      2891098180       
1481764842        141944           1263646491        50762            386539            190949241345     4638516694        46972            144294326768      2891105258       
1481764843        141944           1263646491        50762            386539            190949241345     4638516694        47036            144344682248      2891112336       
1481764844        141944           1263646491        50762            386539            190949241345     4638516694        47100            144416009252      2891119415       
1481764845        141944           1263646491        50762            386539            190949241345     4638516694        47172            144483141952      2891126497       
1481764846        141944           1263646491        50762            386539            190949241345     4638516694        47236            144537691740      2891133578       
1481764848        141944           1263646491        50762            386539            190949241345     4638516694        47300            144600630136      2891140658       
1481764849        141948           1263646491        50762            386539            190949241345     4638516694        47364            144671957140      2891147738       
1481764850        141948           1263646491        50762            386540            190949241345     4638516694        47434            144747478448      2891154816       
1481764852        141948           1263646491        50762            386540            190949241345     4638516694        47498            144810416844      2891161897       
1481764853        141948           1263646491        50762            386540            190949241345     4638516694        47562            144869160936      2891168979       
1481764854        141948           1263646491        50762            386540            190949241345     4638516694        47626            144915322116      2891176061       
1481764855        141948           1263646491        50762            386540            190949241345     4638516694        47696            144961483296      2891183141       
1481764856        141948           1263646491        50762            386540            190949241345     4638516694        47760            144982478652      2891190223       
1481764857        141948           1263646491        50762            386540            190949241345     4638516694        47824            145007668312      2891197303       
1481764858        141952           1263646491        50762            386540            190949241345     4638516694        47888            145037052276      2891204385       
1481764860        141952           1263646491        50762            386540            190949241345     4638516694        47960            145112573584      2891211467       
1481764861        141952           1263646491        50762            386540            190949241345     4638516694        48024            145158734764      2891218547       
1481764862        141952           1263646491        50762            386540            190949241345     4638516694        48088            145238450376      2891225626       
1481764863        141952           1263646491        50762            386540            190949241345     4638516694        48152            145259445732      2891232708       
1481764864        141952           1263646491        50762            386540            190949241345     4638516694        48216            145288829696      2891239790       
1481764865        141952           1263646491        50762            386540            190949241345     4638516694        48290            145314019356      2891246871       
1481764867        141952           1263646491        50762            386540            190949241345     4638516694        48354            145376957752      2891253951       
