Spark download,  Spark startup, kafka download, kafka startup, nodes, system
11.1708819866        ,     18.0456209183        ,    2.79546308517          ,    4.87380695343     , 2   ,stampede
14.9811029434        ,     18.2891840935        ,    2.62105488777          ,    16.7565629482     , 8   ,stampede
10.7168989182        ,     18.2863438129        ,    2.68833899498          ,    9.39523792267     , 4   ,stampede
15.2298321724        ,     19.285782814        ,    2.47976398468          ,    26.2731399536     , 16   ,stampede
28.1810061932        ,     24.2887239456        ,    2.65273094177          ,    25.7520840168     , 16   ,stampede
15.8200449944        ,     18.6124720573        ,    3.65439200401          ,    4.34340500832     , 2   ,stampede
13.556084156        ,     18.6428279877        ,    2.85387396812          ,    3.55054092407     , 2   ,stampede
13.4948329926        ,     18.1645381451        ,    2.72960686684          ,    10.4427688122     , 4   ,stampede
9.86952805519        ,     18.4967010021        ,    2.60630202293          ,    11.2744400501     , 4   ,stampede
8.70760607719        ,     18.0626199245        ,    2.62021803856          ,    18.8914589882     , 8   ,stampede
8.42320394516        ,     18.1249210835        ,    2.63113880157          ,    18.282902956     , 8   ,stampede
