BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1516390740000 ms, 2018-01-19T13:39:00, 1, 55055, 55054, 20667,11-1B-2C,kmeans,10
1516390800000 ms, 2018-01-19T13:40:00, 1, 56748, 56747, 21598,11-1B-2C,kmeans,10
1516390860000 ms, 2018-01-19T13:41:00, 1, 56204, 56203, 21823,11-1B-2C,kmeans,10
1516392180000 ms, 2018-01-19T14:03:00, 2, 58922, 58920, 38360,21-1B-4C,kmeans,10
1516392240000 ms, 2018-01-19T14:04:00, 0, 53388, 53388, 36330,21-1B-4C,kmeans,10
1516392300000 ms, 2018-01-19T14:05:00, 0, 50938, 50938, 36046,21-1B-4C,kmeans,10
1516392360000 ms, 2018-01-19T14:06:00, 0, 52039, 52039, 36565,21-1B-4C,kmeans,10
1516393320000 ms, 2018-01-19T14:22:00, 0, 56271, 56271, 65339,41-1B-8C,kmeans,10
1516393380000 ms, 2018-01-19T14:23:00, 0, 56981, 56981, 65598,41-1B-8C,kmeans,10
1516396320000 ms, 2018-01-19T15:12:00, 1, 59731, 59730, 11664,6-1B-1C,kmeans,10
1516396380000 ms, 2018-01-19T15:13:00, 0, 54069, 54069, 10535,6-1B-1C,kmeans,10
