BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512792780000 ms, 2017-12-08T22:13:11, 5, 30432, 30427, 16764,1_Producer_Count
1512792840000 ms, 2017-12-08T22:14:16, 0, 56193, 56193, 32229,1_Producer_Count
1512792900000 ms, 2017-12-08T22:15:20, 1, 57013, 57012, 30553,1_Producer_Count
1512792960000 ms, 2017-12-08T22:16:23, 2, 56027, 56025, 29078,1_Producer_Count
1512793020000 ms, 2017-12-08T22:17:20, 1, 55276, 55275, 29143,1_Producer_Count
1512793080000 ms, 2017-12-08T22:18:20, 0, 53287, 53287, 29653,1_Producer_Count
1512793140000 ms, 2017-12-08T22:19:21, 0, 58448, 58448, 30940,1_Producer_Count
1512793200000 ms, 2017-12-08T22:20:25, 1, 57767, 57766, 30708,1_Producer_Count
1512793260000 ms, 2017-12-08T22:21:27, 0, 55331, 55331, 29911,1_Producer_Count
1512793320000 ms, 2017-12-08T22:22:25, 0, 54991, 54991, 29966,1_Producer_Count
1512793380000 ms, 2017-12-08T22:23:24, 1, 52374, 52373, 29599,1_Producer_Count
1512793440000 ms, 2017-12-08T22:24:16, 344, 27341, 26997, 15090,1_Producer_Count
1512793500000 ms, 2017-12-08T22:25:02, 0, 7746, 7746, 3080,1_Producer_Count
1512793560000 ms, 2017-12-08T22:26:00, 1, 1642, 1641, 5,1_Producer_Count
1512793620000 ms, 2017-12-08T22:27:00, 0, 1679, 1679, 0,1_Producer_Count
1512793680000 ms, 2017-12-08T22:28:00, 1, 1619, 1618, 0,1_Producer_Count
1512793740000 ms, 2017-12-08T22:29:00, 0, 1611, 1611, 0,1_Producer_Count
1512793800000 ms, 2017-12-08T22:30:00, 0, 1635, 1635, 0,1_Producer_Count
1512793860000 ms, 2017-12-08T22:31:00, 1, 1620, 1619, 0,1_Producer_Count
1512793920000 ms, 2017-12-08T22:32:00, 0, 1633, 1633, 0,1_Producer_Count
1512793980000 ms, 2017-12-08T22:33:00, 0, 1621, 1621, 0,1_Producer_Count
1512794040000 ms, 2017-12-08T22:34:00, 1, 1640, 1639, 0,1_Producer_Count
1512794100000 ms, 2017-12-08T22:35:00, 1, 1620, 1619, 0,1_Producer_Count
1512794160000 ms, 2017-12-08T22:36:00, 0, 1612, 1612, 0,1_Producer_Count
1512794220000 ms, 2017-12-08T22:37:00, 1, 1614, 1613, 0,1_Producer_Count
1512794280000 ms, 2017-12-08T22:38:00, 0, 1613, 1613, 0,1_Producer_Count
1512794340000 ms, 2017-12-08T22:39:00, 1, 1607, 1606, 0,1_Producer_Count
1512794400000 ms, 2017-12-08T22:40:00, 0, 1620, 1620, 0,1_Producer_Count
1512794460000 ms, 2017-12-08T22:41:00, 1, 1596, 1595, 0,1_Producer_Count
1512794520000 ms, 2017-12-08T22:42:00, 1, 1588, 1587, 0,1_Producer_Count
1512794580000 ms, 2017-12-08T22:43:00, 1, 1732, 1731, 0,1_Producer_Count
1512794640000 ms, 2017-12-08T22:44:00, 1, 1771, 1770, 0,1_Producer_Count
1512794700000 ms, 2017-12-08T22:45:00, 1, 1681, 1680, 0,1_Producer_Count
1512794760000 ms, 2017-12-08T22:46:00, 1, 1591, 1590, 0,1_Producer_Count
1512794820000 ms, 2017-12-08T22:47:00, 2, 2629, 2627, 0,1_Producer_Count
1512794880000 ms, 2017-12-08T22:48:00, 1, 1630, 1629, 0,1_Producer_Count
1512794940000 ms, 2017-12-08T22:49:00, 1, 1609, 1608, 0,1_Producer_Count
1512795000000 ms, 2017-12-08T22:50:00, 0, 1587, 1587, 0,1_Producer_Count
1512795060000 ms, 2017-12-08T22:51:00, 1, 1632, 1631, 0,1_Producer_Count
1512795120000 ms, 2017-12-08T22:52:00, 1, 1638, 1637, 0,1_Producer_Count
1512795180000 ms, 2017-12-08T22:53:00, 0, 1594, 1594, 0,1_Producer_Count
1512795240000 ms, 2017-12-08T22:54:00, 0, 1602, 1602, 0,1_Producer_Count
1512795300000 ms, 2017-12-08T22:55:00, 1, 1590, 1589, 0,1_Producer_Count
1512795360000 ms, 2017-12-08T22:56:00, 1, 1591, 1590, 0,1_Producer_Count
1512795420000 ms, 2017-12-08T22:57:00, 1, 1616, 1615, 0,1_Producer_Count
1512795480000 ms, 2017-12-08T22:58:00, 0, 1628, 1628, 0,1_Producer_Count
1512795540000 ms, 2017-12-08T22:59:00, 1, 1605, 1604, 0,1_Producer_Count
1512795600000 ms, 2017-12-08T23:00:00, 1, 1634, 1633, 0,1_Producer_Count
1512795660000 ms, 2017-12-08T23:01:00, 0, 1613, 1613, 0,1_Producer_Count
1512795720000 ms, 2017-12-08T23:02:00, 0, 1644, 1644, 0,1_Producer_Count
1512795780000 ms, 2017-12-08T23:03:00, 1, 1601, 1600, 0,1_Producer_Count
1512795840000 ms, 2017-12-08T23:04:00, 0, 1622, 1622, 0,1_Producer_Count
1512795900000 ms, 2017-12-08T23:05:00, 1, 1621, 1620, 0,1_Producer_Count
1512795960000 ms, 2017-12-08T23:06:00, 1, 1645, 1644, 0,1_Producer_Count
1512796020000 ms, 2017-12-08T23:07:00, 1, 1612, 1611, 0,1_Producer_Count
1512796080000 ms, 2017-12-08T23:08:00, 1, 1609, 1608, 0,1_Producer_Count
1512796140000 ms, 2017-12-08T23:09:00, 0, 1606, 1606, 0,1_Producer_Count
1512796200000 ms, 2017-12-08T23:10:00, 0, 1587, 1587, 0,1_Producer_Count
1512796260000 ms, 2017-12-08T23:11:00, 1, 1622, 1621, 0,1_Producer_Count
1512796320000 ms, 2017-12-08T23:12:00, 1, 1603, 1602, 0,1_Producer_Count
1512796380000 ms, 2017-12-08T23:13:00, 1, 1646, 1645, 0,1_Producer_Count
1512796440000 ms, 2017-12-08T23:14:00, 1, 1597, 1596, 0,1_Producer_Count
1512796500000 ms, 2017-12-08T23:15:00, 2, 1580, 1578, 0,1_Producer_Count
1512796560000 ms, 2017-12-08T23:16:00, 1, 1586, 1585, 0,1_Producer_Count
1512796620000 ms, 2017-12-08T23:17:00, 1, 1607, 1606, 0,1_Producer_Count
1512796680000 ms, 2017-12-08T23:18:00, 1, 1605, 1604, 0,1_Producer_Count
1512796740000 ms, 2017-12-08T23:19:00, 1, 1616, 1615, 0,1_Producer_Count
1512796800000 ms, 2017-12-08T23:20:00, 0, 1575, 1575, 0,1_Producer_Count
1512796860000 ms, 2017-12-08T23:21:00, 1, 1605, 1604, 0,1_Producer_Count
1512796920000 ms, 2017-12-08T23:22:00, 0, 1589, 1589, 0,1_Producer_Count
1512796980000 ms, 2017-12-08T23:23:00, 1, 1587, 1586, 0,1_Producer_Count
1512797040000 ms, 2017-12-08T23:24:00, 1, 1594, 1593, 0,1_Producer_Count
1512797100000 ms, 2017-12-08T23:25:00, 0, 1586, 1586, 0,1_Producer_Count
1512797160000 ms, 2017-12-08T23:26:00, 0, 1589, 1589, 0,1_Producer_Count
1512797220000 ms, 2017-12-08T23:27:00, 0, 1597, 1597, 0,1_Producer_Count
1512797280000 ms, 2017-12-08T23:28:00, 1, 1604, 1603, 0,1_Producer_Count
1512797340000 ms, 2017-12-08T23:29:00, 0, 1608, 1608, 0,1_Producer_Count
1512797400000 ms, 2017-12-08T23:30:00, 1, 1590, 1589, 0,1_Producer_Count
1512797460000 ms, 2017-12-08T23:31:00, 0, 1637, 1637, 0,1_Producer_Count
1512797520000 ms, 2017-12-08T23:32:00, 1, 1579, 1578, 0,1_Producer_Count
1512797580000 ms, 2017-12-08T23:33:00, 1, 1615, 1614, 0,1_Producer_Count
1512797640000 ms, 2017-12-08T23:34:00, 1, 1585, 1584, 0,1_Producer_Count
1512797700000 ms, 2017-12-08T23:35:00, 1, 1588, 1587, 0,1_Producer_Count
1512797760000 ms, 2017-12-08T23:36:00, 1, 1599, 1598, 0,1_Producer_Count
1512797820000 ms, 2017-12-08T23:37:00, 1, 1593, 1592, 0,1_Producer_Count
1512797880000 ms, 2017-12-08T23:38:00, 1, 1618, 1617, 0,1_Producer_Count
1512797940000 ms, 2017-12-08T23:39:00, 1, 1607, 1606, 0,1_Producer_Count
1512798000000 ms, 2017-12-08T23:40:00, 1, 1591, 1590, 0,1_Producer_Count
1512798060000 ms, 2017-12-08T23:41:00, 0, 1582, 1582, 0,1_Producer_Count
1512798120000 ms, 2017-12-08T23:42:00, 1, 1609, 1608, 0,1_Producer_Count
1512798180000 ms, 2017-12-08T23:43:00, 1, 1627, 1626, 0,1_Producer_Count
1512798240000 ms, 2017-12-08T23:44:00, 1, 1613, 1612, 0,1_Producer_Count
1512798300000 ms, 2017-12-08T23:45:00, 1, 1619, 1618, 0,1_Producer_Count
1512798360000 ms, 2017-12-08T23:46:00, 1, 1650, 1649, 0,1_Producer_Count
1512798420000 ms, 2017-12-08T23:47:00, 0, 1606, 1606, 0,1_Producer_Count
1512798480000 ms, 2017-12-08T23:48:00, 0, 1580, 1580, 0,1_Producer_Count
1512798540000 ms, 2017-12-08T23:49:00, 1, 1597, 1596, 0,1_Producer_Count
1512798600000 ms, 2017-12-08T23:50:00, 0, 1636, 1636, 0,1_Producer_Count
1512798660000 ms, 2017-12-08T23:51:00, 1, 1598, 1597, 0,1_Producer_Count
1512798720000 ms, 2017-12-08T23:52:00, 1, 1586, 1585, 0,1_Producer_Count
