Image_Dimensions,Image_size(MB),TTC
400,1,0.495278,wrangler
600,2,1.110052,wrangler
800,4,2.088020,wrangler
1050,8,3.538218,wrangler
1450,16,7.028678,wrangler
2050,32,16.674942,wrangler
2900,64,32.961120,wrangler
4100,128,65.292793,wrangler
5800,256,131.561467,wrangler
