BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1510176600000 ms, 2017-11-08T15:30:02, 4, 3042, 0,1_Producer_Count
1510176660000 ms, 2017-11-08T15:31:16, 1, 53647, 28265,1_Producer_Count
1510176720000 ms, 2017-11-08T15:32:12, 0, 34646, 20251,1_Producer_Count
1510176780000 ms, 2017-11-08T15:33:14, 0, 44754, 29422,1_Producer_Count
1510176840000 ms, 2017-11-08T15:34:13, 1, 45139, 28807,1_Producer_Count
1510176900000 ms, 2017-11-08T15:35:13, 0, 44134, 27925,1_Producer_Count
1510176960000 ms, 2017-11-08T15:36:13, 0, 44064, 28515,1_Producer_Count
1510177020000 ms, 2017-11-08T15:37:13, 0, 43146, 28831,1_Producer_Count
1510177080000 ms, 2017-11-08T15:38:14, 0, 45186, 28903,1_Producer_Count
1510177140000 ms, 2017-11-08T15:39:13, 0, 42839, 28440,1_Producer_Count
1510177200000 ms, 2017-11-08T15:40:14, 0, 43334, 28438,1_Producer_Count
1510177260000 ms, 2017-11-08T15:41:14, 1, 44776, 28612,1_Producer_Count
1510177320000 ms, 2017-11-08T15:42:06, 0, 21811, 13302,1_Producer_Count
1510177380000 ms, 2017-11-08T15:43:05, 0, 17963, 10961,1_Producer_Count
1510177440000 ms, 2017-11-08T15:44:05, 0, 16506, 9999,1_Producer_Count
1510177500000 ms, 2017-11-08T15:45:05, 0, 16597, 9803,1_Producer_Count
1510177560000 ms, 2017-11-08T15:46:03, 0, 9130, 4766,1_Producer_Count
1510177620000 ms, 2017-11-08T15:47:00, 0, 1559, 312,1_Producer_Count
1510177680000 ms, 2017-11-08T15:48:00, 1, 1593, 0,1_Producer_Count
1510177740000 ms, 2017-11-08T15:49:00, 0, 1626, 0,1_Producer_Count
1510177800000 ms, 2017-11-08T15:50:00, 2, 1673, 0,1_Producer_Count
1510177860000 ms, 2017-11-08T15:51:00, 1, 1586, 0,1_Producer_Count
1510177920000 ms, 2017-11-08T15:52:00, 0, 1599, 0,1_Producer_Count
1510177980000 ms, 2017-11-08T15:53:00, 0, 1627, 0,1_Producer_Count
1510178040000 ms, 2017-11-08T15:54:00, 1, 1586, 0,1_Producer_Count
1510178100000 ms, 2017-11-08T15:55:00, 1, 1643, 0,1_Producer_Count
1510178160000 ms, 2017-11-08T15:56:00, 0, 1597, 0,1_Producer_Count
1510178220000 ms, 2017-11-08T15:57:00, 1, 1613, 0,1_Producer_Count
1510178280000 ms, 2017-11-08T15:58:00, 1, 1614, 0,1_Producer_Count
1510178340000 ms, 2017-11-08T15:59:00, 0, 1604, 0,1_Producer_Count
1510178400000 ms, 2017-11-08T16:00:00, 1, 1589, 0,1_Producer_Count
1510178460000 ms, 2017-11-08T16:01:00, 1, 1590, 0,1_Producer_Count
1510178520000 ms, 2017-11-08T16:02:00, 1, 1597, 0,1_Producer_Count
1510178580000 ms, 2017-11-08T16:03:00, 1, 1593, 0,1_Producer_Count
1510178640000 ms, 2017-11-08T16:04:00, 1, 1589, 0,1_Producer_Count
1510178700000 ms, 2017-11-08T16:05:00, 1, 1571, 0,1_Producer_Count
1510178760000 ms, 2017-11-08T16:06:00, 1, 1575, 0,1_Producer_Count
1510178820000 ms, 2017-11-08T16:07:00, 0, 1567, 0,1_Producer_Count
1510178880000 ms, 2017-11-08T16:08:00, 1, 1604, 0,1_Producer_Count
