TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1481737767        228532           8406535377        4328828          2759012           409240184457     36176012741       791279           5842746520164     118442920028     
1481737768        228532           8406535377        4328828          2759060           409240188445     36176014862       791280           5842746520164     118442920028     
1481737769        228532           8406535377        4328828          2759109           409240192433     36176016984       791280           5842746520164     118442920028     
1481737771        228534           8406535377        4328828          2759158           409240196421     36176019104       791280           5842746520164     118442920028     
1481737772        228534           8406535377        4328828          2759207           409240200409     36176021225       791280           5842746520164     118442920028     
1481737773        228534           8406535377        4328828          2759256           409240204397     36176023346       791280           5842746520164     118442920028     
1481737774        228534           8406535377        4328828          2759305           409240208389     36176025469       791280           5842746520164     118442920028     
1481737775        228534           8406535377        4328828          2759354           409240212381     36176027589       791280           5842746520164     118442920028     
1481737776        228534           8406535377        4328828          2759403           409240216373     36176029711       791280           5842746520164     118442920028     
1481737777        228534           8406535377        4328828          2759452           409240220365     36176031833       791282           5842746520164     118442920028     
1481737778        228534           8406535377        4328828          2759501           409240224357     36176033956       791282           5842746520164     118442920028     
1481737779        228534           8406535377        4328828          2759550           409240228349     36176036079       791282           5842746520164     118442920028     
1481737781        228543           8406538715        4328828          2759599           409240232341     36176038199       791282           5842746520164     118442920028     
1481737782        228555           8406543905        4328828          2759678           409240256189     36176045280       791282           5842746520164     118442920028     
1481737783        228555           8406543905        4328828          2759742           409240280021     36176052362       791282           5842746520164     118442920028     
1481737784        228555           8406543905        4328828          2759873           409361939829     36176059439       791298           5842989055684     118442920028     
1481737785        228555           8406543905        4328828          2759937           410154687093     36176066505       791298           5842989055684     118442920028     
1481737786        228555           8406543905        4328828          2760001           410968405877     36176073574       791298           5842989055684     118442920028     
1481737787        228555           8406543905        4328828          2760065           411786318965     36176080640       791298           5842989055684     118442920028     
1481737788        228555           8406543905        4328828          2760129           412604232057     36176087707       791298           5842989055684     118442920028     
1481737790        228555           8406543905        4328828          2760193           413422145149     36176094772       791300           5842989055684     118442920028     
1481737791        228559           8406543905        4328828          2760257           414248446849     36176101839       791300           5842989055684     118442920028     
1481737792        228559           8406543905        4328828          2760321           415070554245     36176108906       791302           5842989055684     118442920028     
1481737793        228559           8406543905        4328828          2760385           415888467337     36176115972       791302           5842989055684     118442920028     
1481737794        228560           8406543905        4328828          2760452           416349864601     36176123043       791302           5842989055684     118442920028     
1481737795        228560           8406543905        4328828          2760501           416349868597     36176125166       791302           5842989055684     118442920028     
1481737796        228560           8406543905        4328828          2760550           416349872593     36176127289       791302           5842989055684     118442920028     
