Produce_batch_Start,Produce_batch_end,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,494.0,6336.50418359
8000,16000,2,8000,983.0,5887.88155121
16000,24000,3,8000,1484.0,4838.93566145
24000,32000,4,8000,1981.0,4953.37864726
32000,40000,5,8000,2484.0,5070.02905474
40000,48000,6,8000,2975.0,5066.16657538
48000,56000,7,8000,3468.0,4769.84305588
56000,64000,8,8000,3964.0,5217.26584387
64000,72000,9,8000,4456.0,5650.3834752
72000,80000,10,8000,4949.0,5967.85568777
80000,88000,11,8000,5447.0,6269.06885244
88000,96000,12,8000,5943.0,6535.33689219
0,8000,13,8000,6435.0,5704.90288579
8000,16000,14,8000,6935.0,5469.5364879
16000,24000,15,8000,7428.0,5473.460003
24000,32000,16,8000,7926.0,5606.80977422
32000,40000,17,8000,8427.0,5611.14332487
40000,48000,18,8000,8919.0,5687.6229046
48000,56000,19,8000,9418.0,5674.75862596
56000,64000,20,8000,9919.0,5667.41704616
64000,72000,21,8000,10423.0,5664.05474736
72000,80000,22,8000,10926.0,5660.28314208
80000,88000,23,8000,11428.0,5745.79685852
88000,96000,24,8000,11936.0,5740.85438797
96000,104000,25,8000,12425.0,5814.24997127
104000,112000,26,8000,12913.0,5883.55368373
112000,120000,27,8000,13408.0,5951.14466576
120000,128000,28,8000,13908.0,5932.18938015
128000,136000,29,8000,14408.0,5994.95555899
136000,144000,30,8000,14908.0,6038.88649899
144000,152000,31,8000,15409.0,6021.91633034
152000,160000,32,8000,15905.0,6079.34680636
160000,168000,33,8000,16384.0,6130.6902116
168000,176000,34,8000,16889.0,6112.70225765
176000,184000,35,8000,17383.0,6162.37718763
184000,192000,36,8000,17882.0,6142.48007635
192000,200000,37,8000,18387.0,6192.59971854
200000,208000,38,8000,18886.0,6237.03550397
208000,216000,39,8000,19387.0,6282.74726388
216000,224000,40,8000,19885.0,6379.61971367
224000,232000,41,8000,20384.0,6453.2858184
232000,240000,42,8000,20883.0,6417.37332777
240000,248000,43,8000,21380.0,6462.31097855
248000,256000,44,8000,21884.0,6445.24748634
256000,264000,45,8000,22383.0,6487.34450178
264000,272000,46,8000,22882.0,6468.58707076
272000,280000,47,8000,23377.0,6505.53231662
280000,288000,48,8000,23857.0,6540.68354138
288000,296000,49,8000,24365.0,6523.79535547
296000,304000,50,8000,24860.0,6559.61069516
304000,312000,51,8000,25356.0,6540.13351147
312000,320000,52,8000,25861.0,6523.26144887
320000,328000,53,8000,26376.0,6509.8135229
328000,336000,54,8000,26883.0,6484.35003669
336000,344000,55,8000,27388.0,6471.03453273
344000,352000,56,8000,27886.0,6504.86845003
352000,360000,57,8000,28376.0,6487.60664699
360000,368000,58,8000,28866.0,6470.97408313
368000,376000,59,8000,29349.0,6500.03276961
376000,384000,60,8000,29827.0,6527.5983879
