Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,8000,0,48,0.31752
100,1000,3,8000,0,48,1.02699
100,10000,3,8000,0,48,11.84082
100,100000,3,8000,0,48,119.12326
100,1000000,3,8000,0,48,1264.32964
