Produce_batch_Start,Produce_batch_end,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,497.0,1389.4561391
8000,16000,2,8000,996.0,2339.10492729
16000,24000,3,8000,1491.0,2998.98730958
24000,32000,4,8000,1989.0,3458.42748511
32000,40000,5,8000,2486.0,3798.62232395
40000,48000,6,8000,2982.0,4064.89661231
48000,56000,7,8000,3474.0,4080.24277466
56000,64000,8,8000,3962.0,4253.23198162
64000,72000,9,8000,4455.0,4338.7145342
72000,80000,10,8000,4956.0,4484.78040338
80000,88000,11,8000,5453.0,4597.1336303
88000,96000,12,8000,5948.0,4699.12761379
0,8000,13,8000,6445.0,3730.87028602
8000,16000,14,8000,6950.0,3749.31529983
16000,24000,15,8000,7455.0,3825.66675427
24000,32000,16,8000,7960.0,3947.63344608
32000,40000,17,8000,8463.0,4055.50351756
40000,48000,18,8000,8959.0,4135.64605335
48000,56000,19,8000,9444.0,4135.74061662
56000,64000,20,8000,9948.0,4222.04907582
64000,72000,21,8000,10446.0,4302.44504599
72000,80000,22,8000,10935.0,4363.20907013
80000,88000,23,8000,11431.0,4420.91301657
88000,96000,24,8000,11925.0,4449.46090054
96000,104000,25,8000,12421.0,4474.83635848
104000,112000,26,8000,12920.0,4500.88610726
112000,120000,27,8000,13421.0,4478.78297253
120000,128000,28,8000,13917.0,4504.54711683
128000,136000,29,8000,14423.0,4483.17455327
136000,144000,30,8000,14924.0,4507.02685483
144000,152000,31,8000,15414.0,4486.40524776
152000,160000,32,8000,15897.0,4504.58632108
160000,168000,33,8000,16392.0,4523.34982927
168000,176000,34,8000,16871.0,4539.32382148
176000,184000,35,8000,17367.0,4557.10771187
184000,192000,36,8000,17871.0,4575.30412392
192000,200000,37,8000,18372.0,4591.62830394
200000,208000,38,8000,18858.0,4604.54937636
208000,216000,39,8000,19336.0,4616.89533533
216000,224000,40,8000,19827.0,4594.64275212
224000,232000,41,8000,20324.0,4574.29110971
232000,240000,42,8000,20824.0,4588.64304582
240000,248000,43,8000,21325.0,4630.43998521
248000,256000,44,8000,21811.0,4637.41682086
256000,264000,45,8000,22293.0,4663.32863753
264000,272000,46,8000,22787.0,4690.17028231
272000,280000,47,8000,23288.0,4716.87241664
280000,288000,48,8000,23766.0,4739.46986731
288000,296000,49,8000,24259.0,4762.52937151
296000,304000,50,8000,24754.0,4785.12373389
304000,312000,51,8000,25249.0,4806.85765963
312000,320000,52,8000,25743.0,4813.20347651
320000,328000,53,8000,26242.0,4844.02122152
328000,336000,54,8000,26739.0,4862.6620713
336000,344000,55,8000,27236.0,4883.47165514
344000,352000,56,8000,27731.0,4878.8101614
352000,360000,57,8000,28226.0,4884.36294084
360000,368000,58,8000,28732.0,4891.87474913
368000,376000,59,8000,29240.0,4898.345121
376000,384000,60,8000,29749.0,4878.74241031
384000,392000,61,8000,30248.0,4883.93319226
392000,400000,62,8000,30738.0,4863.38454855
400000,408000,63,8000,31237.0,4889.45316364
408000,416000,64,8000,31744.0,4913.5029853
416000,424000,65,8000,32234.0,4917.53889738
424000,432000,66,8000,32716.0,4921.06017327
432000,440000,67,8000,33201.0,4925.00428306
440000,448000,68,8000,33709.0,4907.79750128
448000,456000,69,8000,34211.0,4931.00909708
