,Atoms,Cores,Partition,Scenario,Time(s),Try,Type
0,131072,64,N/A,RDD,5.8228919506,1,RP-Overhead
1,131072,64,N/A,RDD,5.5134930611,2,RP-Overhead
2,131072,64,N/A,RDD,5.8976659775,3,RP-Overhead
3,131072,256,N/A,RDD,5.8562829495,1,RP-Overhead
4,131072,256,N/A,RDD,7.6884350777,2,RP-Overhead
5,131072,256,N/A,RDD,5.6629829407,3,RP-Overhead
6,131072,1024,N/A,RDD,5.4811530113,1,RP-Overhead
7,131072,1024,N/A,RDD,5.7887790203,2,RP-Overhead
8,131072,1024,N/A,RDD,5.4919719696,3,RP-Overhead
9,131072,64,N/A,RDD,1.9118330479,1,Spark-Overhead
10,131072,64,N/A,RDD,2.4296400547,2,Spark-Overhead
11,131072,64,N/A,RDD,2.391985178,3,Spark-Overhead
12,131072,256,N/A,RDD,1.885602951,1,Spark-Overhead
13,131072,256,N/A,RDD,2.6437880993,2,Spark-Overhead
14,131072,256,N/A,RDD,2.8543918133,3,Spark-Overhead
15,131072,1024,N/A,RDD,5.1305940151,1,Spark-Overhead
16,131072,1024,N/A,RDD,5.3902971745,2,Spark-Overhead
17,131072,1024,N/A,RDD,4.6712939739,3,Spark-Overhead
18,131072,64,N/A,RDD,170.428757906,1,AdjMatrix
19,131072,64,N/A,RDD,164.631125927,2,AdjMatrix
20,131072,64,N/A,RDD,173.656737804,3,AdjMatrix
21,131072,256,N/A,RDD,71.9710102081,1,AdjMatrix
22,131072,256,N/A,RDD,68.4739079475,2,AdjMatrix
23,131072,256,N/A,RDD,71.9263851643,3,AdjMatrix
24,131072,1024,N/A,RDD,49.7426979542,1,AdjMatrix
25,131072,1024,N/A,RDD,47.3460350037,2,AdjMatrix
26,131072,1024,N/A,RDD,49.6195759773,3,AdjMatrix
27,131072,64,N/A,RDD,45.8050611019,1,ConnComp
28,131072,64,N/A,RDD,45.0107851028,2,ConnComp
29,131072,64,N/A,RDD,45.9225702286,3,ConnComp
30,131072,256,N/A,RDD,45.4526808262,1,ConnComp
31,131072,256,N/A,RDD,46.7362360954,2,ConnComp
32,131072,256,N/A,RDD,46.9367659092,3,ConnComp
33,131072,1024,N/A,RDD,46.332103014,1,ConnComp
34,131072,1024,N/A,RDD,46.8274428844,2,ConnComp
35,131072,1024,N/A,RDD,45.3495740891,3,ConnComp
36,131072,64,N/A,RDD,0.0097928047,1,Write
37,131072,64,N/A,RDD,0.0094850063,2,Write
38,131072,64,N/A,RDD,0.0104219913,3,Write
