Framework,Cores,Try,Type,Time,ConnCompType
RP,64,1,Overhead,5.3944959641,Serial
RP,64,1,AdjMatrix_time,225.805678,Serial
RP,64,1,ConnComp_time,48.11944,Serial
RP,64,2,Overhead,5.3974499703,Serial
RP,64,2,AdjMatrix_time,233.837047,Serial
RP,64,2,ConnComp_time,48.067829,Serial
RP,64,3,Overhead,7.7519381046,Serial
RP,64,3,AdjMatrix_time,167.612077,Serial
RP,64,3,ConnComp_time,45.645021,Serial
RP,256,1,Overhead,5.5329790115,Serial
RP,256,1,AdjMatrix_time,99.788715,Serial
RP,256,1,ConnComp_time,48.155485,Serial
RP,256,2,Overhead,5.3984220028,Serial
RP,256,2,AdjMatrix_time,100.137922,Serial
RP,256,2,ConnComp_time,47.989407,Serial
RP,256,3,Overhead,5.3948988915,Serial
RP,256,3,AdjMatrix_time,101.286997,Serial
RP,256,3,ConnComp_time,48.043367,Serial
RP,1024,1,Overhead,5.4055070877,Serial
RP,1024,1,AdjMatrix_time,63.950578,Serial
RP,1024,1,ConnComp_time,47.001645,Serial
RP,1024,2,Overhead,5.4054191113,Serial
RP,1024,2,AdjMatrix_time,61.308205,Serial
RP,1024,2,ConnComp_time,47.408331,Serial
RP,1024,3,Overhead,5.572603941,Serial
RP,1024,3,AdjMatrix_time,61.105932,Serial
RP,1024,3,ConnComp_time,46.823276,Serial
Pilot-Spark,64,1,Overhead,5.3944959641,Serial
Pilot-Spark,64,1,AdjMatrix_time,225.805678,Serial
Pilot-Spark,64,1,ConnComp_time,48.11944,Serial
Pilot-Spark,64,2,Overhead,5.3974499703,Serial
Pilot-Spark,64,2,AdjMatrix_time,233.837047,Serial
Pilot-Spark,64,2,ConnComp_time,48.067829,Serial
Pilot-Spark,64,3,Overhead,7.7519381046,Serial
Pilot-Spark,64,3,AdjMatrix_time,167.612077,Serial
Pilot-Spark,64,3,ConnComp_time,45.645021,Serial
Pilot-Spark,256,1,Overhead,5.5329790115,Serial
Pilot-Spark,256,1,AdjMatrix_time,99.788715,Serial
Pilot-Spark,256,1,ConnComp_time,48.155485,Serial
Pilot-Spark,256,2,Overhead,5.3984220028,Serial
Pilot-Spark,256,2,AdjMatrix_time,100.137922,Serial
Pilot-Spark,256,2,ConnComp_time,47.989407,Serial
Pilot-Spark,256,3,Overhead,5.3948988915,Serial
Pilot-Spark,256,3,AdjMatrix_time,101.286997,Serial
Pilot-Spark,256,3,ConnComp_time,48.043367,Serial
Pilot-Spark,1024,1,Overhead,5.4055070877,Serial
Pilot-Spark,1024,1,AdjMatrix_time,63.950578,Serial
Pilot-Spark,1024,1,ConnComp_time,47.001645,Serial
Pilot-Spark,1024,2,Overhead,5.4054191113,Serial
Pilot-Spark,1024,2,AdjMatrix_time,61.308205,Serial
Pilot-Spark,1024,2,ConnComp_time,47.408331,Serial
Pilot-Spark,1024,3,Overhead,5.572603941,Serial
Pilot-Spark,1024,3,AdjMatrix_time,61.105932,Serial
Pilot-Spark,1024,3,ConnComp_time,46.823276,Serial
Pilot-Spark,64,1,Overhead,5.4513800144,Parallel
Pilot-Spark,64,1,Execution_time,72.4334220886,Parallel
Pilot-Spark,64,2,Overhead,5.7266511917,Parallel
Pilot-Spark,64,2,Execution_time,72.5285718441,Parallel
Pilot-Spark,64,3,Overhead,6.7515461445,Parallel
Pilot-Spark,64,3,Execution_time,77.3094379902,Parallel
Pilot-Spark,256,1,Overhead,5.6845469475,Parallel
Pilot-Spark,256,1,Execution_time,24.8693048954,Parallel
Pilot-Spark,256,2,Overhead,5.8552658558,Parallel
Pilot-Spark,256,2,Execution_time,26.0565471649,Parallel
Pilot-Spark,256,3,Overhead,10.5672039986,Parallel
Pilot-Spark,256,3,Execution_time,25.5196170807,Parallel
Pilot-Spark,1024,1,Overhead,5.4411790371,Parallel
Pilot-Spark,1024,1,Execution_time,21.52637887,Parallel
Pilot-Spark,1024,2,Overhead,5.7360780239,Parallel
Pilot-Spark,1024,2,Execution_time,20.2278108597,Parallel
Pilot-Spark,1024,3,Overhead,5.6821870804,Parallel
Pilot-Spark,1024,3,Execution_time,21.864112854,Parallel
