2017-07-28 15:00:37.922809  svmem(total=134778585088, available=127231598592, percent=5.6, used=7242141696, free=126724431872, active=2554249216, inactive=312442880, buffers=0, cached=812011520, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:38.123379  svmem(total=134778585088, available=127231090688, percent=5.6, used=7242649600, free=126723923968, active=2554249216, inactive=312442880, buffers=0, cached=812011520, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:38.323948  svmem(total=134778585088, available=127231078400, percent=5.6, used=7243157504, free=126723416064, active=2554744832, inactive=312442880, buffers=0, cached=812011520, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:38.524541  svmem(total=134778585088, available=127231561728, percent=5.6, used=7241441280, free=126722908160, active=2555736064, inactive=312442880, buffers=0, cached=814235648, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:38.725215  svmem(total=134778585088, available=127228878848, percent=5.6, used=7244849152, free=126719430656, active=2558337024, inactive=312422400, buffers=0, cached=814305280, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:38.926071  svmem(total=134778585088, available=127228579840, percent=5.6, used=7245115392, free=126718394368, active=2559705088, inactive=312475648, buffers=0, cached=815075328, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:39.126661  svmem(total=134778585088, available=127228579840, percent=5.6, used=7245115392, free=126718394368, active=2559705088, inactive=312475648, buffers=0, cached=815075328, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:39.327220  svmem(total=134778585088, available=127228530688, percent=5.6, used=7244922880, free=126716362752, active=2561687552, inactive=312475648, buffers=0, cached=817299456, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:39.527864  svmem(total=134778585088, available=127228530688, percent=5.6, used=7244181504, free=126716362752, active=2561687552, inactive=312475648, buffers=0, cached=818040832, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:39.728409  svmem(total=134778585088, available=127229263872, percent=5.6, used=7244148736, free=126715965440, active=2562867200, inactive=312479744, buffers=0, cached=818470912, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:39.929004  svmem(total=134778585088, available=127235121152, percent=5.6, used=7238529024, free=126721437696, active=2556395520, inactive=312500224, buffers=0, cached=818618368, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:40.129528  svmem(total=134778585088, available=127235121152, percent=5.6, used=7238529024, free=126721437696, active=2556395520, inactive=312500224, buffers=0, cached=818618368, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:40.330053  svmem(total=134778585088, available=127234600960, percent=5.6, used=7238803456, free=126720421888, active=2556891136, inactive=312500224, buffers=0, cached=819359744, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:40.530626  svmem(total=134778585088, available=127235084288, percent=5.6, used=7237828608, free=126719913984, active=2557882368, inactive=312500224, buffers=0, cached=820842496, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:40.731236  svmem(total=134778585088, available=127233323008, percent=5.6, used=7240237056, free=126716993536, active=2561056768, inactive=312537088, buffers=0, cached=821354496, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:40.931784  svmem(total=134778585088, available=127233921024, percent=5.6, used=7239589888, free=126717091840, active=2561331200, inactive=312549376, buffers=0, cached=821903360, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:41.132271  svmem(total=134778585088, available=127233413120, percent=5.6, used=7240097792, free=126716583936, active=2561331200, inactive=312549376, buffers=0, cached=821903360, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:41.332753  svmem(total=134778585088, available=127231787008, percent=5.6, used=7240986624, free=126713470976, active=2564964352, inactive=312549376, buffers=0, cached=824127488, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:41.533282  svmem(total=134778585088, available=127231787008, percent=5.6, used=7240986624, free=126713470976, active=2564964352, inactive=312549376, buffers=0, cached=824127488, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:41.733841  svmem(total=134778585088, available=127227387904, percent=5.6, used=7246090240, free=126707032064, active=2567233536, inactive=312516608, buffers=0, cached=825462784, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:41.934561  svmem(total=134778585088, available=127227310080, percent=5.6, used=7246163968, free=126706950144, active=2567151616, inactive=312520704, buffers=0, cached=825470976, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:42.135125  svmem(total=134778585088, available=127227310080, percent=5.6, used=7246163968, free=126706950144, active=2567151616, inactive=312520704, buffers=0, cached=825470976, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:42.335665  svmem(total=134778585088, available=127227260928, percent=5.6, used=7245230080, free=126704918528, active=2569134080, inactive=312520704, buffers=0, cached=828436480, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
