CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,-75.9281659126,18.1393260956,18.3407070637,18.5420160294,143.741168022,145.306122065
unit.000001,Euclidean_dist_1_5399,-75.9258000851,142.317548037,142.521410942,283.855699062,541.01137495,542.446340084
unit.000002,Euclidean_dist_1_10797,-75.922451973,144.065349102,144.272329092,285.114504099,541.391531944,543.540509939
unit.000003,Euclidean_dist_1_16195,-75.9200160503,21.4035279751,21.6077640057,21.8115050793,281.475433111,284.171905041
unit.000004,Euclidean_dist_1_21593,-75.9171171188,69.7667710781,69.9709420204,70.1732149124,331.957393885,334.022371054
unit.000005,Euclidean_dist_1_26991,-75.9147970676,30.5794560909,30.7812259197,30.9809319973,303.697736025,305.182821035
unit.000006,Euclidean_dist_1_32389,-75.910670042,26.4995648861,26.699985981,26.9030230045,289.243221045,290.344116926
unit.000007,Euclidean_dist_1_37787,-75.9071419239,29.968061924,30.1692919731,30.3697710037,300.511733055,301.754765034
unit.000008,Euclidean_dist_1_43185,-75.9048490524,31.3941760063,31.5949289799,31.7956809998,304.02332902,305.235563993
unit.000009,Euclidean_dist_1_48583,-75.9025290012,34.2506029606,34.4516470432,34.6540119648,304.415894985,305.297674894
unit.000010,Euclidean_dist_1_53981,-75.8998820782,76.428812027,76.6326079369,76.8348550797,338.430094004,340.100037098
unit.000011,Euclidean_dist_1_59379,-75.8965320587,38.7427489758,38.9435050488,39.1441960335,310.874824047,311.402065992
unit.000012,Euclidean_dist_1_64777,-75.8916330338,33.6352410316,33.8387839794,34.0412580967,299.812017918,300.629492044
unit.000013,Euclidean_dist_1_70175,-75.8868999481,75.4813270569,75.684992075,75.8873050213,339.124885082,341.202615976
unit.000014,Euclidean_dist_1_75573,-75.881444931,34.6599259377,34.8605129719,35.0610890388,304.775929928,306.513731956
unit.000015,Euclidean_dist_1_80971,-75.8757081032,65.4539790154,65.6574571133,65.8599910736,331.560393095,332.956274033
unit.000016,Euclidean_dist_1_86369,-75.8729739189,65.2056090832,65.4093739986,65.6116058826,330.857853889,332.955748081
unit.000017,Euclidean_dist_1_91767,-75.8703351021,56.4421560764,56.6466140747,56.8488969803,324.160420895,325.483378887
unit.000018,Euclidean_dist_1_97165,-75.8667769432,70.7694180012,70.9733200073,71.1755959988,332.750436068,335.321054935
unit.000019,Euclidean_dist_1_102563,-75.8630490303,29.1514101028,29.3531680107,29.5543270111,302.650872946,304.024267912
unit.000020,Euclidean_dist_1_107961,-75.8605239391,43.8396270275,44.0403089523,44.2407610416,319.788820028,320.78985095
unit.000021,Euclidean_dist_1_113359,-75.8580019474,72.8234651089,73.0280709267,73.2303349972,333.910954952,335.326952934
unit.000022,Euclidean_dist_1_118757,-75.854763031,74.3808059692,74.5845329762,74.8574140072,334.651990891,335.373622894
unit.000023,Euclidean_dist_1_124155,-75.8523249626,28.3341119289,28.5360929966,28.7369558811,291.569044113,292.834781885
unit.000024,Euclidean_dist_1_129553,-75.8498120308,6.22415590286,6.42721605301,6.6256070137,256.615787983,257.457426071
unit.000025,Euclidean_dist_1_134951,-75.8472969532,49.0844349861,49.2883079052,49.4905929565,312.283945084,314.360002041
unit.000026,Euclidean_dist_1_140349,-75.8427929878,20.3829400539,20.5837080479,20.786012888,276.996850967,278.427146912
unit.000027,Euclidean_dist_5399_5399,-75.838891983,28.9465050697,29.1485190392,29.3501489162,168.575634003,169.683340073
unit.000028,Euclidean_dist_5399_10797,-75.836452961,43.4335029125,43.6328799725,43.833728075,311.551990986,314.319211006
unit.000029,Euclidean_dist_5399_16195,-75.8338289261,61.5504689217,61.7541949749,61.9564878941,328.664915085,330.794806957
unit.000030,Euclidean_dist_5399_21593,-75.8313291073,124.202292919,124.40587306,276.926702976,533.868455887,535.755139112
unit.000031,Euclidean_dist_5399_26991,-75.8272130489,110.597733021,110.80130291,266.248867989,521.749341965,522.761533022
unit.000032,Euclidean_dist_5399_32389,-75.8224430084,137.775223017,137.978908062,281.135819912,538.559031963,540.275089979
unit.000033,Euclidean_dist_5399_37787,-75.8138298988,9.48703789711,9.6939239502,9.89462304115,269.362588882,271.490298986
unit.000034,Euclidean_dist_5399_43185,-75.8098020554,29.3560810089,29.5573549271,29.7579519749,311.92482996,314.267160892
unit.000035,Euclidean_dist_5399_48583,-75.7999560833,16.8998420238,17.1024110317,17.3028619289,275.483880043,277.234148979
unit.000036,Euclidean_dist_5399_53981,-75.7887599468,60.7506489754,60.9542660713,61.1565790176,336.593416929,337.559751987
unit.000037,Euclidean_dist_5399_59379,-75.7855820656,50.432872057,50.6370520592,50.8393220901,321.54737401,323.155436993
unit.000038,Euclidean_dist_5399_64777,-75.7825601101,31.8016130924,32.0037910938,32.2030129433,295.887367964,297.160563946
unit.000039,Euclidean_dist_5399_70175,-75.7775158882,23.6428780556,23.8437469006,24.0461230278,292.209681034,293.894141912
unit.000040,Euclidean_dist_5399_75573,-75.7730469704,32.208920002,32.4094951153,32.6105160713,297.641302109,299.39114809
unit.000041,Euclidean_dist_5399_80971,-75.767496109,74.7812790871,74.9849550724,75.1872730255,335.027909994,336.52361989
unit.000042,Euclidean_dist_5399_86369,-75.765157938,33.0244300365,33.2250669003,33.4257850647,292.566891909,293.921171904
unit.000043,Euclidean_dist_5399_91767,-75.7624380589,33.4317009449,33.6323540211,33.8329079151,308.979264021,310.175007105
unit.000044,Euclidean_dist_5399_97165,-75.7600269318,33.8416819572,34.0442659855,34.2446930408,317.974385023,318.593044043
unit.000045,Euclidean_dist_5399_102563,-75.7576630116,45.4702579975,45.6709780693,45.8715410233,329.037946939,330.781599045
unit.000046,Euclidean_dist_5399_107961,-75.7500050068,48.0870358944,48.2963891029,48.4928898811,309.756831884,310.337315083
unit.000047,Euclidean_dist_5399_113359,-75.746432066,52.1891300678,52.3929400444,52.5950529575,316.51138711,317.543343067
unit.000048,Euclidean_dist_5399_118757,-75.7420020103,42.6174669266,42.8184459209,43.0191249847,314.796127081,315.425446987
unit.000049,Euclidean_dist_5399_124155,-75.7375779152,36.288918972,36.4901499748,36.6908009052,348.980722904,351.39316988
unit.000050,Euclidean_dist_5399_129553,-75.728869915,64.5078001022,64.7119479179,64.9140980244,334.280807018,335.279169083
unit.000051,Euclidean_dist_5399_134951,-75.726416111,37.3078000546,37.5081489086,37.7090420723,300.162434101,300.655755997
unit.000052,Euclidean_dist_5399_140349,-75.7241580486,37.7149510384,37.9156870842,38.1163229942,350.897089958,352.532986879
unit.000053,Euclidean_dist_10797_10797,-75.7217569351,38.1299700737,38.3325810432,38.5344679356,166.30222702,166.921246052
unit.000054,Euclidean_dist_10797_16195,-75.7192239761,38.9464130402,39.1471951008,39.3481910229,345.954786062,347.440882921
unit.000055,Euclidean_dist_10797_21593,-75.7152180672,39.5577130318,39.7583780289,39.9591050148,351.401740074,352.530502081
