CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000149,Mapper-8-14,N/A,582.839856148,N/A,585.858533144,616.424589157,616.464060068
unit.000150,Mapper-8-15,N/A,585.421334028,N/A,595.012463093,635.72193718,635.762142181
unit.000151,Mapper-8-16,N/A,587.33853507,N/A,595.214646101,635.493709087,635.530898094
unit.000152,Reducer-8,N/A,638.323399067,N/A,641.154528141,647.135906219,648.374454021
unit.000153,Mapper-9-1,N/A,660.849789143,N/A,664.882591009,691.356124163,691.398771048
unit.000154,Mapper-9-2,N/A,656.253372192,N/A,660.712384224,694.594566107,694.796438217
unit.000155,Mapper-9-3,N/A,656.968900204,N/A,661.517680168,680.739565134,680.781673193
unit.000156,Mapper-9-4,N/A,659.278028011,N/A,662.421781063,681.829091072,681.866008997
unit.000157,Mapper-9-5,N/A,655.819488049,N/A,661.213587999,692.438441992,692.475553036
unit.000158,Mapper-9-6,N/A,657.251218081,N/A,660.608991146,690.201316118,690.237715006
unit.000159,Mapper-9-7,N/A,653.409742117,N/A,656.489037037,677.544258118,677.58555603
unit.000160,Mapper-9-8,N/A,654.085879087,N/A,657.192084074,690.248413086,690.286125183
unit.000161,Mapper-9-9,N/A,654.51457715,N/A,657.695893049,693.510118008,693.560496092
unit.000162,Mapper-9-10,N/A,652.934577227,N/A,656.188652039,687.064957142,687.102843046
unit.000163,Mapper-9-11,N/A,658.596274137,N/A,661.618064165,698.990603209,699.032884121
unit.000164,Mapper-9-12,N/A,660.421781063,N/A,664.879680157,704.253281116,704.290265083
unit.000165,Mapper-9-13,N/A,659.69940114,N/A,664.831712008,703.146111012,703.182732105
unit.000166,Mapper-9-14,N/A,655.092772007,N/A,660.507863045,691.3079772,691.355106115
unit.000167,Mapper-9-15,N/A,658.117934227,N/A,661.417828083,694.630431175,694.795981169
unit.000168,Mapper-9-16,N/A,652.409053087,N/A,655.505016088,674.364663124,674.401190042
unit.000169,Reducer-9,N/A,708.442572117,N/A,711.654597998,717.766004086,719.0071311
