#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1481672843        0.105038          0.105038          0.003010          0.003010          0.000000          27.615800         0.003010         
1481672844        0.105038          0.105038          0.003048          0.003048          0.000000          27.614500         0.003048         
1481672845        0.105038          0.105038          0.003048          0.003048          0.000000          27.615300         0.003048         
1481672846        0.105038          0.105038          0.003048          0.003048          0.000000          27.613300         0.003048         
1481672847        0.105038          0.105038          0.003048          0.003048          0.000000          27.613300         0.003048         
1481672848        0.105038          0.105038          0.003048          0.003048          0.000000          27.613700         0.003048         
1481672849        0.105038          0.105038          0.003048          0.003048          0.000000          27.614200         0.003048         
1481672850        0.105038          0.105038          0.003048          0.003048          0.000000          27.613600         0.003048         
1481672851        0.105038          0.105038          0.003048          0.003048          0.000000          27.613800         0.003048         
1481672853        0.105038          0.105038          0.003048          0.003048          0.000000          27.614500         0.003048         
1481672854        0.105038          0.105038          0.003048          0.003048          0.000000          27.614300         0.003048         
1481672855        0.105038          0.105038          0.003048          0.003048          0.000000          27.613800         0.003048         
1481672856        0.105038          0.105038          0.003048          0.003048          0.000000          27.613200         0.003048         
1481672857        0.105038          0.105038          0.003048          0.003048          0.000000          27.614400         0.003048         
1481672858        0.105038          0.105038          0.003048          0.003048          0.000000          27.613700         0.003048         
1481672860        0.105038          0.105038          0.003048          0.003048          0.000000          27.614600         0.003048         
1481672861        0.105038          0.105038          0.003048          0.003048          0.000000          27.614500         0.003048         
1481672862        0.105038          0.105038          0.003048          0.003048          0.000000          27.614000         0.003048         
1481672863        0.105038          0.105038          0.003048          0.003048          0.000000          27.614300         0.003048         
1481672864        1.301960          1.301860          0.018868          0.018864          0.000000          27.598100         0.018864         
1481672865        2.159100          2.158750          0.238361          0.235023          0.000000          27.443500         0.235023         
1481672866        4.816800          4.816370          0.418121          0.417934          0.000000          27.122800         0.417934         
1481672868        5.329140          5.328710          0.859940          0.859753          0.000000          26.622600         0.859753         
1481672869        5.344800          5.344370          0.887440          0.887253          0.000000          26.568200         0.887253         
1481672870        5.355240          5.354800          0.905773          0.905586          0.000000          26.508900         0.905586         
1481672873        5.355240          5.354800          0.905773          0.880684          0.000000          26.508000         0.905586         
1481672875        5.355240          5.354800          0.905773          0.880684          0.000000          26.507600         0.905586         
1481672878        5.355240          5.354800          0.905773          0.880684          0.000000          26.508000         0.905586         
1481672881        5.355360          5.354930          0.911694          0.911507          0.000000          26.388200         0.911507         
1481672882        5.355360          5.354930          0.911694          0.911507          0.000000          26.357200         0.911507         
1481672883        5.355360          5.354930          0.911697          0.908981          0.000000          26.315200         0.911507         
1481672884        5.355360          5.354930          0.911697          0.909336          0.000000          26.295500         0.911507         
1481672885        5.355360          5.354930          0.911697          0.909573          0.000000          26.263900         0.911507         
1481672886        5.355360          5.354930          0.911697          0.909573          0.000000          26.236800         0.911507         
1481672887        5.355360          5.354930          0.911697          0.909573          0.000000          26.193900         0.911507         
