TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1.000000          128.000000        0.027816          0.009221         
2.000000          127.000000        0.039704          0.012176         
3.000000          149.000000        0.047668          0.014163         
4.000000          194.000000        242.592482        0.016264         
5.000000          181.000000        339.814036        0.021091         
6.000000          174.000000        113.323002        0.021448         
9.000000          68.666666         212.291834        0.007512         
10.000000         149.000000        314.648200        0.021092         
11.000000         149.000000        314.648200        0.021098         
14.000000         49.666666         211.138434        0.007031         
15.000000         149.000000        344.008316        0.021090         
16.000000         149.000000        503.391892        0.021094         
18.000000         74.500000         188.781386        0.010549         
19.000000         149.000000        213.984916        0.021099         
20.000000         149.000000        419.505812        0.021097         
22.000000         74.500000         100.700990        0.010547         
23.000000         151.000000        482.420360        0.021095         
24.000000         149.000000        335.619732        0.021094         
25.000000         151.000000        352.396948        0.021095         
26.000000         149.000000        385.951368        0.021093         
27.000000         149.000000        318.842516        0.021097         
28.000000         149.000000        348.202632        0.021092         
29.000000         151.000000        377.562760        0.021092         
31.000000         74.500000         192.975684        0.010544         
32.000000         153.000000        419.505788        0.021089         
33.000000         149.000000        411.117192        0.021095         
34.000000         149.000000        436.283016        0.021089         
35.000000         157.000000        427.894384        0.021085         
36.000000         157.000000        507.586184        0.021095         
37.000000         149.000000        474.031752        0.021091         
38.000000         149.000000        344.008328        0.021099         
39.000000         157.000000        419.505776        0.021087         
41.000000         74.500000         226.530122        0.010549         
42.000000         155.000000        234.956436        0.021099         
43.000000         149.000000        138.487444        0.021097         
44.000000         155.000000        125.904508        0.021094         
45.000000         149.000000        188.819092        0.021100         
46.000000         157.000000        398.534292        0.021099         
47.000000         149.000000        398.534280        0.021100         
48.000000         149.000000        385.951384        0.021096         
49.000000         155.000000        482.420376        0.021100         
52.000000         51.666666         220.925137        0.007030         
53.000000         149.000000        318.842508        0.021097         
54.000000         149.000000        344.008332        0.021098         
57.000000         55.666666         167.797298        0.007030         
58.000000         149.000000        218.179212        0.021098         
59.000000         149.000000        591.472256        0.021098         
60.000000         157.000000        453.060236        0.021099         
62.000000         78.500000         276.861760        0.010546         
63.000000         149.000000        406.922892        0.021096         
64.000000         149.000000        545.334936        0.021101         
65.000000         159.000000        469.837452        0.021095         
66.000000         157.000000        495.003276        0.021095         
67.000000         151.000000        465.643148        0.021093         
69.000000         74.500000         245.404494        0.010549         
70.000000         159.000000        545.334916        0.021092         
71.000000         149.000000        495.003292        0.021096         
72.000000         159.000000        272.705156        0.021093         
73.000000         149.000000        495.003280        0.021096         
74.000000         149.000000        671.164052        0.021092         
75.000000         159.000000        528.557704        0.021092         
77.000000         78.500000         209.752900        0.010546         
78.000000         149.000000        247.539352        0.021097         
79.000000         149.000000        213.984932        0.021098         
80.000000         157.000000        134.293160        0.021103         
81.000000         157.000000        385.951392        0.021104         
82.000000         149.000000        528.557704        0.021093         
83.000000         149.000000        356.591276        0.021102         
84.000000         157.000000        385.951392        0.021101         
87.000000         51.666666         230.711853        0.007030         
88.000000         149.000000        331.425452        0.021101         
89.000000         151.000000        335.619744        0.021104         
93.000000         40.750000         200.296875        0.005275         
94.000000         151.000000        188.819104        0.021103         
95.000000         157.000000        859.907732        0.021094         
97.000000         78.500000         348.164944        0.010550         
98.000000         149.000000        536.946336        0.021097         
99.000000         149.000000        738.272920        0.021098         
100.000000        157.000000        406.922904        0.021098         
102.000000        79.500000         239.113030        0.010546         
103.000000        149.000000        419.505816        0.021098         
104.000000        149.000000        700.524160        0.021090         
105.000000        159.000000        532.752040        0.021099         
107.000000        78.500000         220.238676        0.010549         
108.000000        149.000000        402.728628        0.021102         
109.000000        149.000000        524.363432        0.021105         
110.000000        157.000000        444.671644        0.021096         
111.000000        159.000000        402.728628        0.021104         
113.000000        74.500000         132.158298        0.010553         
114.000000        149.000000        276.899496        0.021098         
115.000000        157.000000        113.321652        0.021106         
117.000000        77.500000         192.975694        0.010548         
118.000000        149.000000        373.368500        0.021101         
119.000000        149.000000        595.666588        0.021095         
120.000000        157.000000        419.505820        0.021099         
121.000000        155.000000        478.226088        0.021101         
122.000000        149.000000        402.728616        0.021103         
124.000000        74.500000         220.238676        0.010549         
125.000000        153.000000        532.752016        0.021096         
128.000000        51.666666         300.616930        0.007032         
129.000000        149.000000        218.179252        0.021106         
130.000000        157.000000        578.889396        0.021106         
132.000000        78.500000         232.821594        0.010549         
133.000000        149.000000        398.534288        0.021093         
134.000000        149.000000        725.690000        0.021094         
135.000000        157.000000        536.946320        0.021093         
137.000000        78.500000         337.679188        0.010551         
139.000000        74.500000         255.890254        0.010546         
140.000000        157.000000        645.998236        0.021095         
141.000000        149.000000        478.226076        0.021096         
142.000000        157.000000        616.638108        0.021090         
143.000000        149.000000        440.477328        0.021095         
144.000000        149.000000        524.363420        0.021093         
145.000000        157.000000        536.946344        0.021100         
146.000000        157.000000        524.363408        0.021095         
148.000000        74.500000         226.530126        0.010549         
149.000000        149.000000        377.562780        0.021103         
150.000000        157.000000        562.112132        0.021088         
151.000000        149.000000        440.477340        0.021098         
152.000000        159.000000        474.031772        0.021101         
153.000000        149.000000        222.373544        0.021105         
154.000000        159.000000        159.458996        0.021104         
156.000000        74.500000         83.923796         0.010550         
157.000000        157.000000        272.705192        0.021100         
158.000000        149.000000        377.562780        0.021099         
159.000000        149.000000        419.505832        0.021101         
160.000000        155.000000        419.505832        0.021098         
161.000000        155.000000        411.117212        0.021096         
163.000000        74.500000         230.724442        0.010553         
164.000000        149.000000        243.345076        0.021103         
165.000000        157.000000        155.264692        0.021100         
166.000000        149.000000        281.093800        0.021102         
167.000000        159.000000        327.231156        0.021101         
168.000000        149.000000        520.169140        0.021102         
171.000000        50.333333         239.100468        0.007031         
172.000000        163.000000        461.448884        0.021100         
173.000000        149.000000        708.912808        0.021096         
175.000000        74.500000         226.530138        0.010553         
176.000000        159.000000        536.946308        0.021089         
177.000000        157.000000        541.140648        0.021098         
178.000000        149.000000        486.614672        0.021093         
179.000000        149.000000        591.472284        0.021099         
180.000000        157.000000        541.140612        0.021088         
181.000000        159.000000        507.586204        0.021095         
182.000000        149.000000        499.197596        0.021101         
184.000000        74.500000         226.530126        0.010548         
185.000000        157.000000        536.946344        0.021098         
186.000000        149.000000        482.420380        0.021099         
187.000000        157.000000        503.391900        0.021097         
188.000000        149.000000        377.562792        0.021099         
189.000000        149.000000        306.259612        0.021095         
190.000000        159.000000        201.402036        0.021103         
192.000000        78.500000         104.895322        0.010551         
193.000000        149.000000        390.145716        0.021101         
194.000000        149.000000        453.060252        0.021100         
195.000000        157.000000        444.671632        0.021097         
196.000000        149.000000        457.254568        0.021103         
197.000000        159.000000        369.174184        0.021103         
198.000000        149.000000        285.288116        0.021109         
201.000000        55.000000         138.437168        0.007033         
202.000000        149.000000        335.619740        0.021095         
204.000000        74.500000         224.432986        0.010551         
205.000000        155.000000        453.060240        0.021095         
206.000000        149.000000        411.117224        0.021100         
207.000000        157.000000        402.728616        0.021100         
209.000000        74.500000         220.238682        0.010550         
210.000000        149.000000        306.259588        0.021091         
211.000000        157.000000        356.591260        0.021095         
212.000000        157.000000        293.676724        0.021103         
213.000000        149.000000        314.648244        0.021105         
214.000000        149.000000        339.814068        0.021107         
215.000000        157.000000        411.117212        0.021098         
217.000000        79.500000         197.170010        0.010548         
218.000000        149.000000        436.283012        0.021090         
219.000000        149.000000        419.505820        0.021100         
220.000000        159.000000        499.197596        0.021098         
221.000000        149.000000        335.619764        0.021105         
222.000000        157.000000        457.254544        0.021093         
223.000000        149.000000        297.871028        0.021108         
225.000000        78.500000         155.226958        0.010546         
226.000000        159.000000        176.236212        0.021107         
227.000000        149.000000        323.036840        0.021101         
229.000000        78.500000         249.598804        0.010550         
230.000000        149.000000        499.197608        0.021096         
231.000000        149.000000        432.088732        0.021093         
232.000000        153.000000        557.917840        0.021096         
233.000000        151.000000        352.396956        0.021096         
234.000000        157.000000        289.482408        0.021099         
235.000000        149.000000        46.212788         0.021104         
237.000000        79.500000         88.118106         0.010551         
238.000000        149.000000        364.979880        0.021102         
239.000000        161.000000        503.391900        0.021100         
240.000000        151.000000        478.226088        0.021098         
242.000000        78.500000         356.553556        0.010551         
244.000000        78.500000         396.399450        0.010552         
245.000000        149.000000        486.614672        0.021093         
247.000000        78.500000         312.513364        0.010550         
248.000000        149.000000        616.638120        0.021101         
249.000000        157.000000        436.283048        0.021098         
250.000000        149.000000        515.974812        0.021100         
251.000000        159.000000        440.477340        0.021098         
252.000000        149.000000        503.391924        0.021105         
254.000000        78.500000         251.695950        0.010547         
255.000000        149.000000        469.837492        0.021101         
256.000000        149.000000        419.505808        0.021092         
257.000000        155.000000        373.368500        0.021106         
258.000000        157.000000        444.671632        0.021096         
259.000000        149.000000        402.728616        0.021102         
260.000000        149.000000        96.544436         0.021101         
262.000000        79.500000         18.912090         0.010552         
263.000000        149.000000        218.179252        0.021104         
264.000000        157.000000        314.648220        0.021098         
265.000000        149.000000        402.728604        0.021095         
266.000000        157.000000        448.865960        0.021101         
269.000000        49.666666         247.489076        0.007031         
270.000000        157.000000        427.894452        0.021101         
271.000000        149.000000        113.321640        0.021099         
274.000000        52.333333         201.351736        0.007033         
275.000000        155.000000        704.718492        0.021101         
276.000000        155.000000        427.894428        0.021099         
279.000000        49.666666         322.986548        0.007032         
280.000000        157.000000        499.197620        0.021097         
281.000000        157.000000        474.031772        0.021095         
283.000000        74.500000         213.947214        0.010548         
284.000000        149.000000        427.894440        0.021102         
285.000000        157.000000        461.448872        0.021101         
286.000000        159.000000        406.922908        0.021097         
288.000000        74.500000         270.570330        0.010551         
289.000000        151.000000        478.226088        0.021099         
290.000000        159.000000        528.557724        0.021097         
292.000000        80.000000         188.781396        0.010548         
293.000000        150.000000        411.117224        0.021102         
294.000000        149.000000        339.814044        0.021095         
295.000000        157.000000        264.316572        0.021094         
296.000000        149.000000        260.122292        0.021102         
297.000000        157.000000        172.041896        0.021099         
298.000000        149.000000        213.984948        0.021105         
300.000000        78.500000         157.324122        0.010550         
301.000000        149.000000        423.700124        0.021099         
302.000000        159.000000        402.728628        0.021102         
303.000000        149.000000        453.060276        0.021104         
304.000000        151.000000        318.842548        0.021105         
305.000000        155.000000        251.733672        0.021102         
306.000000        153.000000        205.596340        0.021105         
307.000000        149.000000        213.984948        0.021108         
309.000000        74.500000         119.575386        0.010550         
310.000000        155.000000        490.809012        0.021103         
311.000000        149.000000        482.420392        0.021097         
312.000000        155.000000        411.117200        0.021095         
314.000000        74.500000         295.736148        0.010550         
315.000000        157.000000        448.865948        0.021097         
316.000000        149.000000        444.671632        0.021099         
317.000000        157.000000        436.283012        0.021086         
319.000000        74.500000         266.269092        0.010546         
320.000000        149.000000        201.402012        0.021100         
321.000000        165.000000        515.974800        0.021101         
323.000000        74.500000         157.324098        0.010547         
324.000000        149.000000        411.117188        0.021097         
325.000000        157.000000        260.122256        0.021103         
326.000000        149.000000        297.870980        0.021101         
327.000000        159.000000        344.008324        0.021097         
328.000000        149.000000        398.534276        0.021097         
329.000000        157.000000        314.648208        0.021102         
330.000000        149.000000        339.814020        0.021096         
331.000000        157.000000        218.179228        0.021104         
332.000000        149.000000        4.269724          0.021105         
334.000000        74.500000         25.203528         0.010550         
335.000000        159.000000        163.653276        0.021104         
336.000000        149.000000        100.738716        0.021105         
337.000000        157.000000        302.065284        0.021098         
338.000000        149.000000        247.539344        0.021099         
339.000000        157.000000        239.150748        0.021106         
340.000000        149.000000        327.231108        0.021096         
341.000000        159.000000        83.961500         0.021101         
342.000000        149.000000        21.046940         0.021105         
344.000000        74.500000         86.020942         0.010552         
345.000000        159.000000        285.288080        0.021101         
346.000000        149.000000        264.316560        0.021101         
347.000000        157.000000        268.510852        0.021097         
349.000000        68.500000         100.691088        0.008070         
350.000000        149.000000        50.355540         3.529516         
351.000000        131.000000        0.020474          0.007243         
