Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,5000,120,96,0.10253
100,1000,3,5000,120,96,1.05565
100,10000,3,5000,120,96,7.79437
100,100000,3,5000,120,96,78.71389
100,1000000,3,5000,120,96,776.71319
