CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000297,Euclidean_dist_75573_129553,-48.0185039043,66.4565889835,66.6604590416,66.8625991344,320.7510221,324.215173006
unit.000298,Euclidean_dist_75573_134951,-48.0116119385,67.4073140621,67.6111791134,67.8133981228,325.277621031,325.962378025
unit.000299,Euclidean_dist_75573_140349,-48.0029509068,66.7040481567,66.9076030254,67.1102910042,326.58814311,328.325446129
unit.000300,Euclidean_dist_80971_80971,-47.9902999401,67.655328989,67.8595981598,68.0616600513,196.574741125,197.547970057
unit.000301,Euclidean_dist_80971_86369,-47.9811069965,68.2034471035,68.4074630737,68.6096119881,328.243445158,329.463392973
unit.000302,Euclidean_dist_80971_91767,-47.9788358212,18.6959700584,18.8512160778,19.0487861633,277.493155003,279.609094143
unit.000303,Euclidean_dist_80971_97165,-47.9766538143,19.0517861843,19.259827137,19.4594781399,290.483155012,291.225735188
unit.000304,Euclidean_dist_80971_102563,-47.9729988575,68.451043129,68.6546611786,68.8571791649,327.230401039,328.345919132
unit.000305,Euclidean_dist_80971_107961,-47.9651498795,70.9565911293,71.1615622044,71.3610579967,327.581825972,329.461044073
unit.000306,Euclidean_dist_80971_113359,-47.960436821,71.1584620476,71.3641631603,71.5652821064,328.631268978,330.545516014
unit.000307,Euclidean_dist_80971_118757,-47.9564359188,72.1100921631,72.3157269955,72.5162291527,324.966426134,325.996708155
unit.000308,Euclidean_dist_80971_124155,-47.9502699375,72.7061040401,72.9606151581,73.109940052,328.939620018,330.581617117
unit.000309,Euclidean_dist_80971_129553,-47.947259903,72.9073770046,73.1130521297,73.3133940697,327.908385992,329.544715166
unit.000310,Euclidean_dist_80971_134951,-47.9448699951,73.5043950081,73.7081081867,73.9103460312,326.280781031,327.273422003
unit.000311,Euclidean_dist_80971_140349,-47.9426558018,74.6989481449,74.9029760361,75.1052031517,331.553943157,332.860512018
unit.000312,Euclidean_dist_86369_86369,-47.9405109882,75.2476651669,75.4517190456,75.6540410519,203.229574203,204.722225189
unit.000313,Euclidean_dist_86369_91767,-47.936784029,6.60626506805,6.80994796753,7.01024413109,262.024842024,263.449328184
unit.000314,Euclidean_dist_86369_97165,-47.9346139431,8.03190112114,8.23571205139,8.43647408485,270.313665152,272.170783043
unit.000315,Euclidean_dist_86369_102563,-47.9324259758,5.99371814728,6.19940400124,6.39970612526,266.852792025,267.883743048
unit.000316,Euclidean_dist_86369_107961,-47.9302890301,11.7151191235,11.9223999977,12.1269919872,266.538254976,267.905731201
unit.000317,Euclidean_dist_86369_113359,-47.9280459881,14.3643059731,14.6243190765,14.7672472,278.468124151,279.608070135
unit.000318,Euclidean_dist_86369_118757,-47.9250190258,17.0154681206,17.2229061127,17.419656992,277.18659997,278.538252115
unit.000319,Euclidean_dist_86369_124155,-47.9218249321,7.82801604271,8.03499102592,8.23261213303,271.594890118,273.211688995
unit.000320,Euclidean_dist_86369_129553,-47.9195208549,21.1032361984,21.3165462017,21.5164589882,297.525722027,298.535360098
unit.000321,Euclidean_dist_86369_134951,-47.9173648357,22.7356719971,22.9426860809,23.1498379707,295.593151093,297.185388088
unit.000322,Euclidean_dist_86369_140349,-47.9137809277,8.64614415169,8.84735798836,9.04798316956,265.619912148,266.817643166
unit.000323,Euclidean_dist_91767_91767,-47.9112668037,26.1970031261,26.4064190388,26.613391161,155.608731985,156.246739149
