Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171108-153140
5000,10000,1,5000,310.0,3735.3929069,20171108-153140
0,5000,2,5000,620.0,5090.06516067,20171108-153140
5000,10000,3,5000,920.0,6475.73283211,20171108-153141
10000,15000,4,5000,1231.0,7405.71182031,20171108-153141
15000,20000,5,5000,1550.0,8124.66641756,20171108-153141
20000,25000,6,5000,1861.0,8640.74503292,20171108-153141
25000,30000,7,5000,2174.0,8797.17061659,20171108-153141
30000,35000,8,5000,2480.0,8884.87862794,20171108-153141
35000,40000,9,5000,2792.0,8301.5193532,20171108-153141
40000,45000,10,5000,3100.0,8069.80889791,20171108-153141
45000,50000,11,5000,3409.0,8197.98383381,20171108-153141
50000,55000,12,5000,3718.0,8015.97099237,20171108-153141
55000,60000,13,5000,4027.0,8314.82144447,20171108-153141
60000,65000,14,5000,4336.0,8528.09826409,20171108-153141
65000,70000,15,5000,4647.0,8717.67343965,20171108-153141
70000,75000,16,5000,4950.0,8761.20154751,20171108-153141
75000,80000,17,5000,5258.0,8914.79450535,20171108-153141
80000,85000,18,5000,5563.0,9068.41470711,20171108-153141
85000,90000,19,5000,5870.0,9205.2157007,20171108-153141
90000,95000,20,5000,6181.0,9347.3216983,20171108-153141
95000,100000,21,5000,6490.0,9528.64837996,20171108-153141
0,5000,22,5000,6800.0,7715.09600296,20171108-153141
5000,10000,23,5000,7108.0,7020.2812981,20171108-153141
10000,15000,24,5000,7416.0,6763.81342244,20171108-153141
15000,20000,25,5000,7729.0,6911.87134935,20171108-153141
20000,25000,26,5000,8042.0,6990.81816171,20171108-153142
25000,30000,27,5000,8355.0,7135.15256318,20171108-153142
30000,35000,28,5000,8668.0,7099.75647651,20171108-153142
35000,40000,29,5000,8980.0,7169.75315697,20171108-153142
40000,45000,30,5000,9293.0,7236.13529227,20171108-153142
45000,50000,31,5000,9603.0,7338.43868076,20171108-153142
50000,55000,32,5000,9913.0,7395.14064328,20171108-153142
55000,60000,33,5000,10225.0,7449.691828,20171108-153142
60000,65000,34,5000,10538.0,7500.81042657,20171108-153142
65000,70000,35,5000,10854.0,7600.96865294,20171108-153142
70000,75000,36,5000,11169.0,7696.06040906,20171108-153142
75000,80000,37,5000,11484.0,7802.6117466,20171108-153142
80000,85000,38,5000,11800.0,7888.90346114,20171108-153142
85000,90000,39,5000,12123.0,7932.893593,20171108-153142
90000,95000,40,5000,12446.0,7893.55178009,20171108-153142
95000,100000,41,5000,12760.0,7855.20855829,20171108-153142
100000,105000,42,5000,13073.0,7818.65870125,20171108-153142
105000,110000,43,5000,13381.0,7779.32106315,20171108-153142
110000,115000,44,5000,13688.0,7813.14647348,20171108-153142
115000,120000,45,5000,13996.0,7774.63616117,20171108-153142
