Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,8000,120,48,0.06079
100,1000,3,8000,120,48,0.41554
100,10000,3,8000,120,48,6.67122
100,100000,3,8000,120,48,63.25227
100,1000000,3,8000,120,48,627.32154
