BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512198180000 ms, 2017-12-02T01:04:28, 0, 886186, 886186, 26192,1_Producer_Count
1512198240000 ms, 2017-12-02T01:06:51, 743173, 1407253, 664080, 34119,1_Producer_Count
1512198300000 ms, 2017-12-02T01:13:01, 1037271, 1732418, 695147, 69926,1_Producer_Count
1512198360000 ms, 2017-12-02T01:22:05, 1189041, 2536128, 1347087, 137055,1_Producer_Count
1512198420000 ms, 2017-12-02T01:29:14, 2106919, 2982608, 875689, 88260,1_Producer_Count
