#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1483662514        0.105038          0.105038          0.003006          0.003006          0.000000          27.525900         0.003006         
1483662515        0.105042          0.105042          0.003048          0.003048          0.000000          27.523800         0.003048         
1483662516        0.105042          0.105042          0.003048          0.003048          0.000000          27.523700         0.003048         
1483662517        0.105042          0.105042          0.003048          0.003048          0.000000          27.523200         0.003048         
1483662518        0.105042          0.105042          0.003048          0.003048          0.000000          27.523100         0.003048         
1483662520        0.105042          0.105042          0.003048          0.003048          0.000000          27.522600         0.003048         
1483662521        0.105042          0.105042          0.003048          0.003048          0.000000          27.524600         0.003048         
1483662522        0.105042          0.105042          0.003048          0.003048          0.000000          27.522500         0.003048         
1483662523        0.105042          0.105042          0.003048          0.003048          0.000000          27.523800         0.003048         
1483662524        0.105042          0.105042          0.003048          0.003048          0.000000          27.523900         0.003048         
1483662525        0.105042          0.105042          0.003048          0.003048          0.000000          27.523700         0.003048         
1483662526        0.105042          0.105042          0.003048          0.003048          0.000000          27.523900         0.003048         
1483662527        0.105042          0.105042          0.003048          0.003048          0.000000          27.523300         0.003048         
1483662528        0.105042          0.105042          0.003048          0.003048          0.000000          27.524500         0.003048         
1483662530        0.368004          0.367908          0.010391          0.010391          0.000000          27.516000         0.010391         
1483662531        0.587540          0.587410          0.034561          0.034561          0.000000          27.489800         0.034561         
1483662532        0.587570          0.587532          0.034683          0.034683          0.000000          27.488700         0.034683         
1483662533        0.587692          0.587654          0.034775          0.034775          0.000000          27.488800         0.034775         
1483662534        0.690201          0.690163          0.111320          0.111320          0.000000          27.384100         0.111320         
1483662535        0.693680          0.693642          0.120926          0.120926          0.000000          27.322900         0.120926         
1483662536        0.693680          0.693642          0.120926          0.117897          0.000000          27.274900         0.120926         
1483662537        0.693680          0.693642          0.120926          0.117897          0.000000          27.201400         0.120926         
1483662539        0.693680          0.693642          0.120926          0.117897          0.000000          27.123000         0.120926         
1483662540        0.693680          0.693642          0.120926          0.117897          0.000000          27.080500         0.120926         
1483662541        0.693680          0.693642          0.120926          0.117897          0.000000          26.981000         0.120926         
1483662542        0.693680          0.693642          0.120926          0.117897          0.000000          26.907800         0.120926         
1483662543        0.693680          0.693642          0.120926          0.117897          0.000000          26.852600         0.120926         
1483662544        0.693680          0.693642          0.120926          0.117676          0.000000          26.781700         0.120926         
1483662545        0.693680          0.693642          0.120926          0.117897          0.000000          26.701200         0.120926         
1483662547        0.693680          0.693642          0.120926          0.117897          0.000000          26.644600         0.120926         
1483662548        0.693680          0.693642          0.120926          0.117897          0.000000          26.571100         0.120926         
1483662549        0.693680          0.693642          0.120926          0.117905          0.000000          26.507500         0.120926         
1483662550        0.693680          0.693642          0.120926          0.117905          0.000000          26.462000         0.120926         
1483662551        0.693680          0.693642          0.120926          0.117905          0.000000          26.412100         0.120926         
1483662552        0.693680          0.693642          0.120926          0.117912          0.000000          26.377000         0.120926         
1483662553        0.693680          0.693642          0.120926          0.117912          0.000000          26.302600         0.120926         
1483662554        0.693680          0.693642          0.120926          0.117912          0.000000          26.237600         0.120926         
1483662556        0.693680          0.693642          0.120926          0.117912          0.000000          26.183300         0.120926         
1483662557        0.693680          0.693642          0.120926          0.117897          0.000000          26.129300         0.120926         
1483662558        0.693680          0.693642          0.120926          0.117897          0.000000          26.076400         0.120926         
1483662559        0.693684          0.693645          0.120930          0.117901          0.000000          26.014300         0.120926         
1483662560        0.693684          0.693645          0.120930          0.117901          0.000000          25.959100         0.120926         
1483662561        0.693684          0.693645          0.120930          0.117901          0.000000          25.906300         0.120926         
1483662562        0.693684          0.693645          0.120930          0.117901          0.000000          25.863700         0.120926         
1483662563        0.693684          0.693645          0.120930          0.117901          0.000000          25.801100         0.120926         
1483662565        0.693684          0.693645          0.120930          0.117901          0.000000          25.720400         0.120926         
1483662566        0.693684          0.693645          0.120930          0.117790          0.000000          25.669400         0.120926         
1483662567        0.693684          0.693645          0.120930          0.117908          0.000000          25.608100         0.120926         
1483662568        0.693684          0.693645          0.120930          0.117916          0.000000          25.536800         0.120926         
1483662569        0.693684          0.693645          0.120930          0.117916          0.000000          25.489000         0.120926         
1483662570        0.693684          0.693645          0.120930          0.117916          0.000000          25.445900         0.120926         
1483662571        0.693687          0.693649          0.120934          0.117920          0.000000          25.380800         0.120926         
1483662572        0.693687          0.693649          0.120934          0.117920          0.000000          25.304400         0.120926         
1483662574        0.693687          0.693649          0.120934          0.117920          0.000000          25.222000         0.120926         
1483662575        0.693687          0.693649          0.120934          0.117920          0.000000          25.166100         0.120926         
1483662576        0.693687          0.693649          0.120934          0.117794          0.000000          25.106300         0.120926         
1483662577        0.693687          0.693649          0.120934          0.117905          0.000000          25.059700         0.120926         
1483662578        0.693687          0.693649          0.120934          0.117905          0.000000          24.985500         0.120926         
