#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c403-102 2.2481 0.1883 19.1047
c403-103 0.6937 0.1208 19.0877
c408-001 0.6937 0.1195 19.1075
c408-904 0.6937 0.1208 19.1229
c409-001 0.6937 0.1209 19.1218
c410-001 0.6937 0.1208 19.0950
c410-303 0.6937 0.1209 19.1364
c413-601 0.6937 0.1181 19.0741
c413-602 0.6937 0.1209 19.0926
c414-304 0.6937 0.1208 19.0882
c421-201 0.6937 0.1209 19.1073
c422-203 0.6937 0.1208 19.0779
c434-004 0.6937 0.1209 19.1041
c435-001 0.6937 0.1208 19.0982
c436-001 0.6937 0.1208 19.0937
c436-302 0.6937 0.1208 19.1311
