Partitions,Message_size_in_Points,Dimensions,Total_Messages,Throughput_Rate,Producers
12, 5000, 3, 2, 18.383734, 16 
12, 5000, 3, 2, 25.220628, 16 
12, 5000, 3, 2, 14.349656, 16 
12, 5000, 3, 2, 38.514127, 16 
12, 5000, 3, 2, 20.059178, 16 
12, 5000, 3, 2, 20.880325, 16 
12, 5000, 3, 2000, 27.871492, 16 
12, 5000, 3, 2000, 26.207114, 16 
12, 5000, 3, 2000, 25.273373, 16 
12, 5000, 3, 2000, 25.748837, 16 
12, 5000, 3, 2000, 25.711128, 16 
12, 5000, 3, 2000, 23.362029, 16 
12, 5000, 3, 2000, 23.273937, 16 
12, 5000, 3, 2000, 24.835661, 16 
12, 5000, 3, 2000, 25.073614, 16 
12, 5000, 3, 2000, 23.084425, 16 
12, 5000, 3, 2, 24.184351, 16 
12, 5000, 3, 2, 46.138151, 16 
12, 5000, 3, 2, 20.163324, 16 
12, 5000, 3, 2, 20.990569, 16 
12, 5000, 3, 2, 9.234711, 16 
12, 5000, 3, 2, 24.898514, 16 
12, 5000, 3, 2, 20.164535, 16 
12, 5000, 3, 2, 31.146901, 16 
12, 5000, 3, 2, 20.927520, 16 
12, 5000, 3, 2, 9.535207, 16 
12, 5000, 3, 2000, 37.800756, 16 
12, 5000, 3, 2000, 35.727779, 16 
12, 5000, 3, 2000, 36.200028, 16 
12, 5000, 3, 2000, 36.393432, 16 
12, 5000, 3, 2000, 37.324699, 16 
12, 5000, 3, 2000, 35.961409, 16 
12, 5000, 3, 2000, 37.140659, 16 
12, 5000, 3, 2000, 34.542217, 16 
12, 5000, 3, 2000, 32.775188, 16 
12, 5000, 3, 2000, 31.736050, 16 
12, 5000, 3, 2, 24.642371, 16 
12, 5000, 3, 2, 9.524305, 16 
12, 5000, 3, 2, 25.908358, 16 
12, 5000, 3, 2, 21.094395, 16 
12, 5000, 3, 2, 9.235107, 16 
12, 5000, 3, 2, 21.341094, 16 
12, 5000, 3, 2, 12.671690, 16 
12, 5000, 3, 2, 25.875911, 16 
12, 5000, 3, 2, 9.615112, 16 
12, 5000, 3, 2, 25.780878, 16 
12, 5000, 3, 2000, 27.009095, 16 
12, 5000, 3, 2000, 26.577861, 16 
12, 5000, 3, 2000, 30.006877, 16 
12, 5000, 3, 2000, 25.468533, 16 
12, 5000, 3, 2000, 26.189068, 16 
12, 5000, 3, 2000, 24.245062, 16 
12, 5000, 3, 2000, 21.286598, 16 
12, 5000, 3, 2000, 26.237260, 16 
12, 5000, 3, 2000, 32.166966, 16 
12, 5000, 3, 2000, 24.496733, 16 
12, 5000, 3, 2, 24.227167, 16 
12, 5000, 3, 2, 9.489107, 16 
12, 5000, 3, 2, 39.440723, 16 
12, 5000, 3, 2, 15.529628, 16 
12, 5000, 3, 2, 9.184681, 16 
12, 5000, 3, 2, 31.982066, 16 
12, 5000, 3, 2, 20.240240, 16 
12, 5000, 3, 2, 20.579329, 16 
12, 5000, 3, 2, 48.094301, 16 
12, 5000, 3, 2, 30.332403, 16 
12, 5000, 3, 2000, 28.349338, 16 
12, 5000, 3, 2000, 29.310737, 16 
12, 5000, 3, 2000, 25.175040, 16 
12, 5000, 3, 2000, 29.223057, 16 
12, 5000, 3, 2000, 31.115326, 16 
12, 5000, 3, 2000, 29.111412, 16 
12, 5000, 3, 2000, 31.890782, 16 
12, 5000, 3, 2000, 32.971146, 16 
12, 5000, 3, 2000, 33.961734, 16 
12, 5000, 3, 2000, 36.922970, 16 
12, 5000, 3, 2, 50.712499, 16 
12, 5000, 3, 2, 11.882908, 16 
12, 5000, 3, 2, 45.148833, 16 
12, 5000, 3, 2, 20.810809, 16 
12, 5000, 3, 2, 19.425988, 16 
12, 5000, 3, 2, 12.537133, 16 
12, 5000, 3, 2, 47.429441, 16 
12, 5000, 3, 2, 20.977341, 16 
12, 5000, 3, 2, 12.496102, 16 
12, 5000, 3, 2, 15.734285, 16 
12, 5000, 3, 2000, 35.167849, 16 
12, 5000, 3, 2000, 33.578717, 16 
12, 5000, 3, 2000, 33.193797, 16 
12, 5000, 3, 2000, 32.868084, 16 
12, 5000, 3, 2000, 35.520141, 16 
12, 5000, 3, 2000, 33.085050, 16 
12, 5000, 3, 2000, 35.314053, 16 
12, 5000, 3, 2000, 33.408945, 16 
12, 5000, 3, 2000, 35.082848, 16 
12, 5000, 3, 2000, 35.187933, 16 
12, 5000, 3, 2, 24.520637, 16 
12, 5000, 3, 2, 9.450238, 16 
12, 5000, 3, 2, 15.582390, 16 
12, 5000, 3, 2, 45.040957, 16 
12, 5000, 3, 2, 14.779891, 16 
12, 5000, 3, 2, 12.469836, 16 
12, 5000, 3, 2, 15.722518, 16 
12, 5000, 3, 2, 29.692926, 16 
12, 5000, 3, 2, 50.376584, 16 
12, 5000, 3, 2, 20.815559, 16 
12, 5000, 3, 2000, 33.155572, 16 
12, 5000, 3, 2000, 34.369041, 16 
12, 5000, 3, 2000, 34.156099, 16 
12, 5000, 3, 2000, 32.938393, 16 
12, 5000, 3, 2000, 32.846129, 16 
12, 5000, 3, 2000, 32.860819, 16 
12, 5000, 3, 2000, 32.679757, 16 
12, 5000, 3, 2000, 30.373964, 16 
12, 5000, 3, 2000, 32.280110, 16 
12, 5000, 3, 2000, 34.257556, 16 
12, 5000, 3, 2, 24.392296, 16 
12, 5000, 3, 2, 12.489943, 16 
12, 5000, 3, 2, 31.430721, 16 
12, 5000, 3, 2, 45.915663, 16 
12, 5000, 3, 2, 26.620867, 16 
12, 5000, 3, 2, 31.679153, 16 
12, 5000, 3, 2, 21.295802, 16 
12, 5000, 3, 2, 12.594467, 16 
12, 5000, 3, 2, 25.421026, 16 
12, 5000, 3, 2, 12.657827, 16 
12, 5000, 3, 2000, 38.392437, 16 
12, 5000, 3, 2000, 36.683050, 16 
12, 5000, 3, 2000, 37.556149, 16 
12, 5000, 3, 2000, 37.110722, 16 
12, 5000, 3, 2000, 38.409449, 16 
12, 5000, 3, 2000, 35.951913, 16 
12, 5000, 3, 2000, 38.565398, 16 
12, 5000, 3, 2000, 36.481336, 16 
12, 5000, 3, 2000, 34.246683, 16 
12, 5000, 3, 2000, 35.544145, 16 
12, 5000, 3, 2, 18.082677, 16 
12, 5000, 3, 2, 9.063631, 16 
12, 5000, 3, 2, 38.251049, 16 
12, 5000, 3, 2, 20.643038, 16 
12, 5000, 3, 2, 39.949747, 16 
12, 5000, 3, 2, 20.796724, 16 
12, 5000, 3, 2, 19.861181, 16 
12, 5000, 3, 2, 20.769073, 16 
12, 5000, 3, 2, 20.158478, 16 
12, 5000, 3, 2, 48.417976, 16 
12, 5000, 3, 2000, 35.492786, 16 
12, 5000, 3, 2000, 34.174043, 16 
12, 5000, 3, 2000, 36.397952, 16 
12, 5000, 3, 2000, 36.044100, 16 
12, 5000, 3, 2000, 33.380996, 16 
12, 5000, 3, 2000, 31.991054, 16 
12, 5000, 3, 2000, 32.536016, 16 
12, 5000, 3, 2000, 30.540887, 16 
12, 5000, 3, 2000, 32.750347, 16 
12, 5000, 3, 2000, 33.422917, 16 
12, 5000, 3, 2, 37.787884, 16 
12, 5000, 3, 2, 12.430219, 16 
12, 5000, 3, 2, 12.460741, 16 
12, 5000, 3, 2, 41.596335, 16 
12, 5000, 3, 2, 11.729727, 16 
12, 5000, 3, 2, 19.985438, 16 
12, 5000, 3, 2, 15.565186, 16 
12, 5000, 3, 2, 12.445784, 16 
12, 5000, 3, 2, 24.792694, 16 
12, 5000, 3, 2, 9.605082, 16 
12, 5000, 3, 2000, 37.084795, 16 
12, 5000, 3, 2000, 36.387553, 16 
12, 5000, 3, 2000, 36.712157, 16 
12, 5000, 3, 2000, 36.116605, 16 
12, 5000, 3, 2000, 33.478955, 16 
12, 5000, 3, 2000, 33.323274, 16 
12, 5000, 3, 2000, 35.443728, 16 
12, 5000, 3, 2000, 32.286462, 16 
12, 5000, 3, 2000, 33.476791, 16 
12, 5000, 3, 2000, 35.749172, 16 
12, 5000, 3, 2, 24.913451, 16 
12, 5000, 3, 2, 51.534357, 16 
12, 5000, 3, 2, 15.674865, 16 
12, 5000, 3, 2, 12.372177, 16 
12, 5000, 3, 2, 31.273470, 16 
12, 5000, 3, 2, 9.474093, 16 
12, 5000, 3, 2, 41.858695, 16 
