#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c422-801 2.2490 0.1882 19.1475
c423-001 0.6937 0.1209 19.1800
c424-002 0.6937 0.1208 19.1993
c424-502 0.6937 0.1208 19.1914
c432-603 0.6937 0.1209 19.1799
c439-001 0.6937 0.1181 19.1746
c441-201 0.6937 0.1209 19.1699
c452-104 0.6937 0.1208 19.1715
c452-401 0.6937 0.1181 19.1918
c452-901 0.6937 0.1209 19.2192
c453-004 0.6937 0.1181 19.1709
c453-302 0.6937 0.1181 19.1877
c455-402 0.6937 0.1208 19.1793
c490-701 0.6937 0.1208 19.1709
c511-301 0.6937 0.1208 19.1859
c511-302 0.6937 0.1209 19.2283
