t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1504830142,1,9.641550,9.641550,9.641550,0.000000,9.641550,9.641550,9.641550,9.641550,9.641550,9.641550,0.096467,0.184009,0.196694,0.198892,calls/second,milliseconds
1504830152,1,9.641550,9.641550,9.641550,0.000000,9.641550,9.641550,9.641550,9.641550,9.641550,9.641550,0.049236,0.155760,0.190246,0.196694,calls/second,milliseconds
1504830162,1,9.641550,9.641550,9.641550,0.000000,9.641550,9.641550,9.641550,9.641550,9.641550,9.641550,0.032993,0.131848,0.184009,0.194521,calls/second,milliseconds
1504830172,1,9.641550,9.641550,9.641550,0.000000,9.641550,9.641550,9.641550,9.641550,9.641550,9.641550,0.024808,0.111607,0.177976,0.192372,calls/second,milliseconds
1504830182,50,95.596696,2.055287,0.008768,13.466468,0.009978,0.012001,0.803388,95.596696,95.596696,95.596696,0.993592,0.878038,0.334121,0.244539,calls/second,milliseconds
1504830192,350,95.596696,0.624454,0.003410,5.125856,0.016829,0.330222,0.766833,4.035936,9.250914,95.596696,5.803075,5.222177,1.290784,0.568593,calls/second,milliseconds
1504830202,490,95.596696,0.504720,0.002419,4.281963,0.146276,0.318230,0.565255,1.414833,9.250914,95.596696,6.969016,6.539082,1.716622,0.720982,calls/second,milliseconds
1504830212,490,95.596696,0.504720,0.002419,4.281963,0.146276,0.318230,0.565255,1.414833,9.250914,95.596696,6.101496,5.535214,1.660344,0.713016,calls/second,milliseconds
1504830222,490,95.596696,0.504720,0.002419,4.281963,0.146276,0.318230,0.565255,1.414833,9.250914,95.596696,5.425842,4.685457,1.605912,0.705137,calls/second,milliseconds
1504830232,490,95.596696,0.504720,0.002419,4.281963,0.146276,0.318230,0.565255,1.414833,9.250914,95.596696,4.884906,3.966154,1.553263,0.697346,calls/second,milliseconds
1504830242,546,95.596696,0.450030,0.002406,3.877964,0.014964,0.304882,0.550152,1.414833,9.386412,95.596696,4.949773,4.204806,1.677544,0.748366,calls/second,milliseconds
1504830252,835,95.596696,0.374908,0.001053,2.968964,0.015020,0.270054,0.474060,1.065928,6.909752,28.835835,6.940355,7.978096,2.577106,1.062439,calls/second,milliseconds
1504830262,979,95.596696,0.328746,0.001053,2.614110,0.100297,0.262122,0.419747,0.919854,6.274923,28.835835,7.512885,8.871918,2.960772,1.209371,calls/second,milliseconds
1504830272,979,95.596696,0.328746,0.001053,2.614110,0.100297,0.262122,0.419747,0.919854,6.274923,28.835835,6.977505,7.509917,2.863706,1.196008,calls/second,milliseconds
1504830282,979,95.596696,0.328746,0.001053,2.614110,0.100297,0.262122,0.419747,0.919854,6.274923,28.835835,6.513260,6.357007,2.769823,1.182793,calls/second,milliseconds
1504830292,979,95.596696,0.328746,0.001053,2.614110,0.100297,0.262122,0.419747,0.919854,6.274923,28.835835,6.107033,5.381090,2.679017,1.169724,calls/second,milliseconds
1504830302,1227,28.835835,0.231082,0.001053,1.134065,0.010395,0.239550,0.350891,0.703182,4.514123,14.265491,7.204611,7.673262,3.235802,1.372864,calls/second,milliseconds
1504830312,1468,28.835835,0.211950,0.001053,1.006414,0.086900,0.228197,0.295774,0.547687,4.450798,9.386412,8.141655,10.944785,4.090835,1.682246,calls/second,milliseconds
1504830322,1468,28.835835,0.211950,0.001053,1.006414,0.086900,0.228197,0.295774,0.547687,4.450798,9.386412,7.713811,9.264560,3.956721,1.663658,calls/second,milliseconds
1504830332,1468,28.835835,0.211950,0.001053,1.006414,0.086900,0.228197,0.295774,0.547687,4.450798,9.386412,7.328714,7.842281,3.827004,1.645276,calls/second,milliseconds
1504830342,1468,28.835835,0.211950,0.001053,1.006414,0.086900,0.228197,0.295774,0.547687,4.450798,9.386412,6.980205,6.638348,3.701540,1.627096,calls/second,milliseconds
1504830352,1468,28.835835,0.211950,0.001053,1.006414,0.086900,0.228197,0.295774,0.547687,4.450798,9.386412,6.663453,5.619240,3.580189,1.609117,calls/second,milliseconds
1504830362,2054,7.581180,0.170407,0.001053,0.609126,0.070392,0.178377,0.272270,0.557977,4.381076,6.395926,8.918497,14.127378,5.399962,2.240643,calls/second,milliseconds
1504830372,2054,7.581180,0.170407,0.001053,0.609126,0.070392,0.178377,0.272270,0.557977,4.381076,6.395926,8.547290,11.958568,5.222931,2.215885,calls/second,milliseconds
1504830382,2054,7.581180,0.170407,0.001053,0.609126,0.070392,0.178377,0.272270,0.557977,4.381076,6.395926,8.205913,10.122709,5.051702,2.191400,calls/second,milliseconds
